team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Lunar & nibra & Kito;"  ";1;0;0.00;232;232;0;0;2;2;0;0;2;2;9;9;4;4;1;1;0;353;36.48;1677;1677;990;990;687;687;11;11;60;60;293;293;100;100;193;193;1;1;16;16;49.38;49.38;19.21;19.21;195;195;118;118;0;0;1509;425749;425749;142.91;142.91;116.37;116.37;45.43;45.43;171.27;171.27;114.97;114.97;18.47;18.47;6;6;0.13;46;46;172.5;172.5;111.2;111.2;66.46;66.46;238.26;238.26;217.22;217.22;87.49;87.49;169.92;169.92;89.57;89.57;45.22;45.22;2246;1879;2433;2685;0;0;1;1
" E & full win #KCORP";" E";1;0;0.00;554;554;0;0;1;1;5;5;3;3;12;12;3;3;1;1;0;511;52.76;3110;3110;2586;2586;524;524;33;33;48;48;394;394;200;200;194;194;2;2;17;17;47.22;47.22;45.4;45.4;512;512;727;727;7;7;1650;529143;529143;126.14;126.14;141.45;141.45;73;73;170.44;170.44;139.13;139.13;31.02;31.02;5.47;5.47;0.09;58;58;177;177;161.6;161.6;82.11;82.11;258.47;258.47;224.24;224.24;116.34;116.34;166.08;166.08;107.11;107.11;67.4;67.4;2379;1989;2828;2916;1;1;1;1
Lunar & nibra & Kito;! Digitalkiwi.;1;1;100.00;429;429;1;1;0;0;2;2;3;3;10;10;1;1;1;1;33.33;390;46.64;2475;2475;1936;1936;539;539;21;21;49;49;606;606;459;459;147;147;5;5;13;13;66.02;66.02;34.66;34.66;349;349;194;194;40;40;1509;530584;530584;182.51;182.51;124.3;124.3;60.54;60.54;198.61;198.61;146.97;146.97;21.77;21.77;5.35;5.35;0.1;51;51;161.3;161.3;199.8;199.8;73.49;73.49;293.86;293.86;243.14;243.14;124.2;124.2;187.12;187.12;110.18;110.18;70.05;70.05;2165;2041;2223;2873;0;0;2;2
Lunar & nibra & Kito;! TKL;2;2;100.00;1441;720.5;4;2;3;1.5;6;3;10;5;24;12;5;2.5;1;0.5;40;441.88;46.26;5012;2506;4009;2004.5;1003;501.5;48;24;87;43.5;975;487.5;576;288;399;199.5;7;3.5;35;17.5;87.45;43.72;95.2;47.6;542;271;809;404.5;126;63;1597.78;1034226;517113;294.44;147.22;253.05;126.53;153.53;76.76;320.09;160.04;333.94;166.97;46.99;23.49;13.69;6.85;0.09;157;78.5;286.6;143.3;406.3;203.15;225.55;112.77;475.47;237.74;457.95;228.98;243.06;121.53;325.4;162.7;233.45;116.72;142.18;71.09;2205.48;2142.98;2247.12;3043.45;0;0;6;3
!xj & !sk.;!sk.;1;0;0.00;530;530;1;1;1;1;3;3;1;1;14;14;4;4;3;3;100;392;50.9;2374;2374;1480;1480;894;894;19;19;74;74;487;487;300;300;187;187;3;3;17;17;31.74;31.74;33.91;33.91;230;230;465;465;16;16;1576;517617;517617;160.94;160.94;130.96;130.96;61.53;61.53;182.19;182.19;145.12;145.12;26.11;26.11;7.85;7.85;0.11;70;70;168.9;168.9;161.9;161.9;103.41;103.41;250.01;250.01;245.2;245.2;108.23;108.23;183.73;183.73;112.38;112.38;57.32;57.32;2369;2370;2361;3319;0;0;0;0
!xj & !sk.;!xj;1;0;0.00;656;656;1;1;1;1;5;5;6;6;14;14;4;4;1;1;16.67;419;47.47;2595;2595;1915;1915;680;680;21;21;62;62;364;364;155;155;209;209;2;2;18;18;73.68;73.68;24.56;24.56;174;174;218;218;44;44;1582;519061;519061;157.42;157.42;127.86;127.86;65.76;65.76;160.84;160.84;174.18;174.18;16.03;16.03;9.79;9.79;0.12;85;85;162.6;162.6;169.3;169.3;112.56;112.56;238.49;238.49;240.13;240.13;110.92;110.92;174.4;174.4;117.63;117.63;59.02;59.02;2496;2287;2652;3319;0;0;0;0
"kuro & ""  Vek-idge "" ";"""  Vek-idge "" ";1;0;0.00;193;193;0;0;0;0;1;1;1;1;6;6;4;4;3;3;0;407;57.22;1884;1884;1328;1328;556;556;17;17;53;53;373;373;166;166;207;207;2;2;18;18;20.96;20.96;29.89;29.89;173;173;417;417;34;34;1559;400633;400633;112.58;112.58;118.12;118.12;41.21;41.21;161.6;161.6;99.54;99.54;10.77;10.77;6.27;6.27;0.09;70;70;158.3;158.3;97.1;97.1;62.75;62.75;209.16;209.16;165.46;165.46;106.44;106.44;113.34;113.34;87.96;87.96;70.6;70.6;2371;2244;2450;3166;0;0;0;0
Lunar & nibra & Kito;#1 LFT;4;4;100.00;2585;646.25;10;2.5;3;0.75;9;2.25;19;4.75;44;11;11;2.75;6;1.5;52.63;424.97;45.73;9999;2499.75;6486;1621.5;3513;878.25;81;20.25;309;77.25;1638;409.5;866;216.5;772;193;13;3.25;71;17.75;170.32;42.58;83.44;20.86;1630;407.5;1612;403;438;109.5;1560.9;1982144;495536;636.54;159.13;467.64;116.91;283.22;70.81;743.21;185.8;590.78;147.7;53.4;13.35;32.55;8.14;0.13;240;60;624.8;156.2;667.7;166.92;371.69;92.92;1015.7;253.93;953.54;238.39;433.85;108.46;705.53;176.38;416.74;104.18;265.12;66.28;2185.86;2020.62;2360.86;2823.39;3;0.75;4;1
Lunar & nibra & Kito;(:;1;1;100.00;424;424;2;2;0;0;0;0;5;5;9;9;2;2;2;2;40;432;52.04;2496;2496;1925;1925;571;571;25;25;55;55;572;572;410;410;162;162;6;6;14;14;38.76;38.76;26.43;26.43;353;353;592;592;189;189;1562;507551;507551;148.71;148.71;129.46;129.46;69.62;69.62;186.51;186.51;143.89;143.89;17.39;17.39;4.76;4.76;0.11;45;45;138;138;191.7;191.7;102.77;102.77;245.02;245.02;215.42;215.42;132.37;132.37;154.13;154.13;114.01;114.01;79.65;79.65;2335;2091;2581;3082;3;3;1;1
DataReggie & -200 not2splayergetrdy4Ls;-200 not2splayergetrdy4Ls;1;1;100.00;517;517;4;4;0;0;0;0;4;4;1;1;0;0;0;0;100;427;42.04;1302;1302;879;879;423;423;10;10;38;38;133;133;0;0;133;133;0;0;12;12;11.91;11.91;12.73;12.73;100;100;134;134;5;5;1638;279504;279504;75.52;75.52;66.88;66.88;46.93;46.93;97.9;97.9;82.73;82.73;8.69;8.69;5.88;5.88;0.13;47;47;82.3;82.3;93.1;93.1;48.39;48.39;140.94;140.94;105.91;105.91;83.42;83.42;66.05;66.05;82.61;82.61;40.67;40.67;2588;2685;2449;3171;0;0;1;1
