team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Jup. & swazz & velocity;"  ";6;4;66.67;2847;474.5;11;1.83;3;0.5;11;1.83;15;2.5;31;5.17;9;1.5;5;0.83;73.33;427.57;50.21;10449;1741.5;6990;1165;3459;576.5;88;14.67;299;49.83;2398;399.67;1247;207.83;1151;191.83;19;3.17;90;15;181.16;30.19;166.55;27.76;1745;290.83;1798;299.67;659;109.83;1523.4;2006460;334410;682.17;113.7;534.65;89.11;210.17;35.03;862.79;143.8;493.22;82.2;70.96;11.83;25.2;4.2;0.13;186;31;757;126.17;610.6;101.77;311.94;51.99;1115.05;185.84;971.96;161.99;455.01;75.83;715.13;119.19;440.64;73.44;271.21;45.2;2347.63;2226.15;2470.24;2985.4;0;0;4;0.67
Jup. & swazz & velocity;"   JWeyts   ";2;1;50.00;1385;692.5;2;1;1;0.5;10;5;13;6.5;18;9;3;1.5;2;1;15.38;462.95;54.98;5366;2683;4156;2078;1210;605;56;28;104;52;1347;673.5;923;461.5;424;212;12;6;39;19.5;85.32;42.66;103.24;51.62;929;464.5;1518;759;292;146;1595.99;993051;496525.5;266.61;133.31;265.37;132.68;120.61;60.31;336.71;168.36;292.39;146.2;23.5;11.75;7.64;3.82;0.11;73;36.5;278.9;139.45;372.5;186.25;198.75;99.38;453.86;226.93;388.71;194.35;263.9;131.95;290.89;145.45;200.91;100.46;160.81;80.4;2253.57;1855.31;2621.54;3198.94;4;2;5;2.5
Jup. & swazz & velocity;!;1;0;0.00;234;234;0;0;0;0;1;1;4;4;6;6;2;2;1;1;0;499;50.5;2705;2705;1940;1940;765;765;23;23;68;68;593;593;200;200;393;393;2;2;33;33;36.91;36.91;43.06;43.06;514;514;392;392;0;0;1652;519406;519406;128.77;128.77;120.21;120.21;81.55;81.55;190.24;190.24;119.88;119.88;20.41;20.41;7.37;7.37;0.11;70;70;185.4;185.4;134.7;134.7;89.99;89.99;240.54;240.54;164.72;164.72;165.82;165.82;119.06;119.06;110.05;110.05;101.42;101.42;2300;2191;2393;2997;2;2;1;1
Jup. & swazz & velocity;! TKL;1;0;0.00;361;361;0;0;1;1;2;2;4;4;7;7;3;3;1;1;0;388;50.16;2276;2276;1752;1752;524;524;22;22;46;46;623;623;428;428;195;195;5;5;18;18;29.85;29.85;62.45;62.45;417;417;463;463;81;81;1538;493640;493640;154.53;154.53;130.89;130.89;55.05;55.05;180.46;180.46;131.23;131.23;28.78;28.78;6.23;6.23;0.08;74;74;189.7;189.7;142;142;81.1;81.1;259.37;259.37;213.84;213.84;126.64;126.64;155.82;155.82;104.9;104.9;79.76;79.76;2050;1937;2215;2630;1;1;2;2
Jup. & swazz & velocity;##boom;6;3;50.00;3302;550.33;12;2;2;0.33;9;1.5;25;4.17;44;7.33;18;3;7;1.17;48;474.97;47.28;15696;2616;11657;1942.83;4039;673.17;141;23.5;352;58.67;3682;613.67;2319;386.5;1363;227.17;28;4.67;109;18.17;235.57;39.26;180.79;30.13;3279;546.5;2503;417.17;507;84.5;1609.74;2888133;481355.5;809.14;134.86;693.44;115.57;439.59;73.27;1097.95;182.99;730.74;121.79;113.49;18.91;33.69;5.61;0.1;327;54.5;950.6;158.43;878.4;146.4;477.37;79.56;1464.8;244.13;1234.16;205.69;708.01;118;881.54;146.92;625.06;104.18;435.57;72.6;2225.22;1989.21;2420.7;3037.18;2;0.33;3;0.5
Jup. & swazz & velocity;*******;13;7;53.85;7345;565;26;2;5;0.38;29;2.23;60;4.62;128;9.85;32;2.46;17;1.31;43.33;385.79;46.72;28634;2202.62;20044;1541.85;8590;660.77;250;19.23;752;57.85;7121;547.77;4196;322.77;2925;225;52;4;259;19.92;520.34;40.03;617.37;47.49;4018;309.08;5131;394.69;1107;85.15;1563.06;6509424;500724.94;2014.98;155;1776.02;136.62;704.92;54.22;2508.2;192.94;1735.67;133.51;252.05;19.39;68.52;5.27;0.14;479;36.85;2095.8;161.22;2184.9;168.07;1138.06;87.54;3357.86;258.3;2839.65;218.43;1656.27;127.41;2064.16;158.78;1440.41;110.8;991.38;76.26;2306.28;2239.22;2368.33;2858.81;9;0.69;10;0.77
Jup. & swazz & velocity;,;6;4;66.67;4078;679.67;15;2.5;6;1;15;2.5;23;3.83;58;9.67;19;3.17;8;1.33;65.22;446.43;46.67;15126;2521;10574;1762.33;4552;758.67;126;21;388;64.67;2921;486.83;1438;239.67;1483;247.17;17;2.83;120;20;278.56;46.43;165.11;27.52;2940;490;2116;352.67;290;48.33;1574.35;2899297;483216.16;898.72;149.79;751.44;125.24;363.47;60.58;1130.79;188.47;780.92;130.15;101.94;16.99;29.82;4.97;0.13;231;38.5;1026.1;171.02;851;141.83;445.28;74.21;1568.38;261.4;1372.85;228.81;640.8;106.8;1017.79;169.63;626.66;104.44;369.2;61.53;2277.94;2293.41;2247.85;2930.66;4;0.67;3;0.5
ZKR59- & -breyyn;-breyyn;1;1;100.00;634;634;2;2;3;3;1;1;4;4;4;4;0;0;0;0;50;347;45.28;1267;1267;858;858;409;409;9;9;38;38;333;333;187;187;146;146;2;2;14;14;32.67;32.67;24.11;24.11;80;80;80;80;26;26;1593;276809;276809;85.46;85.46;67.82;67.82;38.83;38.83;106.66;106.66;79.75;79.75;5.69;5.69;2.6;2.6;0.14;19;19;105.5;105.5;75.8;75.8;32.96;32.96;159.14;159.14;133.22;133.22;58.89;58.89;102.53;102.53;51.3;51.3;38.27;38.27;2557;2426;2948;3396;0;0;2;2
Jup. & swazz & velocity;-yova;13;3;23.08;7700;592.31;21;1.62;5;0.38;43;3.31;44;3.38;132;10.15;53;4.08;26;2;47.73;473.66;45.01;35166;2705.08;25303;1946.38;9863;758.69;292;22.46;869;66.85;7853;604.08;4690;360.77;3163;243.31;55;4.23;281;21.62;628.87;48.37;411.38;31.64;6943;534.08;4017;309;796;61.23;1608.99;6697768;515212.94;1991.08;153.16;1491.5;114.73;1082.51;83.27;2399.18;184.55;1911.97;147.07;253.98;19.54;101.25;7.79;0.09;1145;88.08;2274.6;174.97;2049.4;157.65;1145.51;88.12;3419.63;263.05;2997.58;230.58;1567.56;120.58;2210.85;170.07;1448.25;111.4;906;69.69;2341.05;2311.19;2347.89;2948.57;23;1.77;15;1.15
Jup. & swazz & velocity;.;2;0;0.00;490;245;2;1;0;0;1;0.5;4;2;11;5.5;7;3.5;5;2.5;50;445.67;45.41;4024;2012;2856;1428;1168;584;35;17.5;110;55;811;405.5;467;233.5;344;172;5;2.5;33;16.5;93.41;46.71;42.41;21.2;762;381;678;339;39;19.5;1682.61;878056;439028;183.43;91.71;243.56;121.78;128.1;64.05;303.11;151.55;222.18;111.09;29.81;14.9;10.48;5.24;0.11;101;50.5;238.4;119.2;292.3;146.15;169.3;84.65;385.81;192.9;341.15;170.57;213.95;106.97;237.12;118.56;187.28;93.64;130.69;65.35;2204.92;2056.47;2336.34;2965.86;0;0;0;0
