team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Reevo & Gaheris & rizun;" ";5;3;60.00;2896;579.2;9;1.8;5;1;11;2.2;25;5;44;8.8;11;2.2;6;1.2;36;425;48.03;10762;2152.4;7694;1538.8;3068;613.6;93;18.6;256;51.2;2592;518.4;1610;322;982;196.4;18;3.6;82;16.4;210.13;42.03;145.94;29.19;1470;294;1679;335.8;207;41.4;1573.47;2218066;443613.19;679.5;135.9;545.61;109.12;306.53;61.31;727.14;145.43;696.41;139.28;108.08;21.62;29.01;5.8;0.12;248;49.6;720.6;144.12;725.2;145.04;340.88;68.18;1190.75;238.15;1011.71;202.34;519.93;103.99;763.73;152.75;451.96;90.39;315.94;63.19;2095.48;2049.87;2074.79;2812.18;6;1.2;5;1
Reevo & Gaheris & rizun;"   JWeyts   ";7;3;42.86;2792;398.86;10;1.43;5;0.71;7;1;18;2.57;40;5.71;18;2.57;12;1.71;55.56;431.75;52.04;12022;1717.43;8791;1255.86;3231;461.57;105;15;275;39.29;2944;420.57;2076;296.57;868;124;26;3.71;74;10.57;155.22;22.17;216.89;30.98;1714;244.86;1840;262.86;567;81;1575.06;2372168;338881.16;780.47;111.5;537.31;76.76;349.42;49.92;861.39;123.06;708.56;101.22;97.26;13.89;29.1;4.16;0.13;236;33.71;768.4;109.77;795.8;113.69;439.88;62.84;1227.32;175.33;1101.32;157.33;565.87;80.84;782.77;111.82;558.04;79.72;326.41;46.63;2263.37;2167.56;2311.01;2914.11;5;0.71;4;0.57
Reevo & Gaheris & rizun;" Cayyh";1;0;0.00;32;32;0;0;0;0;0;0;1;1;6;6;4;4;1;1;0;286;45.23;373;373;278;278;95;95;3;3;9;9;21;21;0;0;21;21;0;0;2;2;7.15;7.15;4.44;4.44;11;11;21;21;0;0;1324;120836;120836;83.28;83.28;37.15;37.15;13.5;13.5;72.97;72.97;54.56;54.56;6.4;6.4;2.08;2.08;0.1;20;20;60.9;60.9;59.9;59.9;51.74;51.74;82.19;82.19;117.45;117.45;16.48;16.48;89.34;89.34;37.51;37.51;7.08;7.08;2613;2152;2841;2975;0;0;0;0
Reevo & Gaheris & rizun;!;3;2;66.67;1770;590;5;1.67;0;0;9;3;17;5.67;21;7;5;1.67;2;0.67;29.41;487.16;43.58;8458;2819.33;6143;2047.67;2315;771.67;77;25.67;193;64.33;1836;612;1241;413.67;595;198.33;15;5;53;17.67;138.98;46.33;146.43;48.81;1394;464.67;1629;543;265;88.33;1664.78;1602188;534062.69;372.65;124.22;414.09;138.03;228.13;76.04;575.02;191.67;385.24;128.41;54.61;18.2;15.93;5.31;0.14;116;38.67;471.4;157.13;512.3;170.77;216.3;72.1;798.56;266.19;645.3;215.1;369.55;123.18;462.97;154.32;347.11;115.7;204.78;68.26;2232.11;2116.01;2294.68;2978;2;0.67;2;0.67
Reevo & Gaheris & rizun;! Elijae;4;4;100.00;1964;491;9;2.25;3;0.75;1;0.25;19;4.75;18;4.5;11;2.75;2;0.5;47.37;475.02;46.26;10132;2533;7854;1963.5;2278;569.5;93;23.25;203;50.75;1463;365.75;845;211.25;618;154.5;9;2.25;53;13.25;212.4;53.1;146.89;36.72;1113;278.25;1467;366.75;60;15;1595.63;1920438;480109.5;589.45;147.36;473.33;118.33;272.27;68.07;621.14;155.29;604.81;151.2;109.09;27.27;27.8;6.95;0.09;316;79;582.7;145.68;665;166.25;342.32;85.58;992.73;248.18;872.2;218.05;462.86;115.71;622.37;155.59;443.07;110.77;269.61;67.4;2240.17;2126.89;2297.57;2924.82;6;1.5;3;0.75
Reevo & Gaheris & rizun;! KiroX;5;2;40.00;2015;403;6;1.2;1;0.2;7;1.4;17;3.4;32;6.4;14;2.8;2;0.4;35.29;387.42;48.44;8297;1659.4;6162;1232.4;2135;427;78;15.6;192;38.4;1686;337.2;985;197;701;140.2;13;2.6;62;12.4;183.58;36.72;154.31;30.86;857;171.4;1537;307.4;276;55.2;1547.47;1883840;376768;621.45;124.29;468.42;93.68;227.95;45.59;682.4;136.48;567.39;113.48;68.02;13.6;16.84;3.37;0.12;143;28.6;634.4;126.88;620.8;124.16;328.21;65.64;989.6;197.92;862.75;172.55;455.05;91.01;638.88;127.78;430.48;86.1;248.47;49.69;2352.83;2136.39;2537.03;3016.22;4;0.8;5;1
Reevo & Gaheris & rizun;!sk.;1;1;100.00;757;757;1;1;2;2;4;4;6;6;14;14;3;3;3;3;16.67;398;47.76;2613;2613;1743;1743;870;870;21;21;78;78;264;264;0;0;264;264;0;0;24;24;47.09;47.09;56.22;56.22;219;219;395;395;9;9;1613;574624;574624;160.14;160.14;141;141;84.05;84.05;185.45;185.45;172.35;172.35;27.39;27.39;6.73;6.73;0.1;67;67;177.3;177.3;181;181;88.75;88.75;296.44;296.44;248.98;248.98;136.21;136.21;176.17;176.17;133.11;133.11;75.9;75.9;2543;2408;2676;2905;2;2;0;0
Reevo & Gaheris & rizun;*******************;25;10;40.00;12840;513.6;30;1.2;20;0.8;69;2.76;72;2.88;212;8.48;77;3.08;39;1.56;41.67;449.72;47.49;57081;2283.24;42919;1716.76;14162;566.48;533;21.32;1203;48.12;10734;429.36;6637;265.48;4097;163.88;82;3.28;360;14.4;1167.29;46.69;902;36.08;7390;295.6;10350;414;1721;68.84;1581.21;11444933;457797.31;3357.36;134.29;2949.48;117.98;1586.67;63.47;3902.47;156.1;3501.84;140.07;489.26;19.57;170.97;6.84;0.1;1736;69.44;3984.6;159.38;3716;148.64;1871.8;74.87;6021.74;240.87;5266.76;210.67;2626.76;105.07;3819.68;152.79;2591.14;103.65;1482.73;59.31;2466.59;2299.25;2597.35;3074.86;18;0.72;13;0.52
Reevo & Gaheris & rizun;.;1;1;100.00;513;513;2;2;0;0;1;1;3;3;6;6;1;1;0;0;66.67;412;41.99;2299;2299;1463;1463;836;836;16;16;76;76;372;372;0;0;372;372;0;0;32;32;40.45;40.45;30.74;30.74;247;247;148;148;6;6;1438;465618;465618;180.51;180.51;113.49;113.49;44.72;44.72;196.14;196.14;125.31;125.31;17.26;17.26;7.25;7.25;0.1;71;71;204.8;204.8;125.1;125.1;61.92;61.92;276.8;276.8;217.63;217.63;121.08;121.08;157.54;157.54;119.54;119.54;61.63;61.63;2183;2335;1968;2778;1;1;2;2
Reevo & Gaheris & rizun;.;1;0;0.00;168;168;0;0;0;0;1;1;2;2;13;13;8;8;4;4;0;334;45.72;2074;2074;1593;1593;481;481;20;20;43;43;489;489;367;367;122;122;4;4;12;12;51.14;51.14;46.8;46.8;380;380;424;424;41;41;1405;467319;467319;214.63;214.63;118.68;118.68;46.3;46.3;225.08;225.08;145.23;145.23;9.3;9.3;11.1;11.1;0.19;58;58;181.4;181.4;182.9;182.9;117.38;117.38;262.23;262.23;273.38;273.38;106.22;106.22;208.21;208.21;117.93;117.93;53.46;53.46;2345;2147;2424;2923;2;2;1;1
