team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
mrtn & chat off & Sergeant;" ";12;7;58.33;6517;543.08;23;1.92;5;0.42;21;1.75;53;4.42;89;7.42;31;2.58;17;1.42;43.4;481.73;53.67;32381;2698.42;23778;1981.5;8603;716.92;300;25;769;64.08;8680;723.33;5163;430.25;3517;293.08;64;5.33;286;23.83;435.91;36.33;425.24;35.44;5864;488.67;6667;555.58;1369;114.08;1612.36;5953705;496142.09;1595.13;132.93;1536.73;128.06;885.01;73.75;2132.07;177.67;1683.46;140.29;201.36;16.78;73.94;6.16;0.12;629;52.42;1713.7;142.81;2132.4;177.7;1217.99;101.5;2798.92;233.24;2421.28;201.77;1595.63;132.97;1697.99;141.5;1326.7;110.56;992.2;82.68;2451.17;2313.62;2596.91;3152.11;29;2.42;7;0.58
mrtn & chat off & Sergeant;"   JWeyts   ";3;1;33.33;1408;469.33;5;1.67;1;0.33;5;1.67;9;3;19;6.33;9;3;6;2;55.56;446.93;46.81;6555;2185;4874;1624.67;1681;560.33;60;20;148;49.33;1568;522.67;1001;333.67;567;189;11;3.67;50;16.67;100.17;33.39;104.17;34.72;1065;355;1066;355.33;106;35.33;1572.23;1262001;420667;384.48;128.16;321.94;107.31;165.62;55.21;458.75;152.92;342.21;114.07;71.09;23.7;12.58;4.19;0.14;103;34.33;342.5;114.17;464.4;154.8;251.44;83.81;620.6;206.87;526.77;175.59;345.26;115.09;378.35;126.12;279.64;93.21;214.05;71.35;2420.25;2124.53;2694.17;3358.86;3;1;1;0.33
mrtn & chat off & Sergeant;! 2 EM;3;2;66.67;1209;403;3;1;3;1;5;1.67;8;2.67;20;6.67;9;3;5;1.67;37.5;386.85;55.91;6695;2231.67;4760;1586.67;1935;645;61;20.33;181;60.33;1790;596.67;1136;378.67;654;218;14;4.67;61;20.33;96.91;32.3;113.66;37.89;924;308;1441;480.33;287;95.67;1654.9;1480305;493435;408.05;136.02;390.22;130.07;207.99;69.33;616.33;205.44;362.99;121;26.96;8.99;14.73;4.91;0.09;169;56.33;525.5;175.17;421.5;140.5;224.8;74.93;781.47;260.49;659.74;219.91;346.52;115.51;474.56;158.19;349.03;116.34;182.68;60.89;2617.43;2528.35;2695.59;3180;4;1.33;2;0.67
mrtn & chat off & Sergeant;! Elijae;1;0;0.00;408;408;0;0;0;0;2;2;3;3;10;10;2;2;1;1;0;459;48.86;3185;3185;2507;2507;678;678;28;28;61;61;807;807;590;590;217;217;7;7;20;20;82.36;82.36;50.31;50.31;345;345;273;273;109;109;1575;640168;640168;178.47;178.47;160.93;160.93;81.56;81.56;187.02;187.02;182.3;182.3;51.64;51.64;8.4;8.4;0.11;74;74;179.5;179.5;235.4;235.4;125.21;125.21;295.75;295.75;267.93;267.93;153.03;153.03;186.13;186.13;153.59;153.59;81.24;81.24;2199;2047;2356;3047;1;1;2;2
mrtn & chat off & Sergeant;! Ghassan;2;1;50.00;1151;575.5;4;2;2;1;3;1.5;10;5;23;11.5;7;3.5;3;1.5;40;442.97;44.15;5673;2836.5;4013;2006.5;1660;830;47;23.5;150;75;911;455.5;388;194;523;261.5;5;2.5;46;23;120.33;60.17;66.61;33.31;772;386;753;376.5;119;59.5;1573.86;1146054;573027;353.69;176.85;290.04;145.02;143.42;71.71;434.57;217.29;315.63;157.82;36.96;18.48;10.23;5.12;0.09;105;52.5;322.9;161.45;416.8;208.4;236.54;118.27;550.61;275.3;477.51;238.76;309.65;154.82;337.96;168.98;274.1;137.05;175.09;87.54;2561.03;2355.02;2742.29;3289.17;1;0.5;2;1
mrtn & chat off & Sergeant;#1;2;1;50.00;693;346.5;2;1;0;0;4;2;4;2;16;8;3;1.5;3;1.5;50;418.11;43.51;4554;2277;3159;1579.5;1395;697.5;38;19;123;61.5;570;285;239;119.5;331;165.5;4;2;28;14;100.72;50.36;41.27;20.63;759;379.5;643;321.5;160;80;1490.72;905567;452783.5;317.6;158.8;213.55;106.78;109.71;54.85;334.49;167.24;266.49;133.24;39.86;19.93;17.13;8.57;0.13;127;63.5;371.5;185.75;249.7;124.85;139.2;69.6;501.65;250.82;446.61;223.3;194.24;97.12;334.68;167.34;203.41;101.71;102.77;51.39;2168.66;2168.05;2046.03;2773.85;4;2;3;1.5
, & Bamby;,;1;0;0.00;394;394;1;1;1;1;0;0;5;5;9;9;4;4;1;1;20;462;42.63;2593;2593;1885;1885;708;708;23;23;61;61;593;593;319;319;274;274;4;4;23;23;70.86;70.86;32.54;32.54;290;290;316;316;80;80;1666;561615;561615;136.19;136.19;146.43;146.43;83.01;83.01;170.4;170.4;166.59;166.59;28.64;28.64;6.28;6.28;0.09;68;68;154.2;154.2;196.2;196.2;121.48;121.48;244.16;244.16;238.14;238.14;127.5;127.5;175.1;175.1;104.52;104.52;86.02;86.02;2094;1834;2371;3143;0;0;3;3
mrtn & chat off & Sergeant;,;2;2;100.00;1918;959;7;3.5;2;1;6;3;15;7.5;27;13.5;7;3.5;2;1;46.67;427.15;46.64;7063;3531.5;4940;2470;2123;1061.5;59;29.5;178;89;1000;500;431;215.5;569;284.5;6;3;50;25;105.6;52.8;127.77;63.88;722;361;1009;504.5;185;92.5;1579.14;1496748;748374;434.65;217.32;395.41;197.71;182.89;91.44;483.12;241.56;448.7;224.35;81.12;40.56;16.09;8.05;0.11;148;74;507.3;253.65;474.5;237.25;226;113;786.94;393.47;661.48;330.74;351.45;175.73;509.29;254.65;308.74;154.37;194.91;97.46;2353.85;2220.11;2456.9;2913.58;2;1;5;2.5
NinjaWarriorGo & -200 & FuNoX;-200;1;0;0.00;834;834;2;2;1;1;5;5;6;6;14;14;4;4;1;1;33.33;480;48.01;3433;3433;2463;2463;970;970;30;30;77;77;440;440;240;240;200;200;3;3;18;18;73.11;73.11;42.23;42.23;929;929;570;570;60;60;1600;651938;651938;185.57;185.57;154.48;154.48;96.65;96.65;257.12;257.12;163.34;163.34;16.22;16.22;6.43;6.43;0.09;69;69;199.3;199.3;207.6;207.6;134.36;134.36;302.33;302.33;293.5;293.5;143.2;143.2;218;218;134.64;134.64;84.05;84.05;2163;1890;2421;2763;2;2;0;0
mrtn & chat off & Sergeant;-trace;4;2;50.00;2492;623;7;1.75;4;1;12;3;21;5.25;41;10.25;10;2.5;4;1;33.33;394.69;45.71;9401;2350.25;6388;1597;3013;753.25;78;19.5;269;67.25;1775;443.75;909;227.25;866;216.5;11;2.75;77;19.25;168;42;157.42;39.35;1134;283.5;1492;373;200;50;1483.67;2059384;514846;749.81;187.45;531.74;132.94;205.4;51.35;864.58;216.14;556.03;139.01;66.32;16.58;23.17;5.79;0.12;189;47.25;717.1;179.28;719.3;179.82;317.3;79.32;1169.66;292.42;957.39;239.35;529.55;132.39;670.34;167.58;521.73;130.43;294.88;73.72;2414.66;2320.43;2460.9;2997.87;5;1.25;8;2
