team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Nym & Coconut & mrtn;"  ";12;7;58.33;6643;553.58;17;1.42;16;1.33;25;2.08;59;4.92;99;8.25;33;2.75;11;0.92;28.81;450.76;47.2;27038;2253.17;19972;1664.33;7066;588.83;249;20.75;604;50.33;5539;461.58;3314;276.17;2225;185.42;43;3.58;184;15.33;424.68;35.39;385.43;32.12;3424;285.33;3452;287.67;647;53.92;1552.91;5094327;424527.25;1639.28;136.61;1324.14;110.34;627.04;52.25;1966.09;163.84;1460.57;121.71;163.78;13.65;59.01;4.92;0.11;540;45;1751.4;145.95;1661.2;138.43;947.69;78.97;2642.76;220.23;2297.48;191.46;1292.94;107.75;1727.43;143.95;1102.91;91.91;760.08;63.34;2580.46;2432.41;2722.98;3181.64;9;0.75;14;1.17
piiiiano & r & pinkylink;" .";2;0;0.00;550;275;0;0;0;0;3;1.5;9;4.5;12;6;4;2;2;1;0;449.22;46.36;4782;2391;3249;1624.5;1533;766.5;37;18.5;135;67.5;1092;546;559;279.5;533;266.5;7;3.5;45;22.5;94.59;47.29;46.33;23.17;1043;521.5;469;234.5;140;70;1705.32;1050915;525457.5;229.94;114.97;221.46;110.73;193.74;96.87;360.62;180.31;258.12;129.06;26.39;13.19;12.45;6.22;0.11;113;56.5;330.9;165.45;306.6;153.3;181.16;90.58;463.98;231.99;378.57;189.29;266.57;133.29;268.78;134.39;220.42;110.21;155.95;77.98;2588.59;2397.15;2690.79;3130.23;3;1.5;1;0.5
. &  Cayyh;" Cayyh";1;0;0.00;256;256;0;0;1;1;1;1;2;2;10;10;5;5;4;4;0;501;46.31;3077;3077;2370;2370;707;707;28;28;62;62;703;703;489;489;214;214;7;7;18;18;75.85;75.85;29.45;29.45;538;538;432;432;213;213;1529;521773;521773;176.41;176.41;130.92;130.92;70.68;70.68;196.86;196.86;166.72;166.72;14.43;14.43;10.6;10.6;0.13;82;82;160.3;160.3;196;196;101.1;101.1;276.91;276.91;245.76;245.76;132.25;132.25;174.85;174.85;127.01;127.01;76.15;76.15;2284;2153;2401;2817;3;3;3;3
Nym & Coconut & mrtn;!sk.;1;0;0.00;247;247;0;0;0;0;1;1;2;2;8;8;5;5;2;2;0;388;46.79;1998;1998;1329;1329;669;669;16;16;58;58;256;256;36;36;220;220;1;1;19;19;34.51;34.51;28.52;28.52;279;279;297;297;70;70;1578;407867;407867;126.86;126.86;104.4;104.4;52.32;52.32;145.24;145.24;124.07;124.07;14.26;14.26;4.85;4.85;0.1;49;49;131.2;131.2;130.8;130.8;83.66;83.66;199.92;199.92;190.57;190.57;93.01;93.01;148.29;148.29;83.13;83.13;52.16;52.16;2584;2629;2494;3137;2;2;1;1
Nym & Coconut & mrtn;""" m4^";1;1;100.00;880;880;3;3;0;0;4;4;4;4;11;11;2;2;0;0;75;469;52.64;3049;3049;2305;2305;744;744;29;29;68;68;841;841;606;606;235;235;8;8;21;21;34.28;34.28;37.84;37.84;560;560;610;610;204;204;1479;553398;553398;192.1;192.1;153.36;153.36;53.13;53.13;250.02;250.02;137.08;137.08;11.49;11.49;9.11;9.11;0.12;78;78;224.3;224.3;157;157;95.4;95.4;303.19;303.19;246;246;152.59;152.59;178.86;178.86;118.72;118.72;101;101;2235;2025;2435;2957;1;1;1;1
Nym & Coconut & mrtn;&AVC;1;1;100.00;427;427;1;1;0;0;3;3;2;2;9;9;1;1;1;1;50;513;49.29;2479;2479;1854;1854;625;625;22;22;60;60;466;466;258;258;208;208;3;3;20;20;27.84;27.84;34.95;34.95;425;425;372;372;57;57;1579;438622;438622;137.07;137.07;85.82;85.82;73.83;73.83;181.12;181.12;114.79;114.79;0.8;0.8;7.13;7.13;0.11;66;66;178.9;178.9;103.8;103.8;60.74;60.74;235.98;235.98;194.05;194.05;102.67;102.67;151.27;151.27;97.13;97.13;48.32;48.32;2564;2709;2325;3171;2;2;1;1
***** & Layzoo;*****;1;0;0.00;301;301;0;0;0;0;2;2;2;2;10;10;4;4;2;2;0;423;47.34;2220;2220;1742;1742;478;478;19;19;43;43;308;308;187;187;121;121;2;2;12;12;47.77;47.77;36.12;36.12;174;174;178;178;28;28;1578;447277;447277;142.73;142.73;96.59;96.59;63.87;63.87;155.15;155.15;123.59;123.59;24.45;24.45;3.94;3.94;0.13;30;30;128.5;128.5;160.5;160.5;99.16;99.16;204.03;204.03;215.16;215.16;88.02;88.02;165.23;165.23;80.55;80.55;57.41;57.41;2091;1855;2273;2697;1;1;1;1
Nym & Coconut & mrtn;***********;3;2;66.67;998;332.67;4;1.33;1;0.33;3;1;10;3.33;30;10;9;3;7;2.33;40;403.26;49.92;6147;2049;4306;1435.33;1841;613.67;56;18.67;158;52.67;1928;642.67;1299;433;629;209.67;16;5.33;51;17;101.96;33.99;125.18;41.73;1497;499;1337;445.67;308;102.67;1528.85;1312120;437373.34;456.64;152.21;302.08;100.69;171.07;57.02;551.9;183.97;316.74;105.58;61.14;20.38;23.03;7.68;0.13;182;60.67;386.8;128.93;503.8;167.93;284.65;94.88;645.13;215.04;587.38;195.79;342.4;114.13;448.38;149.46;273.14;91.05;208.25;69.42;2277.41;2109.56;2462.8;2909.01;5;1.67;2;0.67
Nym & Coconut & mrtn;-417 aiyxzao.0';2;1;50.00;771;385.5;3;1.5;3;1.5;1;0.5;5;2.5;11;5.5;5;2.5;3;1.5;60;371.69;53.37;3159;1579.5;2229;1114.5;930;465;28;14;84;42;305;152.5;36;18;269;134.5;2;1;25;12.5;63.75;31.88;65.33;32.67;91;45.5;610;305;190;95;1493.5;709521;354760.5;267.42;133.71;171.38;85.69;86.1;43.05;280.35;140.18;220.3;110.15;24.26;12.13;12.29;6.14;0.1;126;63;260.1;130.05;240.7;120.35;112.47;56.24;412.44;206.22;350.79;175.39;174.12;87.06;244.8;122.4;183.39;91.69;96.72;48.36;2439.41;2300.26;2656.55;2894.54;1;0.5;3;1.5
Nym & Coconut & mrtn;-breyyn;5;2;40.00;3216;643.2;8;1.6;6;1.2;13;2.6;21;4.2;42;8.4;11;2.2;7;1.4;38.1;373.43;55.23;10582;2116.4;7371;1474.2;3211;642.2;99;19.8;299;59.8;2651;530.2;1490;298;1161;232.2;20;4;108;21.6;96.06;19.21;258.1;51.62;1505;301;2724;544.8;578;115.6;1549.23;2356733;471346.59;763.88;152.78;584.68;116.94;284.5;56.9;945.18;189.04;637.34;127.47;50.55;10.11;30.5;6.1;0.16;202;40.4;803.4;160.68;789.9;157.98;376.35;75.27;1256.72;251.34;1021.03;204.21;612.02;122.4;724.39;144.88;549.24;109.85;359.44;71.89;2185.51;2153.43;2259.34;3017.09;5;1;6;1.2
Nym & Coconut & mrtn;.;9;6;66.67;4340;482.22;13;1.44;12;1.33;11;1.22;48;5.33;47;5.22;19;2.11;4;0.44;27.08;510.49;45.29;21488;2387.56;16093;1788.11;5395;599.44;185;20.56;466;51.78;5214;579.33;3240;360;1974;219.33;36;4;170;18.89;393.74;43.75;253.69;28.19;2594;288.22;1739;193.22;316;35.11;1608.42;3691615;410179.44;1029.94;114.44;988.62;109.85;489.24;54.36;1278.2;142.02;1064.52;118.28;165.07;18.34;79.1;8.79;0.1;768;85.33;1116.7;124.08;1236.7;137.41;681.15;75.68;1826.65;202.96;1473.57;163.73;1034.24;114.92;994.06;110.45;883.64;98.18;630.08;70.01;2341.51;2172.81;2519.35;2985.57;13;1.44;8;0.89
Nym & Coconut & mrtn;.;1;0;0.00;603;603;2;2;0;0;4;4;4;4;15;15;6;6;2;2;50;454;42.38;2999;2999;2344;2344;655;655;27;27;59;59;748;748;516;516;232;232;6;6;20;20;64.43;64.43;28.15;28.15;394;394;371;371;83;83;1592;534178;534178;156.23;156.23;132.75;132.75;80;80;189.44;189.44;156.87;156.87;22.68;22.68;3.44;3.44;0.12;28;28;184;184;172.8;172.8;98.95;98.95;270.04;270.04;226.82;226.82;142.17;142.17;157.75;157.75;116.06;116.06;95.18;95.18;2203;1911;2421;2805;3;3;2;2
Nym & Coconut & mrtn;.;2;1;50.00;1571;785.5;6;3;1;0.5;6;3;12;6;21;10.5;8;4;2;1;50;368.03;47.43;4782;2391;3427;1713.5;1355;677.5;44;22;120;60;832;416;436;218;396;198;5;2.5;35;17.5;122.72;61.36;49.97;24.99;533;266.5;1010;505;85;42.5;1561.34;1075799;537899.5;345.37;172.68;269.32;134.66;145.26;72.63;393.04;196.52;324.35;162.18;42.55;21.27;12.28;6.14;0.11;115;57.5;363.7;181.85;345.5;172.75;188.65;94.32;571.29;285.64;508.35;254.18;251.59;125.79;385.88;192.94;229.83;114.91;144.24;72.12;2087.63;1976.72;2171.48;2765.57;1;0.5;3;1.5
Nym & Coconut & mrtn;.;1;0;0.00;128;128;0;0;1;1;0;0;1;1;5;5;3;3;2;2;0;390;49.19;840;840;645;645;195;195;7;7;17;17;77;77;0;0;77;77;0;0;7;7;15.9;15.9;6.49;6.49;84;84;61;61;6;6;1685;166851;166851;46.51;46.51;35.57;35.57;32.19;32.19;40.46;40.46;69.14;69.14;4.66;4.66;0.9;0.9;0.08;12;12;43.8;43.8;55.2;55.2;36.9;36.9;77.36;77.36;86.09;86.09;28.17;28.17;72.06;72.06;23.08;23.08;19.12;19.12;2814;2375;3168;3016;0;0;0;0
Nym & Coconut & mrtn;.;4;4;100.00;2519;629.75;5;1.25;3;0.75;10;2.5;29;7.25;32;8;8;2;4;1;17.24;476.71;44.06;10946;2736.5;8418;2104.5;2528;632;100;25;215;53.75;2212;553;1116;279;1096;274;15;3.75;89;22.25;240.71;60.18;147.36;36.84;1390;347.5;1647;411.75;373;93.25;1596.67;2166153;541538.25;600.21;150.05;562.5;140.62;286.22;71.56;684.02;171.01;642.12;160.53;122.8;30.7;26.4;6.6;0.09;305;76.25;642.8;160.7;763.6;190.9;334.08;83.52;1114.86;278.71;881.02;220.26;567.91;141.98;630.03;157.51;457.69;114.42;361.2;90.3;2172.49;1889.49;2450.08;2916.67;6;1.5;6;1.5
Nym & Coconut & mrtn;.;4;1;25.00;1589;397.25;6;1.5;0;0;1;0.25;23;5.75;36;9;13;3.25;1;0.25;26.09;424.33;47.41;8116;2029;5740;1435;2376;594;67;16.75;219;54.75;1422;355.5;711;177.75;711;177.75;9;2.25;65;16.25;91.6;22.9;140.36;35.09;927;231.75;1093;273.25;219;54.75;1641.85;1816358;454089.5;462.45;115.61;450.75;112.69;269.12;67.28;569.48;142.37;519.28;129.82;93.56;23.39;8.89;2.22;0.07;131;32.75;528.5;132.12;609.5;152.38;326.15;81.54;856.18;214.04;721.04;180.26;461.27;115.32;521.58;130.4;358.7;89.68;302.04;75.51;2166.98;2049.81;2309.08;2992.5;2;0.5;6;1.5
Nym & Coconut & mrtn;.;1;1;100.00;479;479;1;1;0;0;3;3;5;5;9;9;1;1;1;1;20;455;48.28;2724;2724;1987;1987;737;737;24;24;67;67;847;847;566;566;281;281;6;6;26;26;55.38;55.38;22.82;22.82;693;693;432;432;42;42;1642;552360;552360;142.36;142.36;130.75;130.75;77.87;77.87;210.07;210.07;128.63;128.63;12.29;12.29;7.21;7.21;0.13;56;56;167.8;167.8;175.7;175.7;93.72;93.72;257.27;257.27;219.99;219.99;131;131;163.37;163.37;104.25;104.25;83.36;83.36;2352;2152;2430;2884;0;0;1;1
Nym & Coconut & mrtn;.;8;3;37.50;3473;434.12;5;0.62;8;1;19;2.38;23;2.88;61;7.62;19;2.38;9;1.12;21.74;465.73;50.8;18641;2330.12;13410;1676.25;5231;653.88;168;21;473;59.12;4141;517.62;2377;297.12;1764;220.5;30;3.75;160;20;246.96;30.87;217.97;27.25;3828;478.5;3485;435.62;650;81.25;1632.66;3696198;462024.75;957.2;119.65;907.68;113.46;561.24;70.15;1313.89;164.24;979.35;122.42;132.87;16.61;50.78;6.35;0.11;451;56.38;1177.7;147.21;1146;143.25;609.68;76.21;1816.44;227.05;1515.42;189.43;910.71;113.84;1111.11;138.89;767.55;95.94;547.46;68.43;2318.21;2183.56;2414.36;3016.42;6;0.75;9;1.12
Rassawi & 9zpl & r7oomy999;.;4;0;0.00;1741;435.25;5;1.25;0;0;7;1.75;15;3.75;29;7.25;15;3.75;7;1.75;33.33;478.95;51.31;8514;2128.5;6422;1605.5;2092;523;79;19.75;191;47.75;1889;472.25;1242;310.5;647;161.75;14;3.5;59;14.75;155.28;38.82;90.8;22.7;914;228.5;1194;298.5;27;6.75;1528.52;1504061;376015.25;491.63;122.91;384.48;96.12;188.72;47.18;526.66;131.66;467.19;116.8;70.98;17.75;23.49;5.87;0.1;228;57;554.7;138.67;460.8;115.2;310.06;77.51;754.77;188.69;678.37;169.59;386.47;96.62;521.37;130.34;298.27;74.57;245.18;61.29;2242.71;1812.2;2536.96;2877.85;5;1.25;1;0.25
. &  Cayyh;.;1;0;0.00;745;745;4;4;0;0;2;2;5;5;10;10;5;5;1;1;80;403;45.23;2603;2603;1869;1869;734;734;23;23;66;66;707;707;430;430;277;277;5;5;25;25;47.67;47.67;48.79;48.79;335;335;457;457;70;70;1564;542994;542994;177.88;177.88;137.13;137.13;72.16;72.16;201.79;201.79;174.56;174.56;10.82;10.82;6;6;0.12;48;48;212.7;212.7;158.8;158.8;81.95;81.95;305.21;305.21;263.26;263.26;123.91;123.91;193.67;193.67;128.22;128.22;65.28;65.28;2219;2070;2372;2817;0;0;0;0
