team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Nachitow & kiermonsterr<3 & ;;3;1;33.33;1952;650.67;6;2;1;0.33;10;3.33;17;5.67;37;12.33;10;3.33;5;1.67;35.29;406.45;46.99;7545;2515;5283;1761;2262;754;65;21.67;201;67;1572;524;889;296.33;683;227.67;10;3.33;60;20;153.96;51.32;91.67;30.56;549;183;1272;424;117;39;1483.36;1566274;522091.34;566.51;188.84;431.08;143.69;142.48;47.49;558.99;186.33;476.49;158.83;104.59;34.86;27.06;9.02;0.11;249;83;551.4;183.8;554.5;184.83;291.97;97.32;848.11;282.7;779.64;259.88;360.44;120.15;580.36;193.45;350.88;116.96;208.84;69.61;2312.9;2107.93;2508.57;3074.46;0;0;6;2
Teemu Pukki & regser & .;;1;1;100.00;564;564;2;2;0;0;3;3;6;6;5;5;0;0;0;0;33.33;440;55.42;1349;1349;952;952;397;397;14;14;34;34;227;227;47;47;180;180;1;1;17;17;17.08;17.08;30.81;30.81;361;361;395;395;58;58;1654;314532;314532;77.27;77.27;66.35;66.35;57.28;57.28;109.15;109.15;77.07;77.07;14.68;14.68;4.57;4.57;0.09;49;49;94.6;94.6;99;99;31.81;31.81;169.09;169.09;119.64;119.64;81.26;81.26;89.84;89.84;60.74;60.74;50.32;50.32;1979;1813;2137;2894;2;2;1;1
Teemu Pukki & regser & .;"  ";1;0;0.00;210;210;0;0;0;0;0;0;5;5;5;5;4;4;2;2;0;462;54.01;2839;2839;2116;2116;723;723;28;28;64;64;655;655;402;402;253;253;5;5;22;22;47.98;47.98;42.7;42.7;454;454;725;725;107;107;1654;547831;547831;131.5;131.5;149.3;149.3;76.07;76.07;205.46;205.46;128.96;128.96;22.44;22.44;7.09;7.09;0.12;59;59;170.1;170.1;171.2;171.2;93.18;93.18;263.69;263.69;209.61;209.61;147.26;147.26;145.11;145.11;132.25;132.25;79.5;79.5;2151;2073;2226;2902;0;0;0;0
Teemu Pukki & regser & .;"   Sky   ";1;0;0.00;273;273;0;0;0;0;2;2;1;1;8;8;3;3;2;2;0;443;50.81;2026;2026;1335;1335;691;691;17;17;57;57;321;321;96;96;225;225;2;2;20;20;37.47;37.47;30.34;30.34;271;271;377;377;112;112;1653;430961;430961;88.82;88.82;137.67;137.67;45.78;45.78;156.6;156.6;108.59;108.59;7.08;7.08;4.27;4.27;0.1;43;43;145.2;145.2;119.5;119.5;80.53;80.53;191.74;191.74;162.38;162.38;109.89;109.89;108.27;108.27;106.65;106.65;57.34;57.34;2705;2507;2898;3197;0;0;1;1
Teemu Pukki & regser & .;!;1;1;100.00;266;266;0;0;1;1;1;1;2;2;7;7;2;2;0;0;0;462;52.47;2833;2833;2058;2058;775;775;26;26;72;72;510;510;270;270;240;240;4;4;22;22;25.56;25.56;58.45;58.45;374;374;610;610;153;153;1635;525609;525609;133.71;133.71;139.97;139.97;69.3;69.3;176.32;176.32;134.48;134.48;32.18;32.18;5.64;5.64;0.13;44;44;167.5;167.5;164.6;164.6;89.84;89.84;253.15;253.15;231.8;231.8;111.18;111.18;165.75;165.75;105.44;105.44;71.79;71.79;2358;2108;2684;3367;4;4;3;3
Teemu Pukki & regser & .;!;2;1;50.00;718;359;1;0.5;3;1.5;3;1.5;5;2.5;12;6;6;3;3;1.5;20;500.76;53.07;3465;1732.5;2930;1465;535;267.5;38;19;48;24;846;423;622;311;224;112;8;4;20;10;28.99;14.49;63.36;31.68;693;346.5;879;439.5;176;88;1615.02;580474;290237;186.88;93.44;119.6;59.8;104.14;52.07;233.35;116.68;160.58;80.29;16.69;8.34;7.14;3.57;0.11;67;33.5;207.2;103.6;165.9;82.95;115.24;57.62;295.39;147.7;283.12;141.56;127.5;63.75;210.15;105.07;131.6;65.8;68.89;34.44;2279.13;1915.93;2559.65;2973.65;0;0;1;0.5
Teemu Pukki & regser & .;!;7;4;57.14;3836;548;14;2;5;0.71;15;2.14;22;3.14;52;7.43;18;2.57;12;1.71;63.64;441.21;46.59;13302;1900.29;9716;1388;3586;512.29;119;17;330;47.14;3437;491;2294;327.71;1143;163.29;26;3.71;101;14.43;259.26;37.04;181.36;25.91;1604;229.14;2359;337;330;47.14;1611.96;2689629;384232.72;798.05;114.01;658.5;94.07;392.99;56.14;897.65;128.24;848.05;121.15;103.82;14.83;32.58;4.65;0.11;286;40.86;818.3;116.9;937.3;133.9;481.79;68.83;1367.72;195.39;1172.21;167.46;677.32;96.76;883.68;126.24;565.92;80.85;399.93;57.13;2158.36;2028.27;2305.2;2946.52;0;0;8;1.14
PNJ le Luvan & !;!;1;0;0.00;796;796;3;3;1;1;3;3;6;6;11;11;5;5;0;0;50;526;49.4;3296;3296;2420;2420;876;876;28;28;84;84;858;858;512;512;346;346;6;6;33;33;40.13;40.13;36.34;36.34;632;632;387;387;114;114;1621;574074;574074;161.06;161.06;143.7;143.7;85.38;85.38;223.38;223.38;155.42;155.42;11.35;11.35;7.31;7.31;0.12;61;61;155.5;155.5;205.5;205.5;103.32;103.32;286.83;286.83;236.18;236.18;153.97;153.97;172.96;172.96;117.42;117.42;99.77;99.77;2387;2261;2501;2885;3;3;1;1
! Khan. & shade. & ! 2 EM;! 2 EM;1;0;0.00;468;468;1;1;2;2;0;0;2;2;7;7;5;5;3;3;50;413;48.37;2560;2560;1626;1626;934;934;20;20;69;69;295;295;19;19;276;276;1;1;24;24;52.63;52.63;23.44;23.44;341;341;306;306;93;93;1572;550240;550240;169.55;169.55;149.87;149.87;64.98;64.98;218.7;218.7;150.21;150.21;15.49;15.49;8.32;8.32;0.1;81;81;173;173;184.8;184.8;109.33;109.33;275.07;275.07;245.16;245.16;139.24;139.24;177.51;177.51;125.85;125.85;81.04;81.04;2216;1904;2397;3130;2;2;0;0
! Khan. & shade. & ! 2 EM;! Khan.;5;1;20.00;2413;482.6;6;1.2;4;0.8;13;2.6;18;3.6;42;8.4;21;4.2;11;2.2;33.33;419.69;42.54;9645;1929;7293;1458.6;2352;470.4;85;17;209;41.8;1289;257.8;528;105.6;761;152.2;7;1.4;66;13.2;184.23;36.85;103.93;20.79;939;187.8;570;114;75;15;1576.47;1994165;398833;602.65;120.53;527.56;105.51;271.04;54.21;615.4;123.08;701.22;140.24;84.64;16.93;28.83;5.77;0.09;334;66.8;722.7;144.54;618.5;123.7;376.06;75.21;1025.21;205.04;915.31;183.06;485.96;97.19;666.52;133.3;450.77;90.15;283.99;56.8;2430.01;2199.3;2623.73;3215.45;5;1;1;0.2
Teemu Pukki & regser & .;! TKL;1;0;0.00;556;556;1;1;0;0;3;3;4;4;7;7;3;3;2;2;25;422;47.66;2118;2118;1560;1560;558;558;18;18;48;48;393;393;196;196;197;197;3;3;17;17;30.05;30.05;28.38;28.38;393;393;248;248;112;112;1636;499846;499846;121.12;121.12;119.41;119.41;80.13;80.13;153.09;153.09;151.71;151.71;15.85;15.85;6.39;6.39;0.08;79;79;183.7;183.7;126.5;126.5;89.12;89.12;231.54;231.54;182.9;182.9;137.75;137.75;124.04;124.04;107.84;107.84;88.78;88.78;2313;2142;2491;3152;0;0;1;1
