team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ant8pizza & Kito & tomster;;1;0;0.00;419;419;1;1;1;1;2;2;3;3;19;19;6;6;2;2;33.33;430;45.79;2535;2535;1771;1771;764;764;20;20;67;67;423;423;300;300;123;123;3;3;11;11;39.71;39.71;31.86;31.86;277;277;234;234;0;0;1563;544612;544612;176.6;176.6;137.54;137.54;68.84;68.84;183.93;183.93;170.44;170.44;28.63;28.63;7.98;7.98;0.09;87;87;181.7;181.7;204.4;204.4;100.8;100.8;282.19;282.19;285.99;285.99;97;97;220.18;220.18;112.81;112.81;50.01;50.01;2474;2022;2746;3335;1;1;0;0
r & ! Ghassan;! Ghassan;1;0;0.00;342;342;1;1;2;2;0;0;4;4;7;7;6;6;4;4;25;475;51.58;2896;2896;2176;2176;720;720;28;28;62;62;580;580;353;353;227;227;5;5;21;21;46.93;46.93;43.2;43.2;715;715;653;653;154;154;1584;530314;530314;169.43;169.43;117.34;117.34;82.46;82.46;217.24;217.24;138.93;138.93;13.06;13.06;5.63;5.63;0.11;53;53;160.7;160.7;183.9;183.9;124.41;124.41;244.83;244.83;220.91;220.91;148.33;148.33;154.22;154.22;132.78;132.78;82.23;82.23;2524;2546;2468;3100;0;0;2;2
bunjeyy. & !saphiix & Marmoan;!saphiix;2;2;100.00;1009;504.5;4;2;1;0.5;4;2;5;2.5;9;4.5;1;0.5;1;0.5;80;499.32;51.18;4327;2163.5;3275;1637.5;1052;526;37;18.5;93;46.5;1117;558.5;811;405.5;306;153;9;4.5;27;13.5;34;17;32.04;16.02;452;226;440;220;95;47.5;1706.67;830300;415150;163.55;81.77;235.88;117.94;117.51;58.76;235.45;117.72;247.26;123.63;34.24;17.12;15.12;7.56;0.09;173;86.5;224.1;112.05;274;137;130.85;65.43;386.1;193.05;291.86;145.93;225.09;112.54;199.53;99.76;197.56;98.78;119.86;59.93;2332.12;2306.36;2374.54;3136.85;1;0.5;1;0.5
ant8pizza & Kito & tomster;#;1;0;0.00;285;285;1;1;0;0;1;1;3;3;11;11;5;5;0;0;33.33;451;43.81;1964;1964;1519;1519;445;445;18;18;39;39;391;391;280;280;111;111;3;3;10;10;31.15;31.15;40.52;40.52;293;293;283;283;19;19;1557;390570;390570;119.23;119.23;106.11;106.11;48.24;48.24;152.8;152.8;106.57;106.57;14.21;14.21;5.2;5.2;0.11;46;46;111.3;111.3;145.2;145.2;96.87;96.87;176.71;176.71;212.42;212.42;61.16;61.16;165.99;165.99;79.29;79.29;28.31;28.31;2340;2022;2535;3113;1;1;1;1
ant8pizza & Kito & tomster;***********;9;7;77.78;4303;478.11;12;1.33;8;0.89;17;1.89;30;3.33;71;7.89;20;2.22;13;1.44;40;466.67;49.96;22388;2487.56;15974;1774.89;6414;712.67;204;22.67;542;60.22;5535;615;3365;373.89;2170;241.11;40;4.44;195;21.67;356.28;39.59;324.1;36.01;5745;638.33;4547;505.22;618;68.67;1632.79;4435748;492860.88;1210.89;134.54;1019.85;113.32;694.8;77.2;1636.05;181.78;1077.17;119.69;212.38;23.6;64.65;7.18;0.12;553;61.44;1329.3;147.7;1479.6;164.4;814.8;90.53;2110.78;234.53;1831.68;203.52;1093.9;121.54;1323.47;147.05;928.48;103.16;673.63;74.85;2329.86;2170.21;2490.04;3140.65;18;2;8;0.89
ant8pizza & Kito & tomster;-300;14;11;78.57;8378;598.43;35;2.5;10;0.71;23;1.64;51;3.64;97;6.93;39;2.79;25;1.79;68.63;482.08;43.64;34512;2465.14;26464;1890.29;8048;574.86;315;22.5;703;50.21;9823;701.64;7096;506.86;2727;194.79;83;5.93;238;17;545.49;38.96;437.7;31.26;4281;305.79;4244;303.14;833;59.5;1628.58;6427712;459122.28;1761.7;125.84;1654.82;118.2;943.42;67.39;2212.47;158.03;1869.12;133.51;278.33;19.88;67.15;4.8;0.13;533;38.07;1972.2;140.87;2166.4;154.74;1076.3;76.88;3283.57;234.54;2711.91;193.71;1647.97;117.71;1959.56;139.97;1401.3;100.09;999.03;71.36;2310.12;2127.92;2420.24;2948.91;27;1.93;11;0.79
ant8pizza & Kito & tomster;-> m4;11;7;63.64;5303;482.09;16;1.45;4;0.36;20;1.82;51;4.64;56;5.09;13;1.18;5;0.45;31.37;496.24;52.79;22856;2077.82;17019;1547.18;5837;530.64;193;17.55;512;46.55;3342;303.82;2075;188.64;1267;115.18;25;2.27;114;10.36;368.16;33.47;293.96;26.72;4259;387.18;1595;145;334;30.36;1605.2;4249019;386274.47;1133.43;103.04;1124.35;102.21;561.48;51.04;1646.18;149.65;1023.24;93.02;149.81;13.62;44.66;4.06;0.12;388;35.27;1407.8;127.98;1349.8;122.71;734.23;66.75;2085;189.55;1829.02;166.27;990.21;90.02;1370.76;124.61;842.52;76.59;605.96;55.09;2596.54;2393.27;2747.85;3162.86;2;0.18;11;1
ant8pizza & Kito & tomster;-breyyn;12;6;50.00;6473;539.42;23;1.92;3;0.25;25;2.08;48;4;90;7.5;29;2.42;12;1;47.92;392.13;51.36;24364;2030.33;17271;1439.25;7093;591.08;217;18.08;642;53.5;4759;396.58;2487;207.25;2272;189.33;32;2.67;208;17.33;289.77;24.15;495.44;41.29;3736;311.33;4731;394.25;791;65.92;1582.44;5352861;446071.75;1599.74;133.31;1402.91;116.91;645.54;53.79;2080.05;173.34;1417.12;118.09;151.05;12.59;63.12;5.26;0.13;471;39.25;1697;141.42;1794.7;149.56;819.11;68.26;2829.12;235.76;2394.89;199.57;1253.31;104.44;1775.22;147.94;1122.75;93.56;750.24;62.52;2387.02;2193.96;2538.49;3014.42;5;0.42;14;1.17
ant8pizza & Kito & tomster;.;9;4;44.44;4131;459;12;1.33;5;0.56;14;1.56;44;4.89;61;6.78;27;3;18;2;27.27;490.12;49.2;20570;2285.56;15275;1697.22;5295;588.33;190;21.11;474;52.67;4419;491;3006;334;1413;157;38;4.22;134;14.89;316.96;35.22;284.96;31.66;3345;371.67;3575;397.22;784;87.11;1670.76;3812126;423569.56;932.88;103.65;932.12;103.57;618.7;68.74;1173.82;130.42;1149.71;127.75;160.16;17.8;46.11;5.12;0.12;375;41.67;1190;132.22;1145.3;127.26;676.42;75.16;1807.26;200.81;1531.49;170.17;952.21;105.8;1110.74;123.42;782.13;86.9;590.84;65.65;2362.16;2193.3;2497.68;3023.58;5;0.56;8;0.89
ant8pizza & Kito & tomster;.;1;1;100.00;948;948;3;3;0;0;4;4;9;9;8;8;2;2;1;1;33.33;479;51.18;2734;2734;2004;2004;730;730;24;24;68;68;399;399;98;98;301;301;1;1;27;27;19.06;19.06;41.76;41.76;455;455;340;340;12;12;1667;514409;514409;144.88;144.88;129.69;129.69;79.04;79.04;168.61;168.61;156.69;156.69;28.3;28.3;4.52;4.52;0.12;37;37;189.7;189.7;164.2;164.2;68.31;68.31;285.29;285.29;219.13;219.13;134.47;134.47;173.34;173.34;97.3;97.3;82.97;82.97;2534;2508;2553;3490;0;0;0;0
