team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
rizun & reevo. & SharK.;;2;0;0.00;1262;631;2;1;4;2;4;2;6;3;22;11;8;4;1;0.5;33.33;437.5;47.39;5740;2870;4042;2021;1698;849;46;23;140;70;812;406;348;174;464;232;4;2;40;20;87.45;43.72;107.64;53.82;862;431;686;343;60;30;1473;1093070;546535;402.86;201.43;290.74;145.37;106.01;53;404.18;202.09;323.14;161.57;72.3;36.15;15.05;7.52;0.12;124;62;366.3;183.15;394.9;197.45;184.51;92.25;615.11;307.55;571.7;285.85;227.92;113.96;428.89;214.45;249.74;124.87;120.98;60.49;2077.99;1844.49;2275.49;3038;0;0;4;2
rizun & reevo. & SharK.;;1;0;0.00;80;80;0;0;0;0;0;0;0;0;6;6;5;5;3;3;0;401;41.72;1188;1188;936;936;252;252;10;10;24;24;169;169;87;87;82;82;1;1;8;8;27.94;27.94;31.35;31.35;42;42;86;86;26;26;1665;286162;286162;75.03;75.03;80.92;80.92;38.49;38.49;93.1;93.1;90.08;90.08;11.26;11.26;3.45;3.45;0.16;21;21;99.8;99.8;72.4;72.4;47.19;47.19;147.24;147.24;143.21;143.21;51.22;51.22;106.89;106.89;63.04;63.04;24.5;24.5;2458;2350;2562;2709;0;0;1;1
rizun & reevo. & SharK.;" Cayyh";2;1;50.00;572;286;0;0;1;0.5;3;1.5;2;1;9;4.5;4;2;3;1.5;0;478;52.15;5416;2708;4184;2092;1232;616;51;25.5;116;58;977;488.5;565;282.5;412;206;7;3.5;38;19;64;32;97.13;48.57;728;364;978;489;159;79.5;1592.26;1021290;510645;270.74;135.37;271.01;135.51;133.86;66.93;341.74;170.87;289.94;144.97;43.92;21.96;16.69;8.35;0.11;156;78;338.3;169.15;338.1;169.05;201.27;100.64;474.34;237.17;452.28;226.14;223.33;111.66;316.27;158.13;236.77;118.39;122.56;61.28;2069.68;1870;2286.89;2819.63;4;2;3;1.5
rizun & reevo. & SharK.;" t";1;1;100.00;856;856;1;1;1;1;8;8;4;4;13;13;1;1;0;0;25;399;55.53;2164;2164;1552;1552;612;612;23;23;55;55;384;384;321;321;63;63;5;5;6;6;23.12;23.12;50.77;50.77;268;268;764;764;178;178;1531;487042;487042;158.24;158.24;115.82;115.82;62.76;62.76;181.71;181.71;137.73;137.73;17.38;17.38;4.4;4.4;0.14;31;31;204.4;204.4;129.4;129.4;62.36;62.36;274.46;274.46;265.2;265.2;71.61;71.61;209.61;209.61;87.95;87.95;39.26;39.26;2530;2714;2385;3254;0;0;1;1
rizun & reevo. & SharK.;! Nice;1;0;0.00;224;224;0;0;0;0;1;1;3;3;8;8;4;4;2;2;0;476;42.33;2133;2133;1445;1445;688;688;15;15;52;52;507;507;293;293;214;214;3;3;18;18;51.01;51.01;17.16;17.16;432;432;50;50;6;6;1543;396080;396080;130.16;130.16;91.13;91.13;54.05;54.05;149.11;149.11;110.78;110.78;15.44;15.44;7.19;7.19;0.17;43;43;117.2;117.2;143.4;143.4;74.54;74.54;200.79;200.79;171.85;171.85;103.48;103.48;117.38;117.38;102.78;102.78;55.18;55.18;2236;1896;2589;3131;0;0;0;0
rizun & reevo. & SharK.;! sae;3;1;33.33;1276;425.33;3;1;0;0;8;2.67;9;3;24;8;6;2;3;1;33.33;523.7;52.25;6365;2121.67;5033;1677.67;1332;444;65;21.67;114;38;1973;657.67;1453;484.33;520;173.33;16;5.33;45;15;126.78;42.26;76.98;25.66;1817;605.67;1348;449.33;150;50;1704.8;1215266;405088.66;260.08;86.69;303.62;101.21;201.26;67.09;416.68;138.89;310.3;103.43;37.98;12.66;12.96;4.32;0.12;110;36.67;370.6;123.53;352.9;117.63;225.86;75.29;539.09;179.7;479.04;159.68;285.92;95.31;349.34;116.45;243.21;81.07;172.41;57.47;2273.57;1956.99;2582.38;3089.94;4;1.33;1;0.33
rizun & reevo. & SharK.;!!;2;1;50.00;807;403.5;2;1;0;0;5;2.5;7;3.5;14;7;4;2;2;1;28.57;481.83;52.16;3898;1949;2904;1452;994;497;34;17;94;47;1156;578;783;391.5;373;186.5;8;4;35;17.5;40.44;20.22;64.37;32.18;960;480;546;273;32;16;1590.38;769604;384802;216.85;108.43;177.93;88.96;119.96;59.98;274.51;137.26;194.7;97.35;45.53;22.77;7.94;3.97;0.12;73;36.5;254.4;127.2;237.3;118.65;124.83;62.42;389.91;194.96;342.72;171.36;172.04;86.02;262.07;131.04;150.63;75.32;102.05;51.03;2111.43;1731.15;2360.68;2612.06;2;1;1;0.5
rizun & reevo. & SharK.;!ols;6;5;83.33;3897;649.5;15;2.5;4;0.67;10;1.67;35;5.83;44;7.33;19;3.17;11;1.83;42.86;457.03;44.57;14249;2374.83;9910;1651.67;4339;723.17;117;19.5;387;64.5;2998;499.67;1626;271;1372;228.67;19;3.17;121;20.17;242.61;40.44;156.15;26.02;1435;239.17;1407;234.5;97;16.17;1523.81;2714177;452362.84;920.78;153.46;720.77;120.13;312.98;52.16;1003.07;167.18;815.89;135.98;135.57;22.59;45.92;7.65;0.1;481;80.17;949.5;158.25;878.3;146.38;511.45;85.24;1443.08;240.51;1243.36;207.23;711.16;118.53;887.82;147.97;642.06;107.01;424.61;70.77;2308.06;2161.51;2511.55;2968.31;6;1;0;0
rizun & reevo. & SharK.;!sk.;3;2;66.67;1895;631.67;7;2.33;3;1;6;2;17;5.67;18;6;8;2.67;7;2.33;41.18;408.05;47.43;7206;2402;4654;1551.33;2552;850.67;59;19.67;225;75;1647;549;620;206.67;1027;342.33;8;2.67;84;28;110.83;36.94;90.5;30.17;756;252;1336;445.33;191;63.67;1647.36;1488542;496180.66;373.53;124.51;427.35;142.45;180.97;60.32;515.59;171.86;401.48;133.83;64.78;21.59;18.41;6.14;0.1;185;61.67;485.9;161.97;445.2;148.4;219.06;73.02;762.79;254.26;571.44;190.48;410.41;136.8;399.18;133.06;347.84;115.95;234.83;78.28;2415.38;2355.91;2505.75;3127.72;0;0;1;0.33
nzi. & #;#;1;0;0.00;152;152;0;0;0;0;1;1;1;1;11;11;4;4;2;2;0;365;49.14;1805;1805;1405;1405;400;400;16;16;34;34;401;401;287;287;114;114;4;4;10;10;33.26;33.26;26.79;26.79;61;61;199;199;112;112;1329;320830;320830;183.75;183.75;83.24;83.24;32.4;32.4;192.59;192.59;97.7;97.7;9.09;9.09;4.39;4.39;0.08;53;53;108.8;108.8;181.2;181.2;133.09;133.09;166.3;166.3;147.55;147.55;151.83;151.83;110.22;110.22;76.31;76.31;112.85;112.85;2663;2627;2710;3255;1;1;0;0
