team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Jup. & KnightYuh :) & lubey;;1;1;100.00;465;465;1;1;0;0;2;2;2;2;12;12;2;2;2;2;50;425;49.37;2613;2613;1765;1765;848;848;19;19;73;73;427;427;195;195;232;232;2;2;20;20;44.05;44.05;38.96;38.96;536;536;156;156;10;10;1602;553799;553799;158.34;158.34;136.66;136.66;70.3;70.3;203.19;203.19;136.57;136.57;25.54;25.54;5.64;5.64;0.11;52;52;185.2;185.2;168.3;168.3;79.9;79.9;285.39;285.39;239.69;239.69;125.61;125.61;179.1;179.1;106.11;106.11;80.09;80.09;2537;2334;2715;2898;4;4;1;1
Jup. & KnightYuh :) & lubey;"  ";3;3;100.00;1794;598;5;1.67;1;0.33;8;2.67;16;5.33;19;6.33;4;1.33;3;1;31.25;441.43;49.47;7339;2446.33;5469;1823;1870;623.33;67;22.33;163;54.33;1271;423.67;736;245.33;535;178.33;9;3;49;16.33;130.22;43.41;126.67;42.22;738;246;942;314;117;39;1569.24;1461344;487114.66;443.77;147.92;347.7;115.9;203.25;67.75;529.44;176.48;423.27;141.09;42;14;18.44;6.15;0.12;157;52.33;539;179.67;439;146.33;206.88;68.96;787.83;262.61;602.71;200.9;392.01;130.67;421.37;140.46;341.24;113.75;232.11;77.37;2406.71;2097.41;2693.57;2995.54;1;0.33;5;1.67
Compact &    JWeyts   ;"   JWeyts   ";2;1;50.00;659;329.5;2;1;0;0;4;2;2;1;18;9;6;3;4;2;100;410.09;47.25;3368;1684;2356;1178;1012;506;27;13.5;83;41.5;392;196;109;54.5;283;141.5;2;1;18;9;52.28;26.14;64.8;32.4;472;236;391;195.5;110;55;1531.06;673773;336886.5;227.8;113.9;171.53;85.76;82.43;41.22;262.17;131.08;194.77;97.39;24.82;12.41;6.55;3.28;0.13;49;24.5;265;132.5;184.1;92.05;102.96;51.48;378.8;189.4;327.24;163.62;154.53;77.26;238.88;119.44;146.15;73.07;96.73;48.36;2322.93;2122.25;2410.1;3015.33;1;0.5;2;1
Jup. & KnightYuh :) & lubey;" Cayyh";4;1;25.00;1520;380;2;0.5;5;1.25;6;1.5;17;4.25;25;6.25;9;2.25;6;1.5;11.76;477.44;47.84;9203;2300.75;6965;1741.25;2238;559.5;83;20.75;195;48.75;1646;411.5;1134;283.5;512;128;14;3.5;45;11.25;144.01;36;126.11;31.53;1685;421.25;1402;350.5;272;68;1613.84;1793397;448349.25;489.49;122.37;420.78;105.19;282.14;70.53;622.58;155.65;514.95;128.74;54.91;13.73;30.7;7.68;0.11;274;68.5;504.9;126.22;645.7;161.43;287.67;71.92;904.76;226.19;729.25;182.31;463.18;115.8;497.82;124.46;425.96;106.49;268.65;67.16;2233.98;1978.42;2444.56;2846.06;3;0.75;4;1
! & Doyle .;!;1;1;100.00;638;638;2;2;2;2;0;0;12;12;7;7;3;3;2;2;16.67;425;50.41;2592;2592;1812;1812;780;780;20;20;71;71;528;528;294;294;234;234;3;3;20;20;35.82;35.82;25.86;25.86;267;267;214;214;5;5;1583;531515;531515;165.4;165.4;122.64;122.64;77.93;77.93;208.3;208.3;146.52;146.52;11.15;11.15;6.09;6.09;0.14;42;42;159.3;159.3;180.8;180.8;80.41;80.41;285.56;285.56;239.35;239.35;126.62;126.62;178;178;102.75;102.75;85.22;85.22;2336;2096;2568;2849;2;2;1;1
Aystrow (bad pc) & !;!;1;0;0.00;192;192;0;0;0;0;2;2;1;1;9;9;4;4;3;3;0;391;43.26;1445;1445;999;999;446;446;12;12;40;40;168;168;96;96;72;72;1;1;6;6;41.29;41.29;9.13;9.13;275;275;212;212;3;3;1546;357197;357197;114.52;114.52;102.43;102.43;33.9;33.9;135.51;135.51;103.51;103.51;11.84;11.84;2.72;2.72;0.1;26;26;116.3;116.3;128.1;128.1;66.16;66.16;184.7;184.7;173;173;77.86;77.86;136.88;136.88;70.75;70.75;43.23;43.23;2350;2269;2417;2886;1;1;1;1
Jup. & KnightYuh :) & lubey;! A1zy.;3;2;66.67;2244;748;8;2.67;2;0.67;8;2.67;20;6.67;27;9;6;2;2;0.67;40;420.18;52.81;6966;2322;5304;1768;1662;554;68;22.67;147;49;1778;592.67;1135;378.33;643;214.33;13;4.33;56;18.67;71.52;23.84;117.37;39.12;1157;385.67;1401;467;170;56.67;1539.17;1367380;455793.34;446.23;148.74;340.24;113.41;166.95;55.65;523.48;174.49;380.9;126.97;49.02;16.34;10.81;3.6;0.13;82;27.33;425.8;141.93;486.3;162.1;240.81;80.27;712.61;237.54;599.15;199.72;354.27;118.09;436.8;145.6;292.26;97.42;224.36;74.79;1988.16;1841.54;2130;2906.15;2;0.67;5;1.67
! Ghassan & Haven 0;! Ghassan;16;8;50.00;9199;574.94;20;1.25;12;0.75;37;2.31;63;3.94;131;8.19;39;2.44;24;1.5;31.75;442.54;50.23;38628;2414.25;29534;1845.88;9094;568.38;371;23.19;799;49.94;7775;485.94;4787;299.19;2988;186.75;58;3.62;262;16.38;605.93;37.87;682.73;42.67;7309;456.81;7786;486.62;911;56.94;1537.59;7387808;461738;2358.09;147.38;1977.49;123.59;829.82;51.86;2997.76;187.36;1909.04;119.31;258.56;16.16;86.68;5.42;0.09;940;58.75;2644.3;165.27;2261.8;141.36;1200.35;75.02;3965.04;247.81;3301.89;206.37;1863.47;116.47;2385.75;149.11;1711.93;107;1067.67;66.73;2316.5;2112.58;2471.97;3128.54;9;0.56;8;0.5
Jup. & KnightYuh :) & lubey;!evas a tahW;1;0;0.00;552;552;1;1;1;1;2;2;6;6;7;7;3;3;0;0;16.67;494;46.51;3009;3009;2356;2356;653;653;27;27;58;58;890;890;649;649;241;241;7;7;22;22;56.81;56.81;36.64;36.64;388;388;349;349;49;49;1606;525868;525868;144.81;144.81;135.22;135.22;70.34;70.34;171.64;171.64;157.72;157.72;21.01;21.01;6.98;6.98;0.11;66;66;175.4;175.4;161.5;161.5;97.9;97.9;252.48;252.48;206.92;206.92;143.46;143.46;149.15;149.15;107.61;107.61;93.61;93.61;2290;1809;2734;3113;0;0;1;1
Jup. & KnightYuh :) & lubey;!sk.;1;0;0.00;420;420;0;0;0;0;1;1;10;10;5;5;2;2;1;1;0;381;48.68;2236;2236;1127;1127;1109;1109;15;15;100;100;768;768;343;343;425;425;4;4;38;38;30.89;30.89;42.33;42.33;148;148;405;405;71;71;1641;532312;532312;135.68;135.68;133.85;133.85;69.88;69.88;178.19;178.19;147.84;147.84;13.38;13.38;7.86;7.86;0.11;72;72;177.4;177.4;154.9;154.9;94.3;94.3;245.11;245.11;186.86;186.86;152.55;152.55;130.38;130.38;108.85;108.85;100.18;100.18;2391;2253;2487;3292;1;1;0;0
