team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
wedar & insp1re & Shark.;"  ";2;1;50.00;904;452;4;2;0;0;2;1;12;6;14;7;6;3;2;1;33.33;449.5;49.08;4645;2322.5;3624;1812;1021;510.5;42;21;93;46.5;980;490;676;338;304;152;7;3.5;28;14;82.02;41.01;79.28;39.64;491;245.5;597;298.5;22;11;1546.92;909135;454567.5;289.65;144.82;257.71;128.86;88.43;44.22;345.31;172.65;251;125.5;39.49;19.74;14.27;7.14;0.11;130;65;286.9;143.45;310.1;155.05;148.76;74.38;487.03;243.51;408.88;204.44;226.91;113.46;293.41;146.71;210.77;105.38;131.61;65.81;2436.34;2195.77;2616.75;3413.58;0;0;1;0.5
wedar & insp1re & Shark.;"   Zangel   ";2;1;50.00;1347;673.5;3;1.5;1;0.5;8;4;8;4;25;12.5;7;3.5;3;1.5;37.5;407.5;54.6;4123;2061.5;2760;1380;1363;681.5;36;18;126;63;1141;570.5;566;283;575;287.5;7;3.5;49;24.5;43.53;21.76;90.56;45.28;707;353.5;988;494;173;86.5;1572.21;860742;430371;266.84;133.42;216.83;108.41;114.3;57.15;322.51;161.26;249.56;124.78;25.9;12.95;13.76;6.88;0.12;116;58;305.9;152.95;268.2;134.1;165.49;82.75;432.48;216.24;397.48;198.74;200.49;100.24;311.16;155.58;168.9;84.45;117.9;58.95;2187.6;1790.35;2552.86;2682.04;0;0;1;0.5
! & Skayne;!;1;0;0.00;167;167;0;0;0;0;2;2;1;1;6;6;3;3;3;3;0;403;33.09;729;729;493;493;236;236;6;6;20;20;195;195;105;105;90;90;2;2;8;8;26.9;26.9;14.86;14.86;93;93;106;106;94;94;1643;212796;212796;56.8;56.8;57.63;57.63;26.14;26.14;74.48;74.48;56.2;56.2;9.89;9.89;2.9;2.9;0.1;30;30;76;76;64.7;64.7;44.79;44.79;95.78;95.78;101.64;101.64;38.92;38.92;69.54;69.54;49.28;49.28;21.75;21.75;1996;2194;1687;2948;0;0;1;1
wedar & insp1re & Shark.;!;2;1;50.00;1209;604.5;4;2;1;0.5;4;2;6;3;14;7;5;2.5;2;1;66.67;495.88;51.84;4976;2488;3942;1971;1034;517;51;25.5;91;45.5;864;432;599;299.5;265;132.5;8;4;23;11.5;69.01;34.51;94.66;47.33;1251;625.5;1118;559;201;100.5;1609.76;910408;455204;261.7;130.85;208.38;104.19;137.84;68.92;343.96;171.98;238.66;119.33;25.31;12.65;9.84;4.92;0.09;121;60.5;332.6;166.3;245.7;122.85;115.38;57.69;492.54;246.27;420.96;210.48;186.97;93.49;318.26;159.13;188.54;94.27;101.11;50.56;2239.5;2091.05;2400.54;3149.8;5;2.5;2;1
! & Perfect Blue;!;2;1;50.00;1659;829.5;4;2;2;1;9;4.5;12;6;25;12.5;6;3;2;1;33.33;458.75;49.52;5756;2878;4233;2116.5;1523;761.5;51;25.5;135;67.5;1034;517;631;315.5;403;201.5;8;4;38;19;75.02;37.51;76.53;38.26;876;438;914;457;183;91.5;1641.2;1075755;537877.5;281.98;140.99;266.83;133.42;160.12;80.06;355.38;177.69;312.4;156.2;41.14;20.57;10.83;5.41;0.1;110;55;289.7;144.85;390.3;195.15;230.12;115.06;478.81;239.4;464.26;232.13;244.66;122.33;344.65;172.33;210.92;105.46;153.34;76.67;1985.24;1676.1;2238.47;2867.29;2;1;3;1.5
jxmnrl & ! 2 EM & Azufruro;! 2 EM;1;0;0.00;945;945;3;3;0;0;4;4;8;8;10;10;5;5;3;3;37.5;479;52.44;3439;3439;2516;2516;923;923;32;32;88;88;1258;1258;889;889;369;369;10;10;33;33;50.43;50.43;63.31;63.31;716;716;769;769;128;128;1666;663928;663928;164.1;164.1;160.38;160.38;111.05;111.05;255.17;255.17;160.88;160.88;19.49;19.49;11.32;11.32;0.13;87;87;229.2;229.2;179.6;179.6;98.37;98.37;337.17;337.17;273.6;273.6;161.94;161.94;204.16;204.16;134.48;134.48;96.9;96.9;2304;2181;2446;3194;5;5;0;0
wedar & insp1re & Shark.;! A1zy.;3;3;100.00;2433;811;7;2.33;0;0;15;5;13;4.33;30;10;5;1.67;2;0.67;53.85;424.88;54.84;8287;2762.33;6579;2193;1708;569.33;88;29.33;156;52;2307;769;1685;561.67;622;207.33;26;8.67;56;18.67;76.25;25.42;159.67;53.22;1512;504;2307;769;930;310;1530.59;1722579;574193;537.92;179.31;437.31;145.77;213.64;71.21;673.65;224.55;451.93;150.64;63.27;21.09;17.09;5.7;0.14;119;39.67;506.3;168.77;640.6;213.53;278.18;92.73;910.68;303.56;734.32;244.77;454.53;151.51;510.23;170.08;410.98;136.99;267.65;89.22;2077.47;2012.45;2129.31;2902.49;3;1;1;0.33
&AVC & Jazii;&AVC;1;1;100.00;221;221;0;0;0;0;1;1;4;4;6;6;2;2;1;1;0;385;47.98;2283;2283;1587;1587;696;696;21;21;67;67;551;551;284;284;267;267;3;3;28;28;45.22;45.22;49.22;49.22;504;504;569;569;50;50;1576;517151;517151;162.53;162.53;124.27;124.27;64.51;64.51;218.74;218.74;112.52;112.52;20.05;20.05;7.19;7.19;0.1;71;71;207.3;207.3;124.8;124.8;76.47;76.47;274.85;274.85;237.28;237.28;114.04;114.04;167.68;167.68;115.1;115.1;68.54;68.54;2573;2731;2414;2882;0;0;0;0
wedar & insp1re & Shark.;*********;1;0;0.00;679;679;2;2;0;0;3;3;4;4;16;16;4;4;3;3;50;530;46.55;4315;4315;3479;3479;836;836;44;44;75;75;959;959;670;670;289;289;11;11;27;27;80;80;42.52;42.52;1423;1423;852;852;361;361;1613;777969;777969;208.59;208.59;170.58;170.58;133.3;133.3;300.12;300.12;200.31;200.31;12.03;12.03;10.73;10.73;0.1;112;112;186.6;186.6;311.5;311.5;177.71;177.71;334.75;334.75;336.39;336.39;176.08;176.08;254.61;254.61;162.82;162.82;95.04;95.04;2634;2556;2715;3251;3;3;3;3
wedar & insp1re & Shark.;***********;3;2;66.67;1409;469.67;6;2;2;0.67;2;0.67;14;4.67;18;6;7;2.33;5;1.67;42.86;415.5;46.12;4930;1643.33;3652;1217.33;1278;426;43;14.33;113;37.67;1370;456.67;891;297;479;159.67;10;3.33;42;14;104.57;34.86;80.61;26.87;1129;376.33;650;216.67;100;33.33;1553.35;1078823;359607.66;354.87;118.29;274.91;91.64;130.63;43.54;424.72;141.57;269.11;89.7;66.6;22.2;13.53;4.51;0.11;125;41.67;323.8;107.93;396.8;132.27;193.49;64.5;566.94;188.98;439.83;146.61;320.6;106.87;318.04;106.01;242.71;80.9;199.67;66.56;2281.24;2025.43;2515.46;3106.35;2;0.67;3;1
