team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
baaron & xerx. & prstn;;1;0;0.00;532;532;2;2;1;1;0;0;8;8;5;5;4;4;3;3;25;507;50.98;3055;3055;2449;2449;606;606;30;30;55;55;1048;1048;787;787;261;261;10;10;24;24;34.83;34.83;45.62;45.62;480;480;576;576;209;209;1619;543482;543482;155.32;155.32;130.03;130.03;80.74;80.74;187.54;187.54;147.13;147.13;31.42;31.42;5.12;5.12;0.13;39;39;161.2;161.2;186.8;186.8;96.17;96.17;269.92;269.92;189.28;189.28;176.81;176.81;117.27;117.27;132.55;132.55;116.27;116.27;2227;2094;2388;2974;2;2;1;1
baaron & xerx. & prstn;;1;1;100.00;1002;1002;4;4;0;0;4;4;9;9;12;12;2;2;0;0;44.44;433;59.95;2516;2516;1562;1562;954;954;22;22;86;86;625;625;352;352;273;273;5;5;24;24;20.39;20.39;32.04;32.04;339;339;561;561;147;147;1579;518698;518698;154.69;154.69;132.33;132.33;68.48;68.48;190.03;190.03;142.81;142.81;22.66;22.66;7.25;7.25;0.13;55;55;184.3;184.3;158.2;158.2;78.77;78.77;276.74;276.74;254.87;254.87;100.63;100.63;187.81;187.81;110.59;110.59;57.11;57.11;2179;2042;2319;3012;2;2;2;2
baaron & xerx. & prstn;;4;3;75.00;2026;506.5;4;1;5;1.25;9;2.25;15;3.75;31;7.75;7;1.75;6;1.5;26.67;412.68;48.73;7971;1992.75;5731;1432.75;2240;560;69;17.25;196;49;961;240.25;356;89;605;151.25;7;1.75;56;14;85.69;21.42;90.46;22.62;753;188.25;1239;309.75;358;89.5;1607.91;1725201;431300.25;462.83;115.71;448.17;112.04;231.98;58;561.32;140.33;513.68;128.42;67.94;16.99;21.34;5.34;0.1;224;56;548.8;137.2;549.2;137.3;252.19;63.05;890.76;222.69;740.26;185.07;402.69;100.67;543.68;135.92;372.15;93.04;227.13;56.78;2200.27;2074.72;2338.4;3032.95;1;0.25;5;1.25
"   & Acirtep.";"  ";1;0;0.00;492;492;0;0;3;3;1;1;4;4;6;6;5;5;2;2;0;467;46.85;2928;2928;2215;2215;713;713;27;27;56;56;625;625;396;396;229;229;4;4;20;20;56.72;56.72;32.78;32.78;240;240;411;411;3;3;1589;525594;525594;157.04;157.04;150.93;150.93;59;59;164.99;164.99;166.25;166.25;35.73;35.73;6.11;6.11;0.11;55;55;184.8;184.8;157.4;157.4;83.79;83.79;283.18;283.18;229.88;229.88;137.08;137.08;163.45;163.45;116.62;116.62;86.89;86.89;2121;1922;2306;3350;1;1;0;0
baaron & xerx. & prstn;!;6;2;33.33;2355;392.5;6;1;3;0.5;10;1.67;18;3;54;9;22;3.67;8;1.33;33.33;391.25;42.18;11070;1845;7644;1274;3426;571;89;14.83;299;49.83;2660;443.33;1628;271.33;1032;172;18;3;92;15.33;231.2;38.53;130.37;21.73;2328;388;1309;218.17;179;29.83;1624.96;2508933;418155.5;693.75;115.62;643.32;107.22;357.88;59.65;934.45;155.74;706.7;117.78;53.8;8.97;39.29;6.55;0.12;339;56.5;860.2;143.37;787.3;131.22;474.66;79.11;1220.3;203.38;1105.17;184.19;589.78;98.3;834.61;139.1;498.97;83.16;361.39;60.23;2623.95;2423.58;2777.49;3177.45;10;1.67;5;0.83
baaron & xerx. & prstn;&AVC;4;4;100.00;2008;502;5;1.25;5;1.25;6;1.5;22;5.5;28;7;8;2;4;1;22.73;448.25;49.85;10812;2703;8093;2023.25;2719;679.75;99;24.75;240;60;2833;708.25;1837;459.25;996;249;23;5.75;90;22.5;143.79;35.95;181.97;45.49;2059;514.75;1926;481.5;496;124;1576.31;2148804;537201;616.48;154.12;573.9;143.48;265.41;66.35;824.81;206.2;544.98;136.24;86;21.5;37.02;9.26;0.11;346;86.5;772.4;193.1;627.3;156.82;318.61;79.65;1137.18;284.29;938.92;234.73;516.86;129.21;704.85;176.21;423.89;105.97;327.06;81.76;2251.63;2086.65;2408.84;2996.37;3;0.75;1;0.25
baaron & xerx. & prstn;(?)imakynax;1;1;100.00;644;644;2;2;1;1;2;2;4;4;10;10;2;2;0;0;50;390;47.13;2202;2202;1621;1621;581;581;20;20;51;51;246;246;98;98;148;148;1;1;13;13;23.01;23.01;31.82;31.82;245;245;302;302;1;1;1471;466908;466908;190.33;190.33;114.81;114.81;47.14;47.14;172.22;172.22;144.2;144.2;35.85;35.85;3.74;3.74;0.14;27;27;194.8;194.8;136.4;136.4;50.39;50.39;301.88;301.88;254.23;254.23;98.04;98.04;197.35;197.35;98.28;98.28;56.64;56.64;2078;2016;2160;2694;1;1;1;1
Aquaduk & nasty & wi wi wi cat;*****************;2;1;50.00;895;447.5;3;1.5;0;0;5;2.5;3;1.5;16;8;6;3;1;0.5;100;445.96;53.92;5482;2741;3775;1887.5;1707;853.5;55;27.5;142;71;1084;542;640;320;444;222;9;4.5;43;21.5;67.65;33.83;72.98;36.49;1015;507.5;1726;863;301;150.5;1654.83;1106612;553306;284.36;142.18;230.23;115.12;206.09;103.04;348.83;174.42;326.67;163.33;45.19;22.6;10.54;5.27;0.08;139;69.5;323;161.5;351.8;175.9;232.76;116.38;487.93;243.96;461.93;230.96;258.77;129.38;309.26;154.63;262.59;131.29;148.83;74.42;2600.61;2460.22;2747.84;3386.9;5;2.5;0;0
*currie,, & landen;*currie,,;1;0;0.00;341;341;0;0;0;0;2;2;4;4;9;9;4;4;3;3;0;470;44.35;2045;2045;1556;1556;489;489;18;18;45;45;606;606;359;359;247;247;5;5;23;23;28.49;28.49;31.8;31.8;368;368;261;261;145;145;1598;399794;399794;109.28;109.28;98.61;98.61;56.73;56.73;125.51;125.51;110.71;110.71;28.4;28.4;3.6;3.6;0.11;32;32;140;140;112.9;112.9;84.62;84.62;180;180;158.01;158.01;106.61;106.61;116.82;116.82;85.99;85.99;61.81;61.81;2242;1841;2645;3349;2;2;1;1
baaron & xerx. & prstn;-;5;1;20.00;2466;493.2;7;1.4;5;1;4;0.8;27;5.4;51;10.2;25;5;14;2.8;25.93;405.32;49.1;13401;2680.2;9760;1952;3641;728.2;124;24.8;317;63.4;2999;599.8;1819;363.8;1180;236;21;4.2;100;20;175.94;35.19;200.45;40.09;1299;259.8;2527;505.4;292;58.4;1569.17;2708750;541750;875.99;175.2;705.38;141.08;329.92;65.98;1064.76;212.95;740.11;148.02;106.41;21.28;54.93;10.99;0.09;615;123;965.8;193.16;829.5;165.9;497.33;99.47;1413.98;282.8;1220.33;244.07;690.97;138.19;863.34;172.67;608.4;121.68;439.54;87.91;2300.68;2139.13;2437.66;2837.7;3;0.6;10;2
