team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Zamberg & flexx & xerx.;"  ";1;0;0.00;366;366;1;1;0;0;2;2;4;4;7;7;5;5;4;4;25;450;46.06;2267;2267;1664;1664;603;603;18;18;52;52;472;472;285;285;187;187;3;3;17;17;40;40;34.34;34.34;256;256;153;153;32;32;1635;454337;454337;128.21;128.21;113.81;113.81;64.51;64.51;154.02;154.02;141.2;141.2;11.32;11.32;5.19;5.19;0.1;50;50;149.2;149.2;140.2;140.2;78.27;78.27;228.26;228.26;208.36;208.36;98.18;98.18;148.83;148.83;102.21;102.21;55.49;55.49;2253;2021;2271;3047;2;2;1;1
Kronical &    BEAST;"   BEAST";1;0;0.00;311;311;1;1;0;0;2;2;3;3;6;6;4;4;3;3;33.33;468;37.94;1593;1593;1141;1141;452;452;12;12;40;40;184;184;81;81;103;103;1;1;9;9;26.44;26.44;16.75;16.75;275;275;61;61;21;21;1542;285244;285244;97.07;97.07;71.3;71.3;35.31;35.31;109.45;109.45;76.52;76.52;17.71;17.71;3.63;3.63;0.11;32;32;97;97;89;89;63.79;63.79;139.9;139.9;131.18;131.18;72.5;72.5;98.78;98.78;67.55;67.55;37.36;37.36;2328;2317;2285;3073;1;1;1;1
Zamberg & flexx & xerx.;"   Zangel   ";5;3;60.00;2451;490.2;7;1.4;4;0.8;8;1.6;17;3.4;40;8;13;2.6;9;1.8;41.18;476.62;50.5;12404;2480.8;9169;1833.8;3235;647;112;22.4;274;54.8;1894;378.8;858;171.6;1036;207.2;11;2.2;90;18;154.44;30.89;233.52;46.7;2610;522;2157;431.4;269;53.8;1641.73;2407196;481439.19;659.75;131.95;544;108.8;389.37;77.87;804.98;161;670.96;134.19;117.19;23.44;32.78;6.56;0.11;299;59.8;704.9;140.98;839.5;167.9;436.31;87.26;1156.81;231.36;1041.38;208.28;551.74;110.35;790.45;158.09;459.1;91.82;343.58;68.72;2132.18;1889.68;2339.64;2832.99;6;1.2;3;0.6
Zamberg & flexx & xerx.;!;4;2;50.00;2101;525.25;8;2;1;0.25;7;1.75;15;3.75;30;7.5;7;1.75;2;0.5;53.33;351.63;51.77;7185;1796.25;4627;1156.75;2558;639.5;62;15.5;226;56.5;1637;409.25;829;207.25;808;202;11;2.75;73;18.25;101.68;25.42;134.14;33.53;500;125;1660;415;294;73.5;1477.92;1687340;421835;601.17;150.29;487.1;121.77;129.68;32.42;666.53;166.63;473.25;118.31;78.17;19.54;15.19;3.8;0.12;126;31.5;600.9;150.23;582;145.5;308.35;77.09;909.62;227.4;792.9;198.23;425.07;106.27;594.91;148.73;357.2;89.3;265.85;66.46;2072.65;2037.46;2095.32;2706.78;3;0.75;8;2
Zamberg & flexx & xerx.;! Digitalkiwi.;4;3;75.00;1943;485.75;10;2.5;2;0.5;5;1.25;19;4.75;21;5.25;4;1;2;0.5;52.63;409.9;42.77;5771;1442.75;4274;1068.5;1497;374.25;48;12;117;29.25;912;228;503;125.75;409;102.25;6;1.5;37;9.25;182.36;45.59;62.02;15.51;977;244.25;537;134.25;96;24;1552.57;1343128;335782;413.98;103.49;350.11;87.53;166.15;41.54;494.83;123.71;395.31;98.83;40.11;10.03;10.47;2.62;0.11;92;23;421.4;105.35;461;115.25;201.75;50.44;728.5;182.12;588.99;147.25;341.25;85.31;409.78;102.44;316.04;79.01;204.44;51.11;2193.56;2067.59;2266.48;3059.19;3;0.75;1;0.25
Zamberg & flexx & xerx.;! Mohammed.;1;0;0.00;521;521;0;0;1;1;4;4;1;1;14;14;2;2;2;2;0;437;49.69;2390;2390;1650;1650;740;740;20;20;66;66;424;424;234;234;190;190;3;3;18;18;33.06;33.06;30.08;30.08;403;403;357;357;72;72;1631;518121;518121;131.17;131.17;130.17;130.17;71.69;71.69;179.24;179.24;139.18;139.18;14.62;14.62;12.79;12.79;0.09;139;139;166.8;166.8;158.2;158.2;85.43;85.43;247.61;247.61;207.39;207.39;125.65;125.65;144.26;144.26;124.97;124.97;63.81;63.81;2365;2462;2314;3130;0;0;1;1
Zamberg & flexx & xerx.;!evas a tahW;4;1;25.00;1292;323;3;0.75;2;0.5;5;1.25;10;2.5;30;7.5;11;2.75;7;1.75;30;451.1;44.25;8096;2024;5585;1396.25;2511;627.75;66;16.5;216;54;1827;456.75;1042;260.5;785;196.25;12;3;69;17.25;149.49;37.37;123.89;30.97;1391;347.75;942;235.5;165;41.25;1595.55;1612614;403153.5;454.21;113.55;407.25;101.81;218.32;54.58;534.67;133.67;481.22;120.3;63.89;15.97;20.21;5.05;0.1;201;50.25;454.7;113.67;581.9;145.48;328.06;82.01;751.73;187.93;662.49;165.62;417.29;104.32;476.36;119.09;364.73;91.18;238.69;59.67;2240.64;2002.7;2469.21;3025.68;6;1.5;3;0.75
oreos. & &;&;5;2;40.00;2943;588.6;7;1.4;4;0.8;13;2.6;23;4.6;48;9.6;14;2.8;8;1.6;30.43;415.64;50.75;13882;2776.4;9541;1908.2;4341;868.2;119;23.8;381;76.2;2970;594;1450;290;1520;304;17;3.4;135;27;189.15;37.83;235.08;47.02;2476;495.2;2397;479.4;295;59;1563.32;2852773;570554.62;894.3;178.86;687.51;137.5;360.35;72.07;1091.19;218.24;694.62;138.92;156.35;31.27;39.02;7.8;0.1;414;82.8;916.4;183.28;940.5;188.1;503.52;100.7;1438.64;287.73;1233.41;246.68;708.76;141.75;876.13;175.23;672.37;134.47;393.65;78.73;2281.03;2100.39;2432.89;3020.15;9;1.8;2;0.4
Zamberg & flexx & xerx.;(?)imakynax;3;2;66.67;1626;542;5;1.67;4;1.33;6;2;11;3.67;22;7.33;8;2.67;3;1;45.45;433.37;45.56;5743;1914.33;4030;1343.33;1713;571;46;15.33;144;48;1517;505.67;901;300.33;616;205.33;10;3.33;47;15.67;88.27;29.42;81.44;27.15;731;243.67;617;205.67;108;36;1605.15;1159412;386470.66;338.2;112.73;309.22;103.07;143.89;47.96;396.57;132.19;339.19;113.06;55.55;18.52;12.11;4.04;0.12;104;34.67;357;119;389.4;129.8;199.77;66.59;591.53;197.18;519.37;173.12;271.94;90.65;392.63;130.88;236.93;78.98;161.77;53.92;2420.92;2239.22;2570.09;2863.59;4;1.33;3;1
********** & kowa &;**********;1;0;0.00;296;296;1;1;0;0;1;1;4;4;7;7;3;3;1;1;25;439;44.19;1703;1703;1290;1290;413;413;15;15;37;37;338;338;200;200;138;138;2;2;12;12;34.94;34.94;21.4;21.4;79;79;195;195;0;0;1499;316243;316243;115.57;115.57;76.88;76.88;38.06;38.06;103.96;103.96;112.85;112.85;13.7;13.7;3.55;3.55;0.06;55;55;98.7;98.7;125;125;68.12;68.12;162.39;162.39;130.23;130.23;100.27;100.27;94.86;94.86;83.54;83.54;52.11;52.11;2186;1770;2507;2977;0;0;1;1
