team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Kito & Reeyko & Aiipa;;6;0;0.00;3131;521.83;8;1.33;6;1;10;1.67;20;3.33;56;9.33;25;4.17;12;2;40;428.33;50.71;16081;2680.17;11807;1967.83;4274;712.33;137;22.83;394;65.67;3015;502.5;1826;304.33;1189;198.17;21;3.5;109;18.17;281.93;46.99;259.93;43.32;2776;462.67;2049;341.5;289;48.17;1561.39;3225536;537589.31;1000.95;166.82;818.13;136.35;418.63;69.77;1204.08;200.68;895.04;149.17;138.6;23.1;32.65;5.44;0.13;258;43;1074.8;179.13;1040.1;173.35;576.67;96.11;1661.04;276.84;1475.91;245.99;761.81;126.97;1069.9;178.32;750.86;125.14;416.96;69.49;2412.28;2273.85;2519.46;3018.09;6;1;5;0.83
Kito & Reeyko & Aiipa;;1;1;100.00;725;725;3;3;1;1;1;1;5;5;8;8;3;3;1;1;60;445;54.04;3432;3432;2658;2658;774;774;32;32;68;68;559;559;342;342;217;217;4;4;22;22;34.97;34.97;80.03;80.03;367;367;476;476;67;67;1493;637785;637785;218.27;218.27;178.44;178.44;62.41;62.41;250.71;250.71;174.86;174.86;33.56;33.56;11.22;11.22;0.15;77;77;250.7;250.7;195;195;84.16;84.16;374.96;374.96;321.32;321.32;137.8;137.8;246.42;246.42;128.5;128.5;84.2;84.2;2528;2550;2507;2799;1;1;2;2
Kito & Reeyko & Aiipa;"   JWeyts   ";2;2;100.00;1053;526.5;1;0.5;2;1;5;2.5;6;3;20;10;1;0.5;1;0.5;16.67;458.89;57.58;6539;3269.5;5077;2538.5;1462;731;68;34;141;70.5;1767;883.5;1173;586.5;594;297;16;8;56;28;60.32;30.16;141.79;70.9;835;417.5;1855;927.5;468;234;1623.7;1275288;637644;309.63;154.82;330.11;165.05;172.73;86.36;397.33;198.67;347.67;173.83;67.47;33.74;10.98;5.49;0.12;91;45.5;386.7;193.35;415.2;207.6;214.04;107.02;598.43;299.21;530.41;265.21;282.06;141.03;377.02;188.51;268.83;134.42;166.62;83.31;2182.33;1936.79;2376.35;3136.47;3;1.5;4;2
Kito & Reeyko & Aiipa;" Cayyh";1;0;0.00;276;276;0;0;0;0;2;2;3;3;7;7;3;3;1;1;0;503;47.86;2296;2296;1935;1935;361;361;22;22;33;33;506;506;394;394;112;112;4;4;11;11;38.66;38.66;23.61;23.61;442;442;276;276;14;14;1695;429844;429844;89.85;89.85;100.31;100.31;74.51;74.51;128.75;128.75;118.22;118.22;17.7;17.7;7.16;7.16;0.12;61;61;108.2;108.2;151.3;151.3;107.46;107.46;157.2;157.2;172.36;172.36;92.31;92.31;131.76;131.76;85.96;85.96;46.94;46.94;1980;1775;2123;3034;1;1;1;1
47 & !;!;1;0;0.00;626;626;3;3;1;1;1;1;5;5;9;9;6;6;5;5;60;361;42.16;2100;2100;1350;1350;750;750;17;17;68;68;642;642;346;346;296;296;5;5;28;28;70.13;70.13;27.37;27.37;181;181;278;278;81;81;1495;532849;532849;213.61;213.61;124.56;124.56;59.64;59.64;238.26;238.26;143.36;143.36;16.19;16.19;6.9;6.9;0.16;43;43;183.6;183.6;179.1;179.1;93.75;93.75;304.06;304.06;227.84;227.84;169.97;169.97;164.01;164.01;125.58;125.58;108.22;108.22;2162;1919;2325;2791;2;2;0;0
Kito & Reeyko & Aiipa;!;3;2;66.67;1990;663.33;8;2.67;2;0.67;4;1.33;20;6.67;11;3.67;4;1.33;2;0.67;40;504.08;50.43;6351;2117;5194;1731.33;1157;385.67;64;21.33;107;35.67;1789;596.33;1279;426.33;510;170;16;5.33;49;16.33;63.96;21.32;125.72;41.91;1407;469;1100;366.67;360;120;1614.14;1134421;378140.34;322.72;107.57;271.84;90.61;166.13;55.38;411.34;137.11;279.35;93.12;70.01;23.34;10.77;3.59;0.11;102;34;289.7;96.57;424.1;141.37;217.11;72.37;543.58;181.19;366.44;122.15;394.25;131.42;245.85;81.95;233.05;77.68;281.8;93.93;2150.78;1800.57;2534.9;3096.02;0;0;3;1
Kito & Reeyko & Aiipa;!;1;0;0.00;505;505;0;0;1;1;3;3;4;4;6;6;3;3;1;1;0;365;52.57;2216;2216;1552;1552;664;664;20;20;62;62;598;598;362;362;236;236;5;5;23;23;49.11;49.11;32.18;32.18;210;210;495;495;161;161;1449;469587;469587;181.7;181.7;118.62;118.62;46.38;46.38;187.34;187.34;139.42;139.42;19.93;19.93;3.45;3.45;0.13;26;26;126.8;126.8;203.6;203.6;109.38;109.38;237.31;237.31;189.99;189.99;156.7;156.7;128.18;128.18;122.71;122.71;95.8;95.8;2120;1905;2380;2699;0;0;1;1
m1tch1mpreza & Chill Guy Refill & ! F;! F;2;0;0.00;1454;727;4;2;0;0;5;2.5;15;7.5;28;14;6;3;5;2.5;26.67;423.47;46.29;6681;3340.5;4724;2362;1957;978.5;55;27.5;156;78;1559;779.5;951;475.5;608;304;11;5.5;55;27.5;140.45;70.23;85.81;42.9;1533;766.5;796;398;148;74;1573.08;1471883;735941.5;419.43;209.71;388.51;194.26;172.39;86.19;547.82;273.91;387.45;193.73;45.07;22.53;18.2;9.1;0.11;160;80;465.9;232.95;491.9;245.95;246.7;123.35;733.64;366.82;610.08;305.04;370.26;185.13;437.69;218.85;319.52;159.76;223.13;111.57;2133.37;1954.86;2242.29;2936.42;2;1;4;2
Kito & Reeyko & Aiipa;! Ghassan;3;3;100.00;1135;378.33;4;1.33;1;0.33;2;0.67;10;3.33;12;4;3;1;1;0.33;40;429.8;50.75;5390;1796.67;4220;1406.67;1170;390;57;19;105;35;1321;440.33;924;308;397;132.33;11;3.67;36;12;81.03;27.01;138.15;46.05;825;275;1458;486;175;58.33;1619.89;1090943;363647.66;302.27;100.76;285.43;95.14;142.03;47.34;402.46;134.15;286.25;95.42;41;13.67;11.78;3.93;0.09;129;43;348.4;116.13;344;114.67;157.16;52.39;572.56;190.85;413.03;137.68;316.7;105.57;290.68;96.89;247.73;82.58;191.32;63.77;2417.04;2106.92;2631.08;3177.27;1;0.33;0;0
Kito & Reeyko & Aiipa;!r;1;0;0.00;378;378;1;1;0;0;2;2;3;3;9;9;4;4;3;3;33.33;426;40.9;1632;1632;1198;1198;434;434;14;14;38;38;269;269;100;100;169;169;1;1;15;15;34.26;34.26;34.93;34.93;94;94;210;210;0;0;1640;369338;369338;92.51;92.51;93.94;93.94;56.83;56.83;99.81;99.81;128.64;128.64;14.83;14.83;3.63;3.63;0.13;28;28;120.1;120.1;103;103;53.95;53.95;189.33;189.33;149.43;149.43;93.85;93.85;104.54;104.54;85.55;85.55;53.18;53.18;2778;2382;3133;3357;0;0;0;0
