team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Reevo & defzzy. & Syracks;"  ";4;2;50.00;2423;605.75;6;1.5;2;0.5;11;2.75;17;4.25;33;8.25;11;2.75;5;1.25;35.29;454.38;48.65;9006;2251.5;6840;1710;2166;541.5;80;20;179;44.75;2188;547;1489;372.25;699;174.75;16;4;63;15.75;192.2;48.05;157.47;39.37;868;217;930;232.5;34;8.5;1563.93;1754315;438578.75;521.37;130.34;476.84;119.21;207.99;52;654.17;163.54;472.98;118.25;79.04;19.76;20.38;5.1;0.12;171;42.75;552.1;138.02;621.9;155.48;318.88;79.72;887.31;221.83;733.13;183.28;473.07;118.27;514.43;128.61;395.76;98.94;296.01;74;2588.63;2315.38;2817.88;3277.15;2;0.5;1;0.25
Bozo ! & !;!;1;0;0.00;230;230;1;1;0;0;1;1;2;2;11;11;6;6;4;4;50;426;43.98;1630;1630;1292;1292;338;338;14;14;36;36;373;373;300;300;73;73;3;3;7;7;22.7;22.7;19.82;19.82;76;76;141;141;11;11;1627;304660;304660;98.81;98.81;60.58;60.58;57.82;57.82;106.62;106.62;99.93;99.93;10.66;10.66;4.77;4.77;0.09;55;55;101.7;101.7;95;95;69.13;69.13;148.07;148.07;157.7;157.7;59.51;59.51;120.12;120.12;61.41;61.41;35.68;35.68;2627;2234;2804;3147;0;0;1;1
david9 & Kenzo-. & ! 2 EM;! 2 EM;2;1;50.00;923;461.5;2;1;2;1;5;2.5;5;2.5;13;6.5;3;1.5;1;0.5;40;452.28;46.27;3877;1938.5;2436;1218;1441;720.5;29;14.5;114;57;1138;569;460;230;678;339;6;3;53;26.5;93.98;46.99;38.19;19.1;590;295;469;234.5;138;69;1647.62;847297;423648.5;197.63;98.82;239.58;119.79;103.7;51.85;305.98;152.99;197.92;98.96;37;18.5;9.45;4.73;0.09;105;52.5;249.1;124.55;266.2;133.1;136.24;68.12;404.67;202.33;318.42;159.21;222.49;111.24;223.29;111.64;177.6;88.8;140.01;70;2119.84;1968.2;2195.54;2761.16;0;0;1;0.5
Reevo & defzzy. & Syracks;! Dcw;3;2;66.67;1678;559.33;5;1.67;1;0.33;9;3;12;4;37;12.33;6;2;4;1.33;41.67;364.24;47.45;6017;2005.67;4371;1457;1646;548.67;52;17.33;149;49.67;393;131;0;0;393;131;0;0;36;12;124.2;41.4;116.73;38.91;590;196.67;890;296.67;21;7;1469.01;1447202;482400.66;521.38;173.79;406.36;135.45;118.49;39.5;548.32;182.77;426.73;142.24;71.2;23.73;13.78;4.59;0.11;120;40;556.5;185.5;450.5;150.17;236.97;78.99;809.28;269.76;744.9;248.3;301.33;100.44;560.48;186.83;326.24;108.75;159.51;53.17;2375.03;2171.13;2560;2918.18;2;0.67;4;1.33
Ivy rixy. & ! Ghassan & Ivy Lba;! Ghassan;3;1;33.33;1021;340.33;4;1.33;1;0.33;2;0.67;8;2.67;15;5;7;2.33;3;1;50;438.75;52.65;5417;1805.67;4154;1384.67;1263;421;57;19;118;39.33;1338;446;912;304;426;142;12;4;38;12.67;74.26;24.75;87.63;29.21;1152;384;1510;503.33;285;95;1613.21;1110404;370134.66;306.83;102.28;300.83;100.28;134.15;44.72;438.76;146.25;273.69;91.23;29.37;9.79;11.94;3.98;0.11;112;37.33;362.5;120.83;343.8;114.6;197.51;65.84;544.32;181.44;462.3;154.1;279.53;93.18;319.05;106.35;267.24;89.08;155.54;51.85;2747.81;2449.59;3031.87;3331.82;4;1.33;1;0.33
Reevo & defzzy. & Syracks;"""vax'";8;3;37.50;2633;329.12;4;0.5;5;0.62;12;1.5;24;3;58;7.25;23;2.88;8;1;16.67;419.08;46.28;15691;1961.38;11366;1420.75;4325;540.62;141;17.62;378;47.25;4160;520;2476;309.5;1684;210.5;32;4;146;18.25;298.5;37.31;185.79;23.22;3059;382.38;2665;333.12;693;86.62;1603.56;3273465;409183.12;931.13;116.39;868.13;108.52;415.36;51.92;1249.9;156.24;832.17;104.02;132.58;16.57;31.12;3.89;0.1;295;36.88;1015;126.88;1089.9;136.24;531.67;66.46;1682.98;210.37;1376.2;172.03;838.44;104.81;976.54;122.07;727.94;90.99;510.13;63.77;2253.55;2000.29;2438.59;2846.19;7;0.88;5;0.62
Reevo & defzzy. & Syracks;***** kong;2;0;0.00;928;464;2;1;1;0.5;5;2.5;7;3.5;15;7.5;7;3.5;5;2.5;28.57;528.55;50.23;6179;3089.5;4697;2348.5;1482;741;59;29.5;137;68.5;2188;1094;1482;741;706;353;20;10;63;31.5;73.3;36.65;75.15;37.57;1224;612;1287;643.5;560;280;1698.81;1113393;556696.5;236.36;118.18;289.02;144.51;174.14;87.07;374.14;187.07;294.23;147.12;31.14;15.57;16.92;8.46;0.09;189;94.5;307.2;153.6;378.4;189.2;247.77;123.89;451.75;225.88;386.52;193.26;313;156.5;262.32;131.16;237.83;118.91;199.37;99.68;2361.57;2214.84;2467.58;3318.86;5;2.5;4;2
Reevo & defzzy. & Syracks;***********;2;0;0.00;595;297.5;0;0;0;0;4;2;5;2.5;18;9;8;4;4;2;0;435.05;43.23;4879;2439.5;3372;1686;1507;753.5;37;18.5;126;63;1165;582.5;696;348;469;234.5;8;4;41;20.5;108.23;54.11;57.97;28.99;1260;630;335;167.5;103;51.5;1597.48;1000592;500296;285.05;142.52;241.73;120.86;142.19;71.1;391.41;195.71;250.97;125.49;26.61;13.31;15.54;7.77;0.11;141;70.5;342.5;171.25;289.7;144.85;184.93;92.46;484.05;242.02;428.19;214.1;240.79;120.4;310.02;155.01;232.07;116.04;126.89;63.44;2446.82;2172.49;2589.71;3196.95;5;2.5;2;1
Reevo & defzzy. & Syracks;--;2;1;50.00;1203;601.5;3;1.5;1;0.5;6;3;9;4.5;20;10;6;3;2;1;33.33;539.89;51.36;6071;3035.5;4224;2112;1847;923.5;52;26;171;85.5;922;461;351;175.5;571;285.5;4;2;57;28.5;113.34;56.67;79.58;39.79;1540;770;1126;563;122;61;1724.57;1123702;561851;240.15;120.07;267.34;133.67;192.15;96.07;329.12;164.56;312.67;156.33;57.85;28.92;11.77;5.89;0.13;90;45;348.3;174.15;322.4;161.2;140.25;70.12;559.38;279.69;462.23;231.11;237.41;118.71;340.28;170.14;222.99;111.5;136.37;68.18;2374.03;2289.37;2441.8;2840.19;2;1;2;1
Reevo & defzzy. & Syracks;-yova;10;1;10.00;4762;476.2;10;1;0;0;28;2.8;51;5.1;83;8.3;29;2.9;13;1.3;19.61;484.48;47.28;25666;2566.6;18954;1895.4;6712;671.2;224;22.4;559;55.9;4644;464.4;2188;218.8;2456;245.6;26;2.6;211;21.1;394.46;39.45;336.92;33.69;4926;492.6;3404;340.4;383;38.3;1605.03;5014455;501445.5;1346.08;134.61;1220.83;122.08;738.18;73.82;1622.85;162.29;1373.18;137.32;309.05;30.9;78.23;7.82;0.09;847;84.7;1674.8;167.48;1518.3;151.83;811.9;81.19;2493.18;249.32;2064.26;206.43;1240.83;124.08;1524.33;152.43;1017.52;101.75;763.25;76.32;2117.28;1873.8;2359.18;3038.03;13;1.3;10;1
