team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
smashy & Syracks & velocity;"   Czudo   ";4;0;0.00;693;173.25;0;0;1;0.25;5;1.25;7;1.75;30;7.5;15;3.75;8;2;0;439.22;44.2;5139;1284.75;3734;933.5;1405;351.25;48;12;120;30;1014;253.5;769;192.25;245;61.25;9;2.25;22;5.5;84.92;21.23;52.66;13.16;1152;288;990;247.5;133;33.25;1568.41;1065874;266468.5;349.14;87.29;252.89;63.22;146.85;36.71;454.34;113.58;269.65;67.41;24.91;6.23;9.66;2.41;0.13;75;18.75;350.6;87.65;361.6;90.4;200.23;50.06;548.67;137.17;571.71;142.93;177.19;44.3;451.72;112.93;201.25;50.31;95.94;23.99;2252.3;2053.76;2329.67;2739.26;1;0.25;2;0.5
smashy & Syracks & velocity;"   JWeyts   ";1;0;0.00;804;804;2;2;0;0;5;5;4;4;11;11;3;3;1;1;50;464;49.58;2720;2720;2072;2072;648;648;26;26;54;54;413;413;272;272;141;141;4;4;13;13;37.52;37.52;49.59;49.59;395;395;558;558;135;135;1626;531865;531865;138.13;138.13;138.61;138.61;73.86;73.86;175.09;175.09;157.01;157.01;18.5;18.5;5.58;5.58;0.13;43;43;164.2;164.2;170.2;170.2;92.91;92.91;257.7;257.7;232.79;232.79;117.81;117.81;174.75;174.75;109.45;109.45;66.4;66.4;2142;2037;2248;2964;0;0;0;0
smashy & Syracks & velocity;!;1;1;100.00;520;520;1;1;0;0;4;4;2;2;9;9;0;0;0;0;50;282;51.33;1551;1551;788;788;763;763;11;11;66;66;240;240;92;92;148;148;1;1;14;14;22.97;22.97;33.42;33.42;86;86;332;332;18;18;1254;395600;395600;212.79;212.79;84.82;84.82;27.09;27.09;182.07;182.07;127.85;127.85;14.78;14.78;6.7;6.7;0.09;71;71;172;172;143.1;143.1;45.46;45.46;279.24;279.24;241.45;241.45;83.25;83.25;187.83;187.83;96.25;96.25;40.62;40.62;2471;2254;2627;2770;0;0;0;0
smashy & Syracks & velocity;! LeV;3;1;33.33;1725;575;5;1.67;3;1;8;2.67;9;3;29;9.67;11;3.67;5;1.67;55.56;362.42;46.91;6586;2195.33;4903;1634.33;1683;561;60;20;155;51.67;1033;344.33;516;172;517;172.33;6;2;47;15.67;180.51;60.17;102.85;34.28;399;133;1180;393.33;96;32;1547.32;1554357;518119;488.33;162.78;429.13;143.04;170.43;56.81;520.8;173.6;514.43;171.48;52.63;17.54;17.31;5.77;0.11;152;50.67;527.1;175.7;517.9;172.63;272.68;90.89;815.2;271.73;749.89;249.96;337.98;112.66;542.43;180.81;340.07;113.36;205.37;68.46;2421.7;2256.32;2532.55;3048.34;2;0.67;3;1
smashy & Syracks & velocity;!Mark!uisio!;1;1;100.00;626;626;2;2;1;1;1;1;4;4;12;12;3;3;0;0;50;486;46.12;2910;2910;2129;2129;781;781;24;24;69;69;834;834;519;519;315;315;6;6;28;28;48.07;48.07;31.59;31.59;692;692;274;274;80;80;1579;563117;563117;169.48;169.48;145.71;145.71;70.48;70.48;221.47;221.47;147.51;147.51;16.7;16.7;7.27;7.27;0.08;88;88;154;154;205.4;205.4;95.92;95.92;289.75;289.75;233.79;233.79;151.87;151.87;174.72;174.72;123.29;123.29;87.66;87.66;2279;2265;2251;2861;2;2;0;0
smashy & Syracks & velocity;& .FlowZ. &;6;2;33.33;2891;481.83;6;1;1;0.17;12;2;24;4;51;8.5;16;2.67;4;0.67;25;445.28;51.92;14157;2359.5;10716;1786;3441;573.5;138;23;298;49.67;3373;562.17;1933;322.17;1440;240;24;4;124;20.67;203.1;33.85;233.31;38.88;2559;426.5;3178;529.67;491;81.83;1622.57;2922636;487106;773.72;128.95;737.91;122.99;411.68;68.61;1029.03;171.51;764.93;127.49;129.37;21.56;35.91;5.99;0.14;250;41.67;894.2;149.03;974.8;162.47;545.25;90.88;1378.09;229.68;1171.03;195.17;752.32;125.39;866.79;144.46;570.31;95.05;486.22;81.04;2528.85;2108.36;2858.33;3243.93;4;0.67;9;1.5
smashy & Syracks & velocity;-breyyn;4;1;25.00;2318;579.5;5;1.25;1;0.25;13;3.25;11;2.75;44;11;12;3;6;1.5;45.45;335.65;55.63;8551;2137.75;5892;1473;2659;664.75;78;19.5;248;62;1635;408.75;774;193.5;861;215.25;10;2.5;79;19.75;98.68;24.67;207.76;51.94;953;238.25;1934;483.5;255;63.75;1544.05;2051166;512791.5;688.11;172.03;550.06;137.52;209.9;52.47;846.02;211.51;543.01;135.75;59.02;14.76;26.01;6.5;0.15;179;44.75;759.5;189.88;650.8;162.7;326.04;81.51;1122.03;280.51;976.76;244.19;471.3;117.82;737.69;184.42;452.98;113.25;257.38;64.35;2301.78;2196.9;2399.06;2956.57;2;0.5;10;2.5
smashy & Syracks & velocity;.;5;2;40.00;3283;656.6;11;2.2;8;1.6;10;2;29;5.8;50;10;23;4.6;13;2.6;37.93;432.54;45.2;14156;2831.2;10408;2081.6;3748;749.6;132;26.4;308;61.6;3173;634.6;1821;364.2;1352;270.4;24;4.8;107;21.4;249.77;49.95;190.39;38.08;1969;393.8;2694;538.8;523;104.6;1604.72;2775486;555097.19;806.21;161.24;735.9;147.18;373.42;74.68;1040.89;208.18;774.48;154.9;100.16;20.03;29.85;5.97;0.12;256;51.2;838.4;167.68;951.4;190.28;495.46;99.09;1420.06;284.01;1189.58;237.92;725.96;145.19;848.64;169.73;644.21;128.84;422.68;84.54;2342.57;2297.17;2399.61;2937.94;6;1.2;5;1
smashy & Syracks & velocity;.;3;0;0.00;1398;466;5;1.67;3;1;2;0.67;11;3.67;33;11;13;4.33;6;2;45.45;409.99;53.81;8263;2754.33;5790;1930;2473;824.33;72;24;215;71.67;1879;626.33;1034;344.67;845;281.67;13;4.33;77;25.67;98.27;32.76;100.15;33.38;1148;382.67;1404;468;220;73.33;1531.99;1649593;549864.31;548.74;182.91;445.82;148.61;178.95;59.65;685.77;228.59;440.73;146.91;47;15.67;34.85;11.62;0.09;402;134;508.6;169.53;576.6;192.2;287.79;95.93;885.72;295.24;731.03;243.68;442.48;147.49;480.29;160.1;440.38;146.79;252.83;84.28;2183.02;2141.17;2151.59;2737.02;4;1.33;1;0.33
smashy & Syracks & velocity;.;7;4;57.14;3815;545;11;1.57;8;1.14;11;1.57;29;4.14;44;6.29;19;2.71;10;1.43;37.93;439.61;46.65;17438;2491.14;11745;1677.86;5693;813.29;137;19.57;485;69.29;3792;541.71;1852;264.57;1940;277.14;21;3;157;22.43;276.4;39.49;193.17;27.6;2675;382.14;2108;301.14;301;43;1550.72;3504150;500592.84;1098.95;156.99;897.55;128.22;449.42;64.2;1254.8;179.26;1026.14;146.59;164.95;23.56;50.47;7.21;0.12;398;56.86;1231.3;175.9;1134.5;162.07;565.51;80.79;1880.39;268.63;1523.6;217.66;922.3;131.76;1101.11;157.3;787.84;112.55;556.94;79.56;2204.59;2116.91;2285.97;2895.17;6;0.86;7;1
