team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Tr3bla & ~. M4 ? & Syracks;;1;0;0.00;427;427;1;1;1;1;2;2;6;6;11;11;4;4;2;2;16.67;456;45.6;2726;2726;1916;1916;810;810;22;22;66;66;437;437;103;103;334;334;2;2;23;23;65.94;65.94;56.47;56.47;229;229;317;317;108;108;1507;521264;521264;174.84;174.84;156.75;156.75;45.52;45.52;205.46;205.46;160.58;160.58;11.07;11.07;10.2;10.2;0.1;105;105;222.8;222.8;133.6;133.6;93.78;93.78;283.32;283.32;240.35;240.35;136.75;136.75;185.31;185.31;112.18;112.18;79.62;79.62;2426;2476;2371;3121;0;0;0;0
Tr3bla & ~. M4 ? & Syracks;"   JWeyts   ";1;0;0.00;489;489;1;1;0;0;1;1;3;3;11;11;4;4;1;1;33.33;470;54.77;2540;2540;1914;1914;626;626;23;23;61;61;448;448;200;200;248;248;2;2;23;23;17.5;17.5;64.54;64.54;470;470;454;454;1;1;1577;486688;486688;141.09;141.09;120.32;120.32;65.3;65.3;175.27;175.27;125.75;125.75;25.69;25.69;4.64;4.64;0.12;39;39;153;153;168.8;168.8;119.61;119.61;207.1;207.1;231.42;231.42;95.29;95.29;168.47;168.47;98.71;98.71;59.54;59.54;2487;2052;2781;3310;2;2;4;4
Tr3bla & ~. M4 ? & Syracks;!;2;1;50.00;699;349.5;3;1.5;0;0;3;1.5;5;2.5;17;8.5;7;3.5;3;1.5;60;418.35;49.44;4234;2117;2982;1491;1252;626;37;18.5;111;55.5;895;447.5;507;253.5;388;194;7;3.5;28;14;61.47;30.74;64.25;32.12;565;282.5;728;364;221;110.5;1605.19;917477;458738.5;264.49;132.24;213.94;106.97;141.83;70.92;335.11;167.55;256.63;128.32;28.54;14.27;16.66;8.33;0.11;163;81.5;318.5;159.25;267.6;133.8;183.82;91.91;436.45;218.23;391.19;195.6;229.09;114.54;280.6;140.3;222.76;111.38;116.9;58.45;2521.33;2460.49;2580.46;3205.56;0;0;2;1
!evas a tahW & Willie;!evas a tahW;1;0;0.00;659;659;3;3;0;0;2;2;6;6;13;13;4;4;2;2;50;503;49.97;3662;3662;2866;2866;796;796;31;31;75;75;1104;1104;781;781;323;323;8;8;28;28;37.33;37.33;62.21;62.21;647;647;284;284;24;24;1565;674242;674242;185.44;185.44;194.11;194.11;80.75;80.75;247.08;247.08;185.6;185.6;27.62;27.62;8.23;8.23;0.11;76;76;224;224;214.5;214.5;130.21;130.21;330.09;330.09;248.75;248.75;211.55;211.55;162.6;162.6;182.54;182.54;115.16;115.16;2347;2267;2409;3280;1;1;0;0
Dxki & !sk.;!sk.;1;1;100.00;612;612;2;2;1;1;3;3;3;3;10;10;3;3;1;1;66.67;414;52.38;2934;2934;2212;2212;722;722;26;26;65;65;450;450;276;276;174;174;3;3;15;15;37.65;37.65;59.15;59.15;360;360;410;410;23;23;1565;552686;552686;167.64;167.64;147.25;147.25;67.99;67.99;203.07;203.07;160.11;160.11;19.7;19.7;7.11;7.11;0.11;65;65;181.4;181.4;172.9;172.9;106.76;106.76;276.12;276.12;245.61;245.61;137.27;137.27;164.71;164.71;154.4;154.4;63.77;63.77;2837;2625;2929;3357;0;0;1;1
Tr3bla & ~. M4 ? & Syracks;"""vax'";7;2;28.57;3988;569.71;9;1.29;5;0.71;13;1.86;45;6.43;72;10.29;26;3.71;12;1.71;20;425.18;48.29;19903;2843.29;14892;2127.43;5011;715.86;186;26.57;428;61.14;5513;787.57;3725;532.14;1788;255.43;47;6.71;148;21.14;287.33;41.05;275.8;39.4;3118;445.43;3596;513.71;901;128.71;1543.77;4042405;577486.44;1289.26;184.18;1041.67;148.81;494.56;70.65;1635.14;233.59;1034.45;147.78;155.9;22.27;43.18;6.17;0.11;403;57.57;1255.5;179.36;1462.6;208.94;702.15;100.31;2123.36;303.34;1784.9;254.99;1040.6;148.66;1262.27;180.32;913.88;130.55;649.35;92.76;2131.82;2012.7;2237.04;2804.2;6;0.86;4;0.57
Tr3bla & ~. M4 ? & Syracks;&&;2;0;0.00;704;352;1;0.5;2;1;3;1.5;2;1;17;8.5;10;5;4;2;50;452.01;45.44;4508;2254;3351;1675.5;1157;578.5;39;19.5;101;50.5;966;483;609;304.5;357;178.5;8;4;32;16;86.31;43.15;51.82;25.91;731;365.5;577;288.5;197;98.5;1597.22;826509;413254.5;248.4;124.2;228.99;114.49;101.23;50.61;336.48;168.24;205.07;102.54;37.07;18.53;11.05;5.52;0.11;98;49;287.7;143.85;258.4;129.2;179.6;89.8;399.03;199.51;395.28;197.64;183.35;91.68;288.61;144.3;179.51;89.76;110.51;55.26;2376.33;2172.49;2519.58;2895.75;2;1;5;2.5
Tr3bla & ~. M4 ? & Syracks;*********;1;0;0.00;484;484;0;0;1;1;3;3;4;4;10;10;2;2;0;0;0;449;47.01;2378;2378;1657;1657;721;721;19;19;68;68;269;269;0;0;269;269;0;0;24;24;35.33;35.33;54.89;54.89;388;388;302;302;10;10;1563;502332;502332;145.21;145.21;135.65;135.65;56.5;56.5;177.4;177.4;137.73;137.73;22.23;22.23;6.97;6.97;0.1;69;69;170.4;170.4;159.4;159.4;83.82;83.82;253.54;253.54;191.56;191.56;145.8;145.8;138.44;138.44;118.31;118.31;80.61;80.61;2151;2025;2272;2858;0;0;0;0
-gabi & WAZOX;-gabi;1;0;0.00;604;604;0;0;0;0;6;6;6;6;13;13;2;2;2;2;0;464;49.68;2899;2899;2067;2067;832;832;27;27;73;73;578;578;268;268;310;310;4;4;28;28;53.39;53.39;28.32;28.32;480;480;636;636;132;132;1580;558744;558744;149.4;149.4;158.2;158.2;61.58;61.58;191.95;191.95;159.64;159.64;17.58;17.58;6.37;6.37;0.11;56;56;186.8;186.8;180.8;180.8;74.18;74.18;294.99;294.99;208.96;208.96;160.21;160.21;131.78;131.78;149.32;149.32;88.07;88.07;2080;2006;2135;3200;1;1;0;0
Tr3bla & ~. M4 ? & Syracks;.;1;1;100.00;647;647;2;2;1;1;2;2;5;5;8;8;4;4;4;4;40;413;45.55;2824;2824;1910;1910;914;914;24;24;81;81;537;537;291;291;246;246;3;3;21;21;64.91;64.91;27.97;27.97;513;513;483;483;10;10;1509;590193;590193;211.09;211.09;148.15;148.15;67.83;67.83;255.35;255.35;155.04;155.04;16.68;16.68;11.08;11.08;0.11;98;98;237.9;237.9;166.6;166.6;87.36;87.36;339.7;339.7;290.3;290.3;136.76;136.76;216.63;216.63;125.57;125.57;84.87;84.87;2187;2125;2219;3166;2;2;1;1
Tr3bla & ~. M4 ? & Syracks;.;1;0;0.00;188;188;0;0;0;0;0;0;2;2;6;6;4;4;1;1;0;396;50.18;2370;2370;1750;1750;620;620;22;22;46;46;492;492;193;193;299;299;3;3;18;18;47.86;47.86;59.46;59.46;392;392;452;452;106;106;1645;470787;470787;142.84;142.84;127.17;127.17;68.06;68.06;195.02;195.02;136.55;136.55;6.51;6.51;4.54;4.54;0.08;55;55;210.2;210.2;140.8;140.8;75.15;75.15;262.92;262.92;230.9;230.9;107.16;107.16;178.98;178.98;90.59;90.59;68.5;68.5;2638;2038;3154;3379;0;0;1;1
