team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Reevo & SharK. & Dragon.;;4;1;25.00;1576;394;4;1;1;0.25;8;2;9;2.25;38;9.5;16;4;10;2.5;44.44;454.49;45.29;9157;2289.25;6807;1701.75;2350;587.5;79;19.75;212;53;1801;450.25;1006;251.5;795;198.75;13;3.25;75;18.75;137.01;34.25;118.02;29.51;1460;365;1069;267.25;235;58.75;1541.57;1797884;449471;596.24;149.06;417.85;104.46;258.76;64.69;675.32;168.83;524.94;131.24;72.59;18.15;19.73;4.93;0.11;181;45.25;600.6;150.15;603.5;150.88;324.9;81.22;947.94;236.99;851.52;212.88;421.31;105.33;645.61;161.4;385.51;96.38;241.72;60.43;2144.37;1900.74;2334.79;2639.66;5;1.25;6;1.5
Reevo & SharK. & Dragon.;;6;4;66.67;3200;533.33;8;1.33;2;0.33;15;2.5;32;5.33;50;8.33;15;2.5;6;1;25;424.61;50.29;15187;2531.17;10583;1763.83;4604;767.33;133;22.17;410;68.33;3768;628;2316;386;1452;242;30;5;135;22.5;215.07;35.85;238.76;39.79;1800;300;2729;454.83;551;91.83;1529.83;3076251;512708.5;1002.76;167.13;823.87;137.31;323.12;53.85;1182.96;197.16;847.12;141.19;119.69;19.95;47;7.83;0.11;432;72;981;163.5;1080.1;180.02;584.17;97.36;1565.59;260.93;1328.93;221.49;820.84;136.81;942.97;157.16;698.75;116.46;508.04;84.67;2292.85;2181.33;2398.69;2995.46;4;0.67;4;0.67
Reevo & SharK. & Dragon.;"   JWeyts   ";1;0;0.00;300;300;0;0;1;1;1;1;1;1;12;12;3;3;1;1;0;373;54.32;2334;2334;1633;1633;701;701;22;22;63;63;663;663;445;445;218;218;5;5;19;19;27.56;27.56;66.07;66.07;361;361;608;608;54;54;1506;500370;500370;173.63;173.63;116.05;116.05;64.8;64.8;191.12;191.12;143.75;143.75;19.6;19.6;3.4;3.4;0.1;33;33;175.8;175.8;164.8;164.8;107.67;107.67;246.8;246.8;255.06;255.06;99.42;99.42;197.28;197.28;100.02;100.02;57.17;57.17;2399;2449;2362;2912;0;0;0;0
Reevo & SharK. & Dragon.;!;1;0;0.00;272;272;1;1;0;0;0;0;7;7;7;7;2;2;2;2;14.29;492;46.41;2570;2570;1919;1919;651;651;20;20;60;60;946;946;693;693;253;253;7;7;25;25;68.37;68.37;20.61;20.61;314;314;97;97;18;18;1539;493480;493480;151.67;151.67;122.26;122.26;61.5;61.5;165.2;165.2;153.46;153.46;16.76;16.76;7.12;7.12;0.1;68;68;135.3;135.3;201.3;201.3;112.37;112.37;223.05;223.05;160.25;160.25;175.17;175.17;104.96;104.96;119.69;119.69;110.77;110.77;1827;1326;2194;2756;3;3;0;0
Syke & carolo. & bxyst;!carolo;5;1;20.00;3248;649.6;7;1.4;6;1.2;16;3.2;17;3.4;48;9.6;21;4.2;10;2;41.18;402.4;52.57;12846;2569.2;9561;1912.2;3285;657;129;25.8;294;58.8;3737;747.4;2476;495.2;1261;252.2;31;6.2;110;22;164.12;32.82;214.79;42.96;1723;344.6;3402;680.4;686;137.2;1589.38;2609434;521886.81;804.63;160.93;642.01;128.4;343.61;68.72;960.43;192.09;695.03;139.01;134.8;26.96;34.12;6.82;0.1;354;70.8;827.5;165.5;867.6;173.52;507.63;101.53;1282.65;256.53;1010.36;202.07;779.91;155.98;704.53;140.91;586.44;117.29;499.3;99.86;2253.51;2028.18;2469.42;3033.83;5;1;7;1.4
Reevo & SharK. & Dragon.;#;1;1;100.00;406;406;1;1;1;1;1;1;4;4;4;4;0;0;0;0;25;430;50.75;1900;1900;1389;1389;511;511;20;20;42;42;666;666;403;403;263;263;6;6;18;18;35.49;35.49;18.92;18.92;527;527;615;615;196;196;1864;388389;388389;82.43;82.43;78.7;78.7;88.91;88.91;114.64;114.64;115.97;115.97;19.42;19.42;2.48;2.48;0.11;23;23;85.9;85.9;159;159;92.47;92.47;157.57;157.57;130.74;130.74;119.29;119.29;100.89;100.89;68.26;68.26;80.88;80.88;2328;2452;2205;3046;2;2;0;0
Reevo & SharK. & Dragon.;#;1;0;0.00;520;520;1;1;1;1;3;3;3;3;19;19;5;5;2;2;33.33;367;43.67;2113;2113;1390;1390;723;723;15;15;51;51;448;448;300;300;148;148;3;3;14;14;40.06;40.06;25.89;25.89;196;196;109;109;0;0;1464;448679;448679;178.33;178.33;122.43;122.43;37.08;37.08;200.85;200.85;128.8;128.8;8.19;8.19;5.95;5.95;0.16;37;37;178;178;133.9;133.9;89.88;89.88;247.96;247.96;253.5;253.5;84.34;84.34;195.24;195.24;90.63;90.63;51.96;51.96;2156;2056;2169;2399;1;1;1;1
Reevo & SharK. & Dragon.;';1;0;0.00;387;387;0;0;1;1;2;2;3;3;10;10;2;2;1;1;0;400;43.85;2259;2259;1423;1423;836;836;16;16;72;72;342;342;97;97;245;245;1;1;21;21;50.11;50.11;22.81;22.81;182;182;191;191;2;2;1455;463275;463275;172.02;172.02;121.03;121.03;42.11;42.11;187.13;187.13;132.59;132.59;15.44;15.44;6.88;6.88;0.15;47;47;184.4;184.4;140.2;140.2;85.46;85.46;249.7;249.7;207.57;207.57;127.58;127.58;144.46;144.46;132.64;132.64;58.06;58.06;2491;2168;2745;2933;0;0;1;1
(?) A1pha & Voltdestroyer;(?) A1pha;1;1;100.00;412;412;1;1;1;1;1;1;6;6;4;4;0;0;0;0;16.67;458;49.38;2509;2509;1815;1815;694;694;22;22;63;63;608;608;296;296;312;312;4;4;28;28;33.02;33.02;27.81;27.81;397;397;413;413;106;106;1662;516177;516177;115.78;115.78;134.26;134.26;71.74;71.74;196.01;196.01;117.3;117.3;8.47;8.47;7.74;7.74;0.12;66;66;168.5;168.5;149.6;149.6;59.95;59.95;261.83;261.83;187.53;187.53;134.25;134.25;133.89;133.89;109.7;109.7;78.19;78.19;2235;2180;2265;3060;1;1;1;1
Reevo & SharK. & Dragon.;****;4;3;75.00;1762;440.5;7;1.75;1;0.25;6;1.5;11;2.75;34;8.5;7;1.75;5;1.25;63.64;425.91;44.51;8031;2007.75;5378;1344.5;2653;663.25;69;17.25;239;59.75;1219;304.75;493;123.25;726;181.5;7;1.75;64;16;192.02;48.01;99.07;24.77;1249;312.25;1193;298.25;210;52.5;1554.21;1596182;399045.5;503.42;125.85;421.65;105.41;197.36;49.34;631.23;157.81;452.39;113.1;38.81;9.7;22.49;5.62;0.11;198;49.5;579.5;144.88;495.5;123.88;243.57;60.89;878.87;219.72;748.25;187.06;374.19;93.55;569.71;142.43;340.31;85.08;212.41;53.1;2386.51;2185.6;2570.18;2963.27;1;0.25;1;0.25
