team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
swazz & . & Kehvn;"   JWeyts   ";3;1;33.33;2103;701;7;2.33;1;0.33;7;2.33;18;6;29;9.67;11;3.67;7;2.33;38.89;421.42;51.34;8527;2842.33;6403;2134.33;2124;708;80;26.67;190;63.33;1922;640.67;1389;463;533;177.67;17;5.67;42;14;109.49;36.5;188.79;62.93;795;265;1754;584.67;327;109;1539.86;1714641;571547;567.02;189.01;428.96;142.99;209.38;69.79;636.46;212.15;486.7;162.23;82.2;27.4;21.93;7.31;0.14;154;51.33;568.5;189.5;568;189.33;271.63;90.54;933.73;311.24;828.72;276.24;376.62;125.54;607.66;202.55;372.68;124.23;225.02;75.01;2301.58;2120.84;2450.74;2880.94;1;0.33;3;1
! Ghassan & Rixy.;! Ghassan;2;1;50.00;726;363;2;1;0;0;3;1.5;6;3;17;8.5;7;3.5;4;2;33.33;442;52.37;5344;2672;4085;2042.5;1259;629.5;50;25;118;59;770;385;405;202.5;365;182.5;5;2.5;33;16.5;81.74;40.87;92.36;46.18;908;454;968;484;104;52;1524.56;1032133;516066.5;347.89;173.95;286.79;143.4;103.67;51.83;441.54;220.77;258.29;129.15;38.53;19.26;12.52;6.26;0.1;128;64;396.4;198.2;310.5;155.25;190.67;95.33;547.7;273.85;490.49;245.24;247.87;123.93;350.18;175.09;269.15;134.58;119.03;59.51;2553;2516.93;2604.03;3064.19;1;0.5;2;1
swazz & . & Kehvn;! Khan.;2;0;0.00;832;416;2;1;2;1;3;1.5;5;2.5;16;8;9;4.5;2;1;40;377.4;50.8;4332;2166;3065;1532.5;1267;633.5;37;18.5;116;58;1046;523;649;324.5;397;198.5;7;3.5;36;18;62.98;31.49;62.88;31.44;473;236.5;670;335;60;30;1524.07;960848;480424;333.17;166.58;239.9;119.95;114.16;57.08;356.47;178.24;289.61;144.8;41.16;20.58;9.71;4.86;0.09;108;54;326.1;163.05;325.3;162.65;191.3;95.65;495.95;247.98;428.99;214.49;258.24;129.12;297.02;148.51;244.57;122.29;145.65;72.82;2533.83;2194.26;2792.9;3176.07;0;0;1;0.5
swazz & . & Kehvn;! Mayrox;6;3;50.00;3391;565.17;8;1.33;5;0.83;18;3;26;4.33;46;7.67;13;2.17;8;1.33;30.77;416.74;50.48;13772;2295.33;10270;1711.67;3502;583.67;132;22;301;50.17;2531;421.83;1335;222.5;1196;199.33;16;2.67;101;16.83;171.89;28.65;266.6;44.43;2548;424.67;2928;488;309;51.5;1534.27;2746878;457813;874.32;145.72;740.6;123.43;299;49.83;1131.09;188.51;702.82;117.14;80.02;13.34;29.64;4.94;0.12;266;44.33;1030.9;171.82;805.1;134.18;436.66;72.78;1477.28;246.21;1254.9;209.15;659.03;109.84;891.74;148.62;670.33;111.72;351.87;58.65;2477.4;2306.17;2634.54;2933.81;4;0.67;8;1.33
swazz & . & Kehvn;! Mohammed.;2;1;50.00;1586;793;0;0;5;2.5;13;6.5;6;3;29;14.5;6;3;4;2;0;434.81;51.1;6813;3406.5;5088;2544;1725;862.5;61;30.5;162;81;1377;688.5;859;429.5;518;259;10;5;49;24.5;77.02;38.51;87.59;43.79;872;436;1086;543;130;65;1620.81;1422754;711377;371.99;185.99;364.6;182.3;193.48;96.74;493.57;246.79;386.96;193.48;49.53;24.76;34.09;17.05;0.1;335;167.5;462.8;231.4;444.7;222.35;232.89;116.44;697.18;348.59;627.26;313.63;302.81;151.4;482.44;241.22;276.08;138.04;171.56;85.78;2339.86;1994.12;2578.14;2891.49;1;0.5;1;0.5
swazz & . & Kehvn;! TKL;1;0;0.00;408;408;2;2;1;1;1;1;4;4;10;10;6;6;1;1;50;455;42.44;2045;2045;1619;1619;426;426;18;18;39;39;660;660;485;485;175;175;5;5;15;15;44.98;44.98;20.3;20.3;406;406;92;92;14;14;1633;403542;403542;112.85;112.85;105.04;105.04;62.38;62.38;135.69;135.69;119.63;119.63;24.95;24.95;5.12;5.12;0.08;67;67;92.6;92.6;163.6;163.6;92.58;92.58;187.69;187.69;169.26;169.26;111.02;111.02;118.99;118.99;92.45;92.45;68.83;68.83;2309;1838;2715;3020;2;2;2;2
swazz & . & Kehvn;! w;1;1;100.00;442;442;0;0;1;1;3;3;1;1;8;8;1;1;0;0;0;393;48.46;2116;2116;1369;1369;747;747;17;17;61;61;368;368;52;52;316;316;1;1;24;24;17.23;17.23;60.6;60.6;347;347;346;346;60;60;1496;481727;481727;163.1;163.1;122.87;122.87;52.98;52.98;196.59;196.59;122.35;122.35;20.01;20.01;4.98;4.98;0.12;40;40;193.5;193.5;132.1;132.1;60.01;60.01;278.93;278.93;211.07;211.07;127.87;127.87;140.15;140.15;129.71;129.71;69.08;69.08;2091;1982;2241;2678;0;0;0;0
swazz & . & Kehvn;#1 LFT;1;1;100.00;791;791;2;2;0;0;5;5;6;6;9;9;2;2;1;1;33.33;486;44.96;3038;3038;2360;2360;678;678;28;28;63;63;819;819;549;549;270;270;7;7;25;25;54.09;54.09;38.53;38.53;438;438;413;413;161;161;1514;532647;532647;179.43;179.43;124.68;124.68;70.5;70.5;185.39;185.39;156.3;156.3;32.92;32.92;8.48;8.48;0.15;57;57;192;192;177.2;177.2;88.63;88.63;285.97;285.97;221.82;221.82;152.79;152.79;163.88;163.88;118.65;118.65;92.07;92.07;2054;2005;2122;2725;0;0;0;0
swazz & . & Kehvn;#_#;1;1;100.00;340;340;1;1;2;2;0;0;4;4;3;3;1;1;1;1;25;265;44.95;1730;1730;1232;1232;498;498;15;15;45;45;467;467;284;284;183;183;3;3;17;17;110.57;110.57;50.89;50.89;166;166;287;287;26;26;1251;379058;379058;241.9;241.9;96.92;96.92;41.22;41.22;192.66;192.66;169.89;169.89;17.49;17.49;8.01;8.01;0.18;45;45;175.1;175.1;192.6;192.6;143.97;143.97;236.07;236.07;171.91;171.91;208.13;208.13;117.75;117.75;98.07;98.07;164.23;164.23;2625;2531;2363;3640;0;0;2;2
swazz & . & Kehvn;(cb);1;1;100.00;815;815;3;3;2;2;2;2;6;6;12;12;5;5;2;2;50;391;42.34;3320;3320;2399;2399;921;921;27;27;81;81;550;550;268;268;282;282;3;3;25;25;75.1;75.1;63.41;63.41;540;540;325;325;32;32;1498;661981;661981;257.22;257.22;160.66;160.66;68.43;68.43;299.79;299.79;172.97;172.97;13.55;13.55;10.26;10.26;0.14;74;74;239.1;239.1;218.3;218.3;84.96;84.96;401.35;401.35;304.25;304.25;182.06;182.06;212.17;212.17;178.98;178.98;95.16;95.16;2486;2452;2534;3180;1;1;2;2
swazz & . & Kehvn;*******;3;2;66.67;1603;534.33;5;1.67;2;0.67;5;1.67;12;4;24;8;8;2.67;3;1;41.67;359.58;43.2;4718;1572.67;3345;1115;1373;457.67;40;13.33;123;41;1111;370.33;688;229.33;423;141;7;2.33;37;12.33;89.25;29.75;127.39;42.46;482;160.67;661;220.33;31;10.33;1531.69;1141604;380534.66;354.78;118.26;308.55;102.85;131.27;43.76;401.85;133.95;333.57;111.19;59.18;19.73;9.58;3.19;0.14;72;24;346;115.33;401.7;133.9;186.85;62.28;607.75;202.58;514.85;171.62;279.75;93.25;373.4;124.47;255.04;85.01;166.16;55.39;2310.46;1841.43;2704.05;2867.68;2;0.67;2;0.67
swazz & . & Kehvn;--;1;1;100.00;495;495;2;2;1;1;1;1;5;5;3;3;2;2;1;1;40;519;41.45;1325;1325;977;977;348;348;10;10;31;31;150;150;0;0;150;150;0;0;13;13;21.68;21.68;17.1;17.1;327;327;22;22;0;0;1683;230785;230785;60.58;60.58;56.64;56.64;38.87;38.87;70.91;70.91;76.59;76.59;8.59;8.59;1.27;1.27;0.09;14;14;62;62;75.1;75.1;25.53;25.53;130.56;130.56;88.89;88.89;67.2;67.2;62.44;62.44;55.61;55.61;38.03;38.03;2121;1882;2644;2897;0;0;0;0
swazz & . & Kehvn;-130;3;2;66.67;1659;553;8;2.67;2;0.67;2;0.67;13;4.33;22;7.33;11;3.67;5;1.67;61.54;381.77;49.01;5639;1879.67;4129;1376.33;1510;503.33;52;17.33;138;46;1573;524.33;1063;354.33;510;170;14;4.67;47;15.67;89.03;29.68;125.32;41.77;818;272.67;1145;381.67;359;119.67;1540.51;1294131;431377;452.58;150.86;333.37;111.12;161.5;53.83;510.95;170.32;388.23;129.41;48.27;16.09;10.12;3.37;0.12;85;28.33;451.6;150.53;450.3;150.1;218.82;72.94;728.63;242.88;560.22;186.74;387.21;129.07;408.79;136.26;287.94;95.98;250.72;83.57;2369.08;2182.72;2629.37;3223.45;0;0;5;1.67
swazz & . & Kehvn;-yova;9;5;55.56;4703;522.56;12;1.33;8;0.89;17;1.89;41;4.56;80;8.89;20;2.22;10;1.11;29.27;480.26;48.21;24633;2737;18003;2000.33;6630;736.67;214;23.78;598;66.44;4720;524.44;2665;296.11;2055;228.33;34;3.78;189;21;422.65;46.96;335.41;37.27;4590;510;3596;399.56;740;82.22;1572.38;4708907;523211.88;1376.46;152.94;1075.83;119.54;728.37;80.93;1618.8;179.87;1366.31;151.81;195.59;21.73;72.19;8.02;0.1;746;82.89;1704.4;189.38;1355;150.56;650.4;72.27;2530.27;281.14;2045.87;227.32;1134.79;126.09;1537.83;170.87;990.44;110.05;652.41;72.49;2321.54;2172.28;2467.18;3069.01;10;1.11;10;1.11
swazz & . & Kehvn;.;2;0;0.00;1357;678.5;2;1;4;2;6;3;17;8.5;22;11;8;4;4;2;11.76;450.62;52.8;5945;2972.5;4571;2285.5;1374;687;57;28.5;125;62.5;1337;668.5;972;486;365;182.5;11;5.5;33;16.5;67.68;33.84;89.31;44.65;932;466;877;438.5;77;38.5;1563.84;1180167;590083.5;373.09;186.54;295.58;147.79;141.71;70.85;450.38;225.19;291.37;145.68;68.63;34.31;16.1;8.05;0.09;184;92;401.3;200.65;395.7;197.85;250.95;125.47;559.42;279.71;464.33;232.17;346.05;173.02;331.11;165.55;265.34;132.67;213.91;106.96;2505.78;2356.97;2619.69;3252.35;1;0.5;2;1
