team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
dayyshift &    JWeyts   ;"   JWeyts   ";2;2;100.00;1347;673.5;4;2;2;1;5;2.5;11;5.5;10;5;2;1;0;0;36.36;450.09;51.3;4155;2077.5;3205;1602.5;950;475;42;21;88;44;1089;544.5;824;412;265;132.5;11;5.5;24;12;59.46;29.73;91.92;45.96;532;266;1028;514;286;143;1608.22;835052;417526;233.91;116.96;212.01;106.01;114.93;57.47;293.49;146.74;230.57;115.29;36.78;18.39;10.66;5.33;0.14;80;40;255.5;127.75;275.8;137.9;133.14;66.57;427.71;213.85;337.86;168.93;222.99;111.49;244.55;122.28;177.1;88.55;139.19;69.6;2098.83;1921.28;2283.51;3038.18;3;1.5;2;1
! & diego;!;14;14;100.00;9729;694.93;25;1.79;28;2;36;2.57;74;5.29;105;7.5;42;3;21;1.5;33.78;470.57;48;40718;2908.43;29502;2107.29;11216;801.14;380;27.14;1051;75.07;11870;847.86;7863;561.64;4007;286.21;101;7.21;369;26.36;520.89;37.21;554.97;39.64;5736;409.71;6909;493.5;1734;123.86;1652.06;7681233;548659.5;2044.87;146.06;1934.93;138.21;1127.76;80.55;2633.04;188.07;2084.52;148.89;390.01;27.86;114.72;8.19;0.1;1182;84.43;2500.5;178.61;2271.9;162.28;1188.82;84.92;3918.71;279.91;2986.05;213.29;2121.47;151.53;2079.58;148.54;1728.79;123.48;1299.17;92.8;2252.84;2185.89;2330.65;3042.64;26;1.86;11;0.79
analyste & ! Krabby.;! Krabby.;1;0;0.00;26;26;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;625;62.63;290;290;223;223;67;67;3;3;7;7;154;154;123;123;31;31;2;2;4;4;3.9;3.9;6.16;6.16;15;15;87;87;87;87;1823;71858;71858;13.68;13.68;11.34;11.34;18.37;18.37;18.37;18.37;22.44;22.44;2.58;2.58;0.83;0.83;0.07;12;12;15;15;26.9;26.9;10.69;10.69;32.7;32.7;21.75;21.75;21.64;21.64;15.58;15.58;10.86;10.86;16.95;16.95;2936;2989;3019;3430;0;0;0;0
Dragon <3 & mrtn & rizun;! Mayrox;1;0;0.00;684;684;1;1;0;0;5;5;5;5;9;9;2;2;2;2;20;402;48.86;2264;2264;1621;1621;643;643;20;20;57;57;360;360;200;200;160;160;3;3;14;14;28.54;28.54;33.79;33.79;308;308;308;308;99;99;1486;468763;468763;161.91;161.91;118.26;118.26;47.38;47.38;180.47;180.47;131.59;131.59;15.49;15.49;4.69;4.69;0.1;47;47;178.5;178.5;145.3;145.3;68.03;68.03;259.52;259.52;241.02;241.02;86.53;86.53;196.72;196.72;78.71;78.71;52.13;52.13;2449;2245;2675;3009;2;2;2;2
Dragon <3 & mrtn & rizun;! Sultan.;4;1;25.00;2558;639.5;6;1.5;4;1;12;3;17;4.25;45;11.25;12;3;6;1.5;35.29;469.61;49.4;11415;2853.75;8493;2123.25;2922;730.5;108;27;269;67.25;2048;512;1232;308;816;204;14;3.5;75;18.75;163.91;40.98;143.43;35.86;2044;511;2428;607;176;44;1600.96;2230413;557603.25;614.59;153.65;541.34;135.34;336.44;84.11;821.62;205.4;572.08;143.02;98.68;24.67;23.92;5.98;0.11;235;58.75;796.1;199.03;641.3;160.32;324.18;81.04;1168.2;292.05;994.7;248.67;497.68;124.42;720.67;180.17;495.68;123.92;276.03;69.01;2585.61;2470.55;2712.07;3275.63;3;0.75;6;1.5
Dragon <3 & mrtn & rizun;# F A A Y !;2;1;50.00;757;378.5;2;1;0;0;3;1.5;4;2;12;6;6;3;3;1.5;50;448.86;46.59;3549;1774.5;2662;1331;887;443.5;31;15.5;79;39.5;1051;525.5;649;324.5;402;201;7;3.5;34;17;63.16;31.58;53.76;26.88;624;312;456;228;58;29;1501.82;711772;355886;247.08;123.54;186.44;93.22;79.32;39.66;278.22;139.11;204.02;102.01;30.61;15.31;6.83;3.41;0.14;50;25;255.5;127.75;235.9;117.95;132.23;66.12;380.61;190.31;285.36;142.68;227.49;113.75;200.4;100.2;180.88;90.44;131.57;65.79;2144.8;1973.46;2281.88;3048.55;0;0;3;1.5
Dragon <3 & mrtn & rizun;-Kirox a&;1;1;100.00;441;441;1;1;0;0;2;2;6;6;6;6;2;2;1;1;16.67;452;50.59;2781;2781;2109;2109;672;672;25;25;58;58;745;745;538;538;207;207;7;7;18;18;35.48;35.48;48.21;48.21;518;518;383;383;147;147;1592;530959;530959;158.25;158.25;125.59;125.59;72.55;72.55;195.79;195.79;145.52;145.52;15.08;15.08;5.03;5.03;0.11;46;46;166.3;166.3;171.8;171.8;69.97;69.97;286.42;286.42;232.32;232.32;124.07;124.07;152.67;152.67;130.42;130.42;73.31;73.31;2315;2185;2440;2900;1;1;0;0
-breyyn & drakster;-breyyn;1;1;100.00;550;550;2;2;1;1;1;1;5;5;1;1;0;0;0;0;40;418;51.63;1895;1895;1245;1245;650;650;18;18;52;52;425;425;134;134;291;291;2;2;20;20;11.9;11.9;29.9;29.9;281;281;502;502;76;76;1611;405865;405865;107.92;107.92;106.55;106.55;52.45;52.45;131.29;131.29;125.29;125.29;10.34;10.34;2.73;2.73;0.11;24;24;128.2;128.2;127.5;127.5;53.14;53.14;213.77;213.77;158.38;158.38;108.53;108.53;113.24;113.24;83.52;83.52;70.16;70.16;2089;1853;2344;3054;2;2;2;2
-gabi & WAZOX;-gabi;11;10;90.91;8297;754.27;34;3.09;15;1.36;23;2.09;87;7.91;89;8.09;33;3;17;1.55;39.08;444.95;43.13;25257;2296.09;17956;1632.36;7301;663.73;218;19.82;636;57.82;6482;589.27;4078;370.73;2404;218.55;48;4.36;201;18.27;394.23;35.84;218.81;19.89;4260;387.27;3673;333.91;761;69.18;1596.58;4994887;454080.62;1540.65;140.06;1304.16;118.56;644.54;58.59;1960.84;178.26;1372.16;124.74;156.36;14.21;43.76;3.98;0.11;386;35.09;1641.5;149.23;1601.3;145.57;858.69;78.06;2630.68;239.15;2105.84;191.44;1383.55;125.78;1504.46;136.77;1123.82;102.17;861.1;78.28;2315.06;2076.66;2574.92;3067.7;13;1.18;19;1.73
Dragon <3 & mrtn & rizun;-trace;3;1;33.33;1711;570.33;5;1.67;2;0.67;7;2.33;9;3;31;10.33;11;3.67;7;2.33;55.56;415.22;43.59;7762;2587.33;5444;1814.67;2318;772.67;62;20.67;201;67;1309;436.33;553;184.33;756;252;7;2.33;62;20.67;154.77;51.59;100.38;33.46;695;231.67;835;278.33;161;53.67;1507.39;1519746;506582;530.55;176.85;392.17;130.72;170.78;56.93;619.52;206.51;410.81;136.94;63.16;21.05;16.27;5.42;0.12;138;46;523.4;174.47;510.8;170.27;271.2;90.4;822.31;274.1;701.15;233.72;392.34;130.78;501.43;167.14;387.1;129.03;204.97;68.32;2359.71;2142.11;2556.07;2905.68;0;0;4;1.33
