team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prstn & Aleksiii & WONKRU;;1;1;100.00;647;647;2;2;1;1;1;1;6;6;4;4;0;0;0;0;33.33;444;48.66;2028;2028;1528;1528;500;500;16;16;45;45;465;465;300;300;165;165;3;3;14;14;35.31;35.31;33.03;33.03;233;233;91;91;2;2;1542;401924;401924;118.37;118.37;115.49;115.49;42.5;42.5;140.41;140.41;107.94;107.94;28.01;28.01;3.15;3.15;0.12;27;27;127.1;127.1;134.4;134.4;78.34;78.34;198.02;198.02;148.61;148.61;127.75;127.75;97.99;97.99;102.53;102.53;75.84;75.84;2248;2292;2220;3147;0;0;0;0
! Sultan. & sxz007q;! Sultan.;1;0;0.00;591;591;0;0;2;2;4;4;3;3;11;11;3;3;2;2;0;539;50.97;2966;2966;2202;2202;764;764;28;28;63;63;328;328;185;185;143;143;2;2;12;12;34.49;34.49;29.01;29.01;700;700;493;493;14;14;1559;512586;512586;152.68;152.68;126.96;126.96;71.84;71.84;178.35;178.35;144.04;144.04;29.1;29.1;5.34;5.34;0.1;51;51;175.4;175.4;167.7;167.7;95.67;95.67;255.81;255.81;265.82;265.82;85.66;85.66;182.24;182.24;124.57;124.57;44.67;44.67;2475;1887;2875;3053;0;0;1;1
54axel. & ! aRa;! aRa;1;1;100.00;728;728;3;3;1;1;2;2;4;4;9;9;4;4;3;3;75;409;46.58;3035;3035;2065;2065;970;970;23;23;86;86;556;556;340;340;216;216;4;4;19;19;25.31;25.31;50.42;50.42;294;294;243;243;59;59;1580;621051;621051;192.32;192.32;163.67;163.67;75.57;75.57;228.43;228.43;182.38;182.38;20.75;20.75;9.34;9.34;0.09;99;99;219.7;219.7;175.4;175.4;101.12;101.12;330.44;330.44;323.69;323.69;107.88;107.88;226.28;226.28;154.19;154.19;51.1;51.1;2307;2200;2344;2859;1;1;0;0
prstn & Aleksiii & WONKRU;$;2;1;50.00;1193;596.5;5;2.5;1;0.5;3;1.5;8;4;17;8.5;5;2.5;1;0.5;62.5;453.48;41.48;4911;2455.5;3587;1793.5;1324;662;42;21;113;56.5;1109;554.5;771;385.5;338;169;9;4.5;31;15.5;77.6;38.8;69.7;34.85;785;392.5;658;329;148;74;1604.96;956280;478140;283.63;141.82;243.51;121.76;120.43;60.22;343.4;171.7;250.32;125.16;53.84;26.92;10.5;5.25;0.12;84;42;324.9;162.45;282.5;141.25;140.82;70.41;506.75;253.38;434.14;217.07;213.43;106.71;320.76;160.38;211.52;105.76;115.28;57.64;2410.53;2257.06;2646.14;2987.41;1;0.5;1;0.5
prstn & Aleksiii & WONKRU;&AVC;1;1;100.00;519;519;2;2;1;1;2;2;3;3;5;5;0;0;0;0;66.67;529;54.05;2920;2920;2314;2314;606;606;28;28;55;55;382;382;209;209;173;173;3;3;16;16;34.79;34.79;51.78;51.78;458;458;514;514;100;100;1623;515561;515561;129.52;129.52;137.83;137.83;66.52;66.52;173.54;173.54;129.07;129.07;31.25;31.25;9.07;9.07;0.1;88;88;189.2;189.2;137.7;137.7;87.92;87.92;245.94;245.94;207.33;207.33;126.54;126.54;135.5;135.5;125.71;125.71;72.65;72.65;2180;2141;2283;3119;0;0;1;1
LEBR0NZEJAME5 & ******* Hayzeas;******* Hayzeas;1;0;0.00;420;420;1;1;1;1;1;1;5;5;8;8;7;7;4;4;20;395;41.02;2234;2234;1610;1610;624;624;20;20;54;54;307;307;138;138;169;169;2;2;14;14;68.13;68.13;31.79;31.79;128;128;293;293;61;61;1500;534706;534706;194.65;194.65;152.32;152.32;46.9;46.9;238.15;238.15;151.09;151.09;4.64;4.64;6.81;6.81;0.1;66;66;193.7;193.7;171.6;171.6;124.42;124.42;269.46;269.46;264.53;264.53;129.35;129.35;196.45;196.45;111.3;111.3;86.13;86.13;2598;2389;2777;3226;0;0;0;0
prstn & Aleksiii & WONKRU;***********;7;1;14.29;2194;313.43;5;0.71;2;0.29;10;1.43;20;2.86;58;8.29;29;4.14;11;1.57;25;480.01;47.35;13912;1987.43;10432;1490.29;3480;497.14;122;17.43;292;41.71;3476;496.57;2274;324.86;1202;171.71;26;3.71;106;15.14;222.2;31.74;181.76;25.97;3196;456.57;1811;258.71;331;47.29;1604.32;2551600;364514.28;730.37;104.34;668.47;95.5;344.95;49.28;967.96;138.28;646.61;92.37;129.21;18.46;36.81;5.26;0.12;316;45.14;743.8;106.26;917.4;131.06;545.15;77.88;1198.65;171.24;1130.02;161.43;613.79;87.68;830.82;118.69;553.99;79.14;359;51.29;2295.79;2031.05;2501.15;3003.4;2;0.29;6;0.86
prstn & Aleksiii & WONKRU;.;1;0;0.00;729;729;2;2;2;2;4;4;5;5;12;12;5;5;2;2;40;453;43.06;2915;2915;2165;2165;750;750;24;24;70;70;507;507;267;267;240;240;4;4;23;23;47.49;47.49;44.1;44.1;486;486;247;247;139;139;1539;553443;553443;186.31;186.31;146.66;146.66;62.74;62.74;237.37;237.37;145.66;145.66;12.67;12.67;8.43;8.43;0.08;100;100;195.6;195.6;178.4;178.4;115.89;115.89;279.81;279.81;252.14;252.14;143.57;143.57;180.32;180.32;144.95;144.95;70.43;70.43;2546;2490;2604;3239;1;1;3;3
prstn & Aleksiii & WONKRU;.;1;1;100.00;448;448;2;2;0;0;1;1;4;4;7;7;1;1;0;0;50;458;48.57;2562;2562;1854;1854;708;708;21;21;66;66;237;237;0;0;237;237;0;0;22;22;44.98;44.98;39.28;39.28;541;541;266;266;0;0;1651;526335;526335;120.68;120.68;142.02;142.02;71.44;71.44;195.38;195.38;120.88;120.88;17.88;17.88;6.2;6.2;0.1;62;62;135.1;135.1;195.4;195.4;72.76;72.76;261.38;261.38;219.13;219.13;115.01;115.01;154.34;154.34;112.16;112.16;67.64;67.64;2270;2075;2385;2877;0;0;1;1
t9berh & .;.;2;1;50.00;1148;574;4;2;2;1;3;1.5;9;4.5;17;8.5;5;2.5;3;1.5;44.44;458.84;52.66;4543;2271.5;3518;1759;1025;512.5;43;21.5;92;46;912;456;531;265.5;381;190.5;7;3.5;34;17;101.47;50.74;52.55;26.27;494;247;834;417;196;98;1609.23;936635;468317.5;249.64;124.82;253.71;126.86;121.81;60.91;298.41;149.21;270.75;135.38;55.99;27.99;9.46;4.73;0.11;81;40.5;269.3;134.65;321.8;160.9;191.82;95.91;433.34;216.67;346.74;173.37;278.42;139.21;248.49;124.25;195.6;97.8;181.08;90.54;2235.74;2137.76;2335.5;3011.31;2;1;2;1
