team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Taha273 & Aleksiii & shockz;"  ";3;2;66.67;1580;526.67;5;1.67;6;2;5;1.67;12;4;18;6;5;1.67;2;0.67;41.67;433.04;43.19;5382;1794;4055;1351.67;1327;442.33;47;15.67;106;35.33;994;331.33;630;210;364;121.33;7;2.33;32;10.67;107.03;35.68;100.18;33.39;849;283;662;220.67;67;22.33;1600.54;1075005;358335;319.35;106.45;282.2;94.07;143.09;47.7;390.76;130.25;311.97;103.99;41.9;13.97;14.06;4.69;0.11;123;41;380.3;126.77;309.5;103.17;160.04;53.35;584.59;194.86;482.66;160.89;261.97;87.32;356.67;118.89;243.93;81.31;144.03;48.01;2637.62;2439.75;2771.83;3221;0;0;1;0.33
Taha273 & Aleksiii & shockz;"  ";6;2;33.33;2470;411.67;5;0.83;7;1.17;12;2;22;3.67;54;9;16;2.67;8;1.33;22.73;426.97;44.29;11093;1848.83;8426;1404.33;2667;444.5;98;16.33;233;38.83;2099;349.83;1317;219.5;782;130.33;15;2.5;70;11.67;184.61;30.77;156.21;26.04;1753;292.17;1198;199.67;166;27.67;1530.9;2223582;370597;781.97;130.33;639.27;106.55;217.08;36.18;949.93;158.32;562.35;93.72;126.03;21;22.64;3.77;0.1;215;35.83;839.7;139.95;725.6;120.93;387.45;64.58;1250.84;208.47;1071.47;178.58;566.86;94.48;789.19;131.53;512.52;85.42;336.61;56.1;2227.43;2143.51;2283.59;2888.16;5;0.83;3;0.5
Bruno Mars &    & Eleets;"  ";2;1;50.00;1362;681;4;2;6;3;3;1.5;9;4.5;16;8;8;4;1;0.5;44.44;396.12;47.48;5394;2697;3715;1857.5;1679;839.5;44;22;143;71.5;1410;705;872;436;538;269;10;5;48;24;113.78;56.89;65.24;32.62;598;299;738;369;155;77.5;1524.84;1098026;549013;393.38;196.69;302.67;151.33;123.36;61.68;430.79;215.39;347.85;173.93;40.78;20.39;13.89;6.94;0.13;106;53;351.5;175.75;405.3;202.65;216.03;108.01;603.37;301.68;511.58;255.79;307.83;153.92;389.73;194.86;248.65;124.32;181.03;90.51;2521.59;2193.2;2817.4;2910.73;4;2;3;1.5
Taha273 & Aleksiii & shockz;"   Zkittlez";1;0;0.00;262;262;0;0;2;2;0;0;5;5;7;7;3;3;0;0;0;415;47.04;2494;2494;1810;1810;684;684;20;20;64;64;616;616;396;396;220;220;4;4;19;19;40.29;40.29;44.45;44.45;251;251;233;233;9;9;1519;498612;498612;168.12;168.12;129.73;129.73;53.54;53.54;182.91;182.91;142.96;142.96;25.52;25.52;5.42;5.42;0.08;65;65;187.6;187.6;154;154;83.46;83.46;267.94;267.94;218.65;218.65;132.74;132.74;147.54;147.54;144.59;144.59;59.26;59.26;2324;2179;2462;3035;0;0;2;2
" Kaysinho  & luis5153232";" Kaysinho ";1;1;100.00;573;573;3;3;2;2;0;0;6;6;3;3;2;2;1;1;50;423;43.71;1152;1152;836;836;316;316;9;9;29;29;165;165;100;100;65;65;1;1;6;6;31.5;31.5;12.5;12.5;71;71;72;72;0;0;1641;239565;239565;77.72;77.72;67.65;67.65;31.17;31.17;81.23;81.23;84.82;84.82;10.49;10.49;2.94;2.94;0.08;35;35;58;58;91.1;91.1;50.52;50.52;126.01;126.01;117.14;117.14;59.4;59.4;77.41;77.41;68.47;68.47;30.66;30.66;2457;2463;2482;3012;1;1;0;0
Sberg & !;!;1;0;0.00;301;301;1;1;0;0;1;1;4;4;7;7;5;5;2;2;25;519;44.03;1388;1388;1205;1205;183;183;13;13;16;16;397;397;361;361;36;36;4;4;3;3;30.53;30.53;20.48;20.48;145;145;87;87;25;25;1629;227691;227691;67.56;67.56;61.1;61.1;33.01;33.01;72.19;72.19;67.62;67.62;21.87;21.87;2.52;2.52;0.16;16;16;64.1;64.1;87.7;87.7;42.26;42.26;119.41;119.41;103.87;103.87;57.8;57.8;83.24;83.24;38.96;38.96;39.47;39.47;2318;1764;2739;2880;1;1;0;0
Taha273 & Aleksiii & shockz;!;12;6;50.00;5599;466.58;16;1.33;6;0.5;21;1.75;46;3.83;92;7.67;32;2.67;17;1.42;34.78;409.08;47.26;24437;2036.42;17397;1449.75;7040;586.67;216;18;610;50.83;4690;390.83;2630;219.17;2060;171.67;32;2.67;171;14.25;450.77;37.56;348.97;29.08;3089;257.42;4073;339.42;588;49;1537.26;5236899;436408.25;1717.6;143.13;1380.51;115.04;559.64;46.64;2077.87;173.16;1386.67;115.56;193.2;16.1;51.96;4.33;0.13;390;32.5;1755.1;146.26;1733.7;144.47;947.74;78.98;2710.02;225.84;2316.53;193.04;1341.21;111.77;1626.77;135.56;1290.32;107.53;740.68;61.72;2283.54;2073.48;2442.36;2863.09;11;0.92;12;1
Taha273 & Aleksiii & shockz;! A M Z /;1;0;0.00;334;334;1;1;0;0;1;1;3;3;5;5;3;3;2;2;33.33;437;45.71;2477;2477;1846;1846;631;631;22;22;58;58;571;571;342;342;229;229;5;5;23;23;39.13;39.13;24.71;24.71;687;687;361;361;165;165;1575;517686;517686;145.61;145.61;146.57;146.57;59.08;59.08;227.81;227.81;112.39;112.39;11.07;11.07;4.58;4.58;0.11;42;42;147.1;147.1;190.7;190.7;113.53;113.53;237.73;237.73;198.69;198.69;152.57;152.57;142.39;142.39;121.17;121.17;87.7;87.7;2303;2193;2436;3176;2;2;2;2
Taha273 & Aleksiii & shockz;! F;2;1;50.00;1883;941.5;8;4;0;0;7;3.5;15;7.5;19;9.5;8;4;4;2;53.33;431.05;49.93;5983;2991.5;4604;2302;1379;689.5;53;26.5;114;57;1446;723;867;433.5;579;289.5;9;4.5;52;26;150.31;75.15;63.59;31.79;814;407;726;363;51;25.5;1598.24;1156719;578359.5;318.16;159.08;343.49;171.74;129.94;64.97;438.87;219.43;320.79;160.39;31.93;15.97;13.53;6.77;0.11;124;62;361.1;180.55;384.3;192.15;206.58;103.29;585.01;292.51;445.76;222.88;345.83;172.92;310.95;155.48;265.8;132.9;214.84;107.42;2149.83;2047.29;2249.51;2901.21;1;0.5;2;1
! Khan. & Caseymichu.;! Khan.;19;14;73.68;12534;659.68;38;2;20;1.05;42;2.21;119;6.26;163;8.58;37;1.95;13;0.68;31.93;409.57;43.42;43435;2286.05;30500;1605.26;12935;680.79;362;19.05;1139;59.95;9900;521.05;5190;273.16;4710;247.89;56;2.95;395;20.79;841.99;44.32;464.26;24.43;3876;204;4436;233.47;258;13.58;1545.94;9159376;482072.41;2833.78;149.15;2481.36;130.6;1050.65;55.3;3097.88;163.05;2865.66;150.82;402.26;21.17;137.01;7.21;0.09;1509;79.42;2966.9;156.15;3122.3;164.33;1697.15;89.32;4668.6;245.72;3901.23;205.33;2464.53;129.71;2766.98;145.63;2129.47;112.08;1469.31;77.33;2244.97;2018.39;2464.21;3110.55;21;1.11;20;1.05
