team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
velocity & Reevo & Syracks;" ";1;1;100.00;966;966;5;5;1;1;1;1;7;7;6;6;3;3;1;1;71.43;459;43.33;2430;2430;1847;1847;583;583;20;20;52;52;480;480;388;388;92;92;4;4;8;8;45.22;45.22;19.49;19.49;232;232;163;163;11;11;1536;417801;417801;150.74;150.74;103.07;103.07;55.08;55.08;139.17;139.17;142.2;142.2;27.52;27.52;5.16;5.16;0.12;42;42;158.3;158.3;134.3;134.3;60.5;60.5;248.4;248.4;186.51;186.51;122.38;122.38;146.02;146.02;85.19;85.19;77.69;77.69;2110;1923;2320;2922;2;2;3;3
velocity & Reevo & Syracks;"   A   ";2;2;100.00;596;298;2;1;2;1;2;1;5;2.5;4;2;0;0;0;0;40;469.69;52.2;2217;1108.5;1663;831.5;554;277;23;11.5;45;22.5;576;288;355;177.5;221;110.5;4;2;12;6;43.31;21.66;25.31;12.66;456;228;661;330.5;48;24;1647.86;442323;221161.5;114.94;57.47;102.74;51.37;72.22;36.11;156.62;78.31;115.72;57.86;17.57;8.78;4.71;2.36;0.11;44;22;132.8;66.4;138.4;69.2;57.74;28.87;232.16;116.08;169.76;84.88;120.13;60.07;125.08;62.54;92.97;46.49;71.84;35.92;2104.54;1845.2;2419.96;2882.95;1;0.5;1;0.5
"   JWeyts    & CheeseFace";"   JWeyts   ";1;0;0.00;404;404;1;1;0;0;2;2;5;5;6;6;3;3;1;1;20;407;49.94;2452;2452;1856;1856;596;596;24;24;56;56;893;893;585;585;308;308;6;6;29;29;44.57;44.57;44.72;44.72;430;430;489;489;27;27;1606;520962;520962;148.8;148.8;120.8;120.8;73.47;73.47;177.7;177.7;141.01;141.01;24.36;24.36;4.67;4.67;0.11;42;42;168.8;168.8;165.1;165.1;85.17;85.17;257.91;257.91;181.87;181.87;161.2;161.2;128.56;128.56;122.74;122.74;91.78;91.78;2082;1905;2271;3400;1;1;0;0
velocity & Reevo & Syracks;" NXZO !";2;1;50.00;492;246;1;0.5;0;0;3;1.5;3;1.5;10;5;3;1.5;2;1;33.33;435.38;49.44;2508;1254;1528;764;980;490;19;9.5;89;44.5;805;402.5;503;251.5;302;151;6;3;26;13;20.57;10.28;29.38;14.69;449;224.5;405;202.5;97;48.5;1630.05;531435;265717.5;141;70.5;136.55;68.28;71.24;35.62;210.19;105.1;127.6;63.8;11.01;5.51;14.07;7.03;0.11;133;66.5;182.2;91.1;148.2;74.1;97.17;48.58;251.63;125.82;231.65;115.82;117.14;58.57;181.43;90.71;90.19;45.1;77.17;38.58;2056.35;1870.02;2213.26;2547.56;1;0.5;1;0.5
velocity & Reevo & Syracks;! Ghassan;9;5;55.56;4770;530;15;1.67;4;0.44;16;1.78;36;4;61;6.78;20;2.22;14;1.56;41.67;485.29;49.64;20844;2316;15773;1752.56;5071;563.44;205;22.78;439;48.78;4977;553;3348;372;1629;181;37;4.11;128;14.22;347.06;38.56;367.36;40.82;3927;436.33;4694;521.56;378;42;1601.75;3834225;426025;1068.85;118.76;1062.67;118.07;443.47;49.27;1438.61;159.85;969.31;107.7;167.07;18.56;52.47;5.83;0.1;514;57.11;1321.3;146.81;1149.4;127.71;599.69;66.63;1975.33;219.48;1648.88;183.21;926.13;102.9;1199.18;133.24;825.49;91.72;550.33;61.15;2412.41;2263.74;2539.97;3256.71;8;0.89;7;0.78
velocity & Reevo & Syracks;!Lost__;1;0;0.00;194;194;0;0;1;1;0;0;0;0;9;9;4;4;2;2;0;498;39.25;2901;2901;2209;2209;692;692;25;25;59;59;471;471;245;245;226;226;3;3;19;19;87.28;87.28;30.05;30.05;461;461;292;292;54;54;1583;546064;546064;166.11;166.11;130.26;130.26;79.03;79.03;197.98;197.98;145.18;145.18;32.26;32.26;6.84;6.84;0.11;62;62;180.3;180.3;166.7;166.7;84.25;84.25;291.16;291.16;247.17;247.17;128.24;128.24;168.01;168.01;135.81;135.81;71.59;71.59;2286;2168;2407;2888;3;3;0;0
velocity & Reevo & Syracks;!evas a tahW;1;1;100.00;457;457;1;1;1;1;1;1;3;3;7;7;1;1;1;1;33.33;452;46.47;2432;2432;1621;1621;811;811;18;18;66;66;672;672;347;347;325;325;4;4;24;24;43.58;43.58;56.76;56.76;526;526;207;207;68;68;1650;527895;527895;123.85;123.85;124.67;124.67;87.35;87.35;163.87;163.87;143.82;143.82;28.18;28.18;4.97;4.97;0.08;59;59;177.4;177.4;144;144;81.87;81.87;253.99;253.99;226.39;226.39;109.47;109.47;172.65;172.65;92.53;92.53;70.68;70.68;2239;2024;2492;2981;2;2;0;0
velocity & Reevo & Syracks;';2;2;100.00;1664;832;8;4;6;3;2;1;10;5;10;5;6;3;3;1.5;80;406.5;49.53;4797;2398.5;3573;1786.5;1224;612;44;22;94;47;1060;530;780;390;280;140;8;4;24;12;74.32;37.16;71.02;35.51;457;228.5;822;411;18;9;1484.5;954453;477226.5;365.76;182.88;266.15;133.07;86.28;43.14;372.5;186.25;307.46;153.73;38.24;19.12;9.95;4.98;0.12;81;40.5;370.9;185.45;301.5;150.75;133.23;66.61;584.97;292.48;475.5;237.75;242.69;121.35;346.59;173.29;232.21;116.11;139.39;69.69;2332.5;2447;2270.5;2990.5;2;1;0;0
velocity & Reevo & Syracks;';9;3;33.33;4180;464.44;8;0.89;7;0.78;17;1.89;21;2.33;81;9;24;2.67;16;1.78;38.1;399.05;42.56;15944;1771.56;11251;1250.11;4693;521.44;133;14.78;417;46.33;2800;311.11;1529;169.89;1271;141.22;17;1.89;115;12.78;378.63;42.07;223.93;24.88;1877;208.56;1620;180;186;20.67;1517.23;3576113;397345.88;1219.69;135.52;911.37;101.26;404.67;44.96;1128.35;125.37;1225.52;136.17;181.86;20.21;38.19;4.24;0.12;297;33;1283.3;142.59;1152.5;128.06;611.21;67.91;1924.52;213.84;1759.74;195.53;775.97;86.22;1352.12;150.24;740.84;82.32;442.79;49.2;1991.36;1797.4;2099.09;2726.51;3;0.33;11;1.22
velocity & Reevo & Syracks;****;3;0;0.00;555;185;1;0.33;1;0.33;3;1;1;0.33;17;5.67;11;3.67;5;1.67;100;415.07;51.03;3949;1316.33;2758;919.33;1191;397;35;11.67;108;36;732;244;365;121.67;367;122.33;6;2;36;12;59.89;19.96;63.92;21.31;444;148;787;262.33;269;89.67;1480.48;783049;261016.33;281.28;93.76;233.35;77.78;63.76;21.25;338.85;112.95;214.97;71.66;24.57;8.19;18.96;6.32;0.09;199;66.33;304.2;101.4;234.1;78.03;163.47;54.49;414.94;138.31;351.62;117.21;226.79;75.6;240.69;80.23;217.97;72.66;119.75;39.92;2396.66;2328.71;2335.11;3020.05;1;0.33;2;0.67
velocity & Reevo & Syracks;************;1;0;0.00;353;353;1;1;2;2;0;0;2;2;10;10;6;6;3;3;50;398;44.54;1993;1993;1506;1506;487;487;18;18;44;44;303;303;195;195;108;108;2;2;9;9;55.86;55.86;23.85;23.85;231;231;293;293;4;4;1678;434399;434399;124.81;124.81;100.26;100.26;71.26;71.26;148.17;148.17;139.43;139.43;8.74;8.74;5.08;5.08;0.14;36;36;134.8;134.8;129;129;85.3;85.3;211.04;211.04;191.66;191.66;104.67;104.67;150.75;150.75;78.13;78.13;67.45;67.45;2486;2353;2505;2817;0;0;0;0
