team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
velocity & kexii & .;" Cayyh";5;4;80.00;2133;426.6;4;0.8;4;0.8;10;2;15;3;30;6;5;1;1;0.2;26.67;409.22;50.65;8534;1706.8;6290;1258;2244;448.8;75;15;201;40.2;1904;380.8;1190;238;714;142.8;14;2.8;65;13;118.44;23.69;118.02;23.6;945;189;1208;241.6;240;48;1574.75;1811352;362270.41;532.27;106.45;461.21;92.24;238.27;47.65;623.74;124.75;545.96;109.19;62.05;12.41;23.84;4.77;0.1;239;47.8;613.2;122.64;576;115.2;268.52;53.7;963.23;192.65;797.82;159.56;433.94;86.79;618.82;123.76;337.89;67.58;275.03;55.01;2146.41;1958.22;2228.17;2778.23;0;0;5;1
velocity & kexii & .;!;3;1;33.33;1647;549;3;1;1;0.33;10;3.33;9;3;26;8.67;10;3.33;6;2;33.33;498.63;44.46;7286;2428.67;5407;1802.33;1879;626.33;66;22;156;52;1878;626;1238;412.67;640;213.33;13;4.33;57;19;162.81;54.27;91.5;30.5;1478;492.67;1257;419;60;20;1667.02;1420629;473543;340.28;113.43;355.52;118.51;222.34;74.11;459.98;153.33;397.78;132.59;60.39;20.13;15.32;5.11;0.11;135;45;422.5;140.83;455.3;151.77;215.41;71.8;702.74;234.25;606.04;202.01;312.12;104.04;446.04;148.68;291.32;97.11;180.8;60.27;2281.35;2001.18;2579.33;3133.47;3;1;2;0.67
! & xHzr4;!;1;1;100.00;979;979;4;4;0;0;5;5;4;4;10;10;1;1;0;0;100;405;47.68;1747;1747;1315;1315;432;432;18;18;38;38;445;445;325;325;120;120;4;4;10;10;37.93;37.93;38.19;38.19;234;234;499;499;74;74;1640;408570;408570;110.51;110.51;92.04;92.04;69.51;69.51;110.51;110.51;143.9;143.9;17.65;17.65;8.08;8.08;0.11;75;75;135.9;135.9;127;127;62.55;62.55;209.5;209.5;180.74;180.74;91.32;91.32;144.99;144.99;71.37;71.37;55.7;55.7;2133;2268;1966;2749;0;0;1;1
velocity & kexii & .;! Elijae;2;0;0.00;1162;581;6;3;0;0;0;0;14;7;20;10;10;5;8;4;42.86;481;48.93;5968;2984;4722;2361;1246;623;58;29;100;50;2098;1049;1714;857;384;192;22;11;36;18;84.1;42.05;139.23;69.62;664;332;958;479;526;263;1632.5;1130481;565240.5;306.47;153.24;290.29;145.14;167.22;83.61;341.9;170.95;353.59;176.79;68.5;34.25;20.21;10.1;0.11;194;97;309.4;154.7;434.2;217.1;244.69;122.35;519.28;259.64;480.35;240.17;283.63;141.82;359.19;179.6;211.02;105.51;193.77;96.88;2224.01;1984.5;2477.52;3132.5;0;0;0;0
velocity & kexii & .;! LeV;3;3;100.00;1335;445;4;1.33;2;0.67;3;1;12;4;22;7.33;4;1.33;3;1;33.33;412.05;48.02;6887;2295.67;5501;1833.67;1386;462;66;22;123;41;1654;551.33;1161;387;493;164.33;12;4;44;14.67;129.83;43.28;138.51;46.17;833;277.67;1150;383.33;53;17.67;1513.81;1385080;461693.34;461.76;153.92;360.33;120.11;153.85;51.28;480.55;160.18;424.54;141.51;70.85;23.62;15.13;5.04;0.11;135;45;505;168.33;446.9;148.97;227.79;75.93;748.16;249.39;613.55;204.52;362.38;120.79;451.53;150.51;315.81;105.27;208.61;69.54;2301.12;2146.14;2496.77;2926.06;3;1;6;2
velocity & kexii & .;! wikixi;1;0;0.00;649;649;4;4;0;0;1;1;7;7;9;9;5;5;3;3;57.14;411;46.37;2748;2748;1748;1748;1000;1000;20;20;90;90;991;991;507;507;484;484;6;6;42;42;44.77;44.77;38.38;38.38;453;453;292;292;93;93;1562;550586;550586;174.21;174.21;146.99;146.99;69.46;69.46;229.9;229.9;150.7;150.7;10.05;10.05;6.47;6.47;0.15;43;43;180.8;180.8;195.3;195.3;100.95;100.95;289.71;289.71;227.45;227.45;163.21;163.21;158.66;158.66;129.33;129.33;102.66;102.66;2575;2354;2852;3167;2;2;1;1
velocity & kexii & .;!boA;17;8;47.06;7049;414.65;16;0.94;17;1;25;1.47;69;4.06;127;7.47;44;2.59;27;1.59;23.19;452.55;45.91;33841;1990.65;24160;1421.18;9681;569.47;279;16.41;862;50.71;6046;355.65;2937;172.76;3109;182.88;32;1.88;276;16.24;526.84;30.99;285.52;16.8;4093;240.76;2965;174.41;220;12.94;1528.24;6474996;380882.12;2075.27;122.07;1767.79;103.99;736.12;43.3;2612.18;153.66;1769.25;104.07;197.74;11.63;106.54;6.27;0.09;1251;73.59;2280.8;134.16;2027.7;119.28;1011.87;59.52;3567.3;209.84;3020.24;177.66;1558.91;91.7;2207.56;129.86;1465.55;86.21;906.1;53.3;2283.93;2107.69;2410.2;2889.1;9;0.53;15;0.88
velocity & kexii & .;!ollie;3;0;0.00;782;260.67;2;0.67;0;0;4;1.33;7;2.33;24;8;14;4.67;7;2.33;28.57;408.98;43.63;5526;1842;3501;1167;2025;675;43;14.33;183;61;954;318;396;132;558;186;6;2;48;16;69.92;23.31;58.61;19.54;614;204.67;490;163.33;76;25.33;1579.11;1221957;407319;379.14;126.38;319.92;106.64;155.73;51.91;436.6;145.53;352.04;117.35;66.15;22.05;20.15;6.72;0.09;214;71.33;427.1;142.37;383.7;127.9;247.28;82.43;607.52;202.51;612.25;204.08;242.55;80.85;464.24;154.75;244.95;81.65;145.61;48.54;2313.43;2031.02;2551.03;2945.5;3;1;1;0.33
velocity & kexii & .;#1 TPNE glazer;2;1;50.00;811;405.5;4;2;0;0;2;1;4;2;11;5.5;7;3.5;3;1.5;100;442.03;49.2;3750;1875;2980;1490;770;385;36;18;68;34;720;360;402;201;318;159;5;2.5;29;14.5;61.77;30.88;61.15;30.58;462;231;567;283.5;96;48;1560.96;724950;362475;223.59;111.79;200.11;100.06;85.7;42.85;293.42;146.71;190.87;95.43;25.11;12.56;5.22;2.61;0.14;38;19;246.5;123.25;239.1;119.55;123.3;61.65;386.1;193.05;328.59;164.29;180.82;90.41;224.58;112.29;172.06;86.03;112.77;56.38;2622.53;2686.48;2465.01;3314.02;2;1;2;1
"'darklight; & GAVALANCHE & Mech";"'darklight;";2;1;50.00;1525;762.5;2;1;2;1;8;4;8;4;23;11.5;5;2.5;3;1.5;25;543.4;52.54;8267;4133.5;6308;3154;1959;979.5;81;40.5;181;90.5;1404;702;764;382;640;320;11;5.5;58;29;105.88;52.94;120.07;60.03;1987;993.5;1376;688;139;69.5;1599.67;1347822;673911;380.33;190.17;273.72;136.86;231.76;115.88;457.96;228.98;342.92;171.46;84.93;42.47;15.18;7.59;0.1;150;75;438;219;416.3;208.15;231.8;115.9;654.01;327.01;576.02;288.01;309.78;154.89;455.39;227.7;238.55;119.28;191.86;95.93;2248.73;2023.03;2434.58;3169;2;1;3;1.5
