team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
velocity & Sergeant & regser;" ";3;2;66.67;1774;591.33;3;1;4;1.33;11;3.67;9;3;30;10;7;2.33;4;1.33;33.33;492.43;52.06;8925;2975;6600;2200;2325;775;78;26;204;68;2246;748.67;1310;436.67;936;312;15;5;79;26.33;140.08;46.69;150.65;50.22;1620;540;1178;392.67;224;74.67;1563.58;1615010;538336.69;485.78;161.93;405.72;135.24;213.23;71.08;611.36;203.79;434.5;144.83;58.89;19.63;20.89;6.96;0.13;163;54.33;547.3;182.43;494.8;164.93;275.92;91.97;828.83;276.28;690.3;230.1;414.44;138.15;507.14;169.05;347.24;115.75;250.36;83.45;2316.32;2187.95;2430.75;3106.2;6;2;3;1
velocity & Sergeant & regser;"   A   ";3;2;66.67;1715;571.67;6;2;0;0;8;2.67;20;6.67;23;7.67;7;2.33;6;2;30;529.2;47.31;7852;2617.33;5707;1902.33;2145;715;66;22;164;54.67;2103;701;1384;461.33;719;239.67;16;5.33;57;19;123.87;41.29;100.75;33.58;1883;627.67;933;311;226;75.33;1698.41;1476668;492222.66;330.51;110.17;356.05;118.68;253.64;84.55;508.75;169.58;362.11;120.7;69.31;23.1;13.36;4.45;0.12;112;37.33;407.4;135.8;491.8;163.93;237.77;79.26;702.42;234.14;562.62;187.54;377.57;125.86;413.22;137.74;282.94;94.31;244.02;81.34;2374.96;2104.33;2609.99;3045.58;1;0.33;2;0.67
velocity & Sergeant & regser;"   JWeyts   ";2;0;0.00;1650;825;4;2;1;0.5;10;5;8;4;24;12;8;4;3;1.5;50;429.96;50.26;5154;2577;4091;2045.5;1063;531.5;49;24.5;96;48;702;351;452;226;250;125;5;2.5;22;11;74.58;37.29;86.05;43.03;836;418;844;422;54;27;1568.6;1056171;528085.5;329.36;164.68;249.24;124.62;153.61;76.81;377.14;188.57;310.6;155.3;44.47;22.24;8.4;4.2;0.1;87;43.5;342.3;171.15;349.7;174.85;175.35;87.68;556.85;278.42;506.32;253.16;225.89;112.94;389.52;194.76;214.25;107.12;128.42;64.21;2370.09;2281.18;2455.71;3036.33;3;1.5;3;1.5
Arth & ! Ghassan & 1sult2n;! Ghassan;4;3;75.00;2305;576.25;8;2;2;0.5;9;2.25;20;5;29;7.25;10;2.5;5;1.25;40;447.14;49.46;9541;2385.25;6976;1744;2565;641.25;91;22.75;220;55;2403;600.75;1500;375;903;225.75;22;5.5;77;19.25;183.06;45.76;177.23;44.31;1952;488;2092;523;629;157.25;1573.43;1853496;463374;542.06;135.51;510.21;127.55;211.83;52.96;761.89;190.47;459.54;114.88;42.68;10.67;23.55;5.89;0.1;235;58.75;591.6;147.9;600.6;150.15;305.66;76.42;958.45;239.61;808.76;202.19;455.24;113.81;581.97;145.49;398.88;99.72;283.27;70.82;2503.72;2442.81;2544.93;3224.84;4;1;2;0.5
velocity & Sergeant & regser;!evas a tahW;2;1;50.00;1220;610;5;2.5;0;0;4;2;9;4.5;16;8;6;3;4;2;55.56;444.36;51;4928;2464;3916;1958;1012;506;45;22.5;85;42.5;689;344.5;477;238.5;212;106;5;2.5;20;10;84.13;42.06;117.14;58.57;890;445;643;321.5;38;19;1598.62;994630;497315;269.32;134.66;264.99;132.49;131.81;65.9;334.56;167.28;298.09;149.04;33.46;16.73;13.85;6.93;0.12;120;60;342;171;301.8;150.9;173.74;86.87;492.38;246.19;473.73;236.86;192.38;96.19;335.55;167.77;238.03;119.01;92.54;46.27;2333.32;2262.65;2351.32;2987.53;4;2;4;2
!ols & ChanclaRL;!ols;1;1;100.00;723;723;3;3;1;1;2;2;4;4;7;7;2;2;0;0;75;458;49.09;2688;2688;1958;1958;730;730;23;23;67;67;325;325;100;100;225;225;1;1;21;21;42.3;42.3;38.53;38.53;227;227;363;363;6;6;1548;493893;493893;153.64;153.64;143.91;143.91;44.09;44.09;180.38;180.38;145.45;145.45;15.81;15.81;11.28;11.28;0.11;104;104;172.4;172.4;148.6;148.6;71.12;71.12;270.52;270.52;213.83;213.83;127.81;127.81;142.26;142.26;124.94;124.94;74.44;74.44;2223;2051;2381;3049;0;0;0;0
velocity & Sergeant & regser;$Zerno;6;0;0.00;1180;196.67;3;0.5;1;0.17;3;0.5;8;1.33;43;7.17;21;3.5;12;2;37.5;441.07;50.87;12388;2064.67;9036;1506;3352;558.67;111;18.5;296;49.33;3514;585.67;2220;370;1294;215.67;25;4.17;119;19.83;165.01;27.5;271.1;45.18;1578;263;2205;367.5;339;56.5;1572.45;2490726;415121;716.81;119.47;637.01;106.17;323.19;53.87;807.67;134.61;738.86;123.14;130.5;21.75;35.65;5.94;0.12;289;48.17;773;128.83;842.4;140.4;525.17;87.53;1151.84;191.97;1045.21;174.2;631.8;105.3;733.8;122.3;558.16;93.03;385.04;64.17;2324.9;2048.08;2540.84;3072.25;2;0.33;2;0.33
velocity & Sergeant & regser;';39;19;48.72;20681;530.28;51;1.31;23;0.59;81;2.08;168;4.31;358;9.18;108;2.77;60;1.54;30.36;411;46.23;88537;2270.18;63673;1632.64;24864;637.54;766;19.64;2180;55.9;21901;561.56;12778;327.64;9123;233.92;148;3.79;790;20.26;1419.63;36.4;1506.81;38.64;8134;208.56;11469;294.08;1638;42;1564.43;18843300;483161.53;5802.9;148.79;4898.69;125.61;2259.41;57.93;5680.6;145.66;6334.51;162.42;945.87;24.25;185.97;4.77;0.12;1560;40;5599.5;143.58;6669.8;171.02;3574.85;91.66;9386.12;240.67;7961.23;204.13;4999.72;128.2;5864.67;150.38;4076.66;104.53;3019.64;77.43;2083.04;1896.81;2264.07;2777.2;28;0.72;26;0.67
velocity & Sergeant & regser;-;2;1;50.00;602;301;2;1;2;1;1;0.5;6;3;8;4;3;1.5;0;0;33.33;526.6;45.81;4556;2278;3593;1796.5;963;481.5;41;20.5;88;44;920;460;653;326.5;267;133.5;7;3.5;25;12.5;71.82;35.91;61.04;30.52;420;210;531;265.5;50;25;1677.82;787112;393556;185.77;92.88;209.8;104.9;113.52;56.76;228.38;114.19;239.42;119.71;41.3;20.65;15.26;7.63;0.09;161;80.5;217.5;108.75;274.4;137.2;136.29;68.14;372.81;186.4;301.38;150.69;207.72;103.86;211.24;105.62;181.43;90.71;116.42;58.21;2284.3;2296.65;2216.9;3329.11;4;2;4;2
velocity & Sergeant & regser;-200 time to take my mmr back;15;5;33.33;7373;491.53;18;1.2;9;0.6;37;2.47;60;4;136;9.07;61;4.07;29;1.93;30;433.6;46.48;36404;2426.93;28262;1884.13;8142;542.8;327;21.8;711;47.4;9064;604.27;6021;401.4;3043;202.87;71;4.73;255;17;602.78;40.19;500.64;33.38;6668;444.53;4663;310.87;1136;75.73;1595.37;7334775;488985;2269.56;151.3;1787.32;119.15;1132.39;75.49;2794.31;186.29;2067.51;137.83;327.47;21.83;80.56;5.37;0.11;741;49.4;2452.8;163.52;2509.3;167.29;1413.35;94.22;3775.9;251.73;3441.01;229.4;1748.23;116.55;2601.46;173.43;1560.22;104.01;1027.6;68.51;2439.12;2207.7;2599.41;3112.71;16;1.07;12;0.8
-Skillz & FPanda;-Skillz;1;0;0.00;459;459;0;0;1;1;1;1;4;4;9;9;3;3;1;1;0;418;44.76;2698;2698;1924;1924;774;774;24;24;69;69;604;604;305;305;299;299;4;4;26;26;47.95;47.95;38.59;38.59;429;429;490;490;103;103;1564;543551;543551;171.18;171.18;132.07;132.07;67.26;67.26;198.07;198.07;138.15;138.15;34.29;34.29;6.31;6.31;0.12;52;52;164.3;164.3;197.2;197.2;106.8;106.8;263.72;263.72;216.71;216.71;153.8;153.8;162.31;162.31;100.42;100.42;107.78;107.78;2254;1888;2672;3053;1;1;1;1
