team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Haven 0 & ant8pizza & CHILLI;"  ";1;1;100.00;346;346;1;1;2;2;0;0;2;2;2;2;0;0;0;0;50;400;47.76;1880;1880;1243;1243;637;637;14;14;57;57;553;553;381;381;172;172;4;4;16;16;28.46;28.46;13.24;13.24;135;135;179;179;30;30;1506;375255;375255;134.97;134.97;81.49;81.49;47.91;47.91;142.47;142.47;106.84;106.84;15.07;15.07;3.5;3.5;0.11;33;33;131.9;131.9;118.6;118.6;65.07;65.07;199.3;199.3;163.04;163.04;101.34;101.34;109.49;109.49;97.13;97.13;57.75;57.75;2435;2453;2316;3085;3;3;1;1
Haven 0 & ant8pizza & CHILLI;"  ";13;2;15.38;6207;477.46;17;1.31;5;0.38;25;1.92;58;4.46;111;8.54;43;3.31;22;1.69;29.31;429.58;47.15;27704;2131.08;20889;1606.85;6815;524.23;257;19.77;596;45.85;4956;381.23;3135;241.15;1821;140.08;38;2.92;160;12.31;466.31;35.87;495.33;38.1;3670;282.31;3529;271.46;347;26.69;1560.82;5612604;431738.78;1781.92;137.07;1386.39;106.65;742.92;57.15;2097.17;161.32;1615.4;124.26;198.66;15.28;74.39;5.72;0.12;615;47.31;1947;149.77;1794.5;138.04;1008.15;77.55;2903.09;223.31;2743.83;211.06;1167.4;89.8;2036.48;156.65;1184.41;91.11;690.35;53.1;2542.98;2373.79;2664.57;3150.84;9;0.69;15;1.15
Haven 0 & ant8pizza & CHILLI;"   JWeyts   ";6;3;50.00;3462;577;7;1.17;11;1.83;18;3;19;3.17;58;9.67;23;3.83;10;1.67;36.84;430.3;53.61;15425;2570.83;11127;1854.5;4298;716.33;140;23.33;366;61;2963;493.83;1751;291.83;1212;202;24;4;106;17.67;183.46;30.58;206.36;34.39;2084;347.33;2956;492.67;664;110.67;1588.58;2960000;493333.34;896.63;149.44;733.76;122.29;414.69;69.11;1097.7;182.95;853.95;142.32;93.43;15.57;29.65;4.94;0.11;263;43.83;1056.3;176.05;872.2;145.37;474.09;79.01;1570.99;261.83;1337.14;222.86;707.96;117.99;946.74;157.79;681.77;113.63;416.57;69.43;2382.51;2305.74;2423.37;3188.56;11;1.83;7;1.17
Haven 0 & ant8pizza & CHILLI;" Cayyh";1;1;100.00;725;725;2;2;3;3;2;2;4;4;9;9;5;5;4;4;50;422;42.17;2577;2577;1766;1766;811;811;20;20;58;58;242;242;100;100;142;142;1;1;12;12;64.77;64.77;28.32;28.32;159;159;243;243;0;0;1578;552468;552468;169.27;169.27;158.06;158.06;67.38;67.38;185.54;185.54;182.27;182.27;26.9;26.9;11.55;11.55;0.12;100;100;195.7;195.7;157.2;157.2;85.94;85.94;308.78;308.78;255.01;255.01;139.71;139.71;191.11;191.11;138.06;138.06;65.55;65.55;2522;2457;2579;3045;0;0;1;1
lacuu & !;!;2;1;50.00;798;399;1;0.5;1;0.5;6;3;7;3.5;22;11;5;2.5;2;1;14.29;408.5;46.85;4721;2360.5;3416;1708;1305;652.5;37;18.5;116;58;691;345.5;280;140;411;205.5;3;1.5;37;18.5;121.43;60.72;66.41;33.21;407;203.5;220;110;34;17;1554.97;1051447;525723.5;314.67;157.33;294.93;147.46;107.96;53.98;370.12;185.06;292.03;146.01;55.41;27.7;14.77;7.39;0.09;173;86.5;389;194.5;302.6;151.3;185.23;92.62;532.34;266.17;443.37;221.68;274.2;137.1;330.88;165.44;207.25;103.62;179.43;89.71;2301.69;2314.35;2285.51;2847.72;1;0.5;2;1
Haven 0 & ant8pizza & CHILLI;! Digitalkiwi.;4;4;100.00;2243;560.75;8;2;3;0.75;6;1.5;23;5.75;25;6.25;7;1.75;3;0.75;34.78;389.98;45.61;8411;2102.75;6178;1544.5;2233;558.25;73;18.25;199;49.75;1347;336.75;664;166;683;170.75;8;2;61;15.25;240.75;60.19;116.21;29.05;1034;258.5;1216;304;164;41;1510.89;1779849;444962.25;598.26;149.57;477.27;119.32;193.81;48.45;677.77;169.44;533.52;133.38;58.05;14.51;11.67;2.92;0.11;99;24.75;600.9;150.23;606.2;151.55;275.53;68.88;993.8;248.45;815.11;203.78;454.24;113.56;615.41;153.85;386.89;96.72;267.05;66.76;2261.56;2235;2297.3;2888.96;3;0.75;4;1
Haven 0 & ant8pizza & CHILLI;! Sultan.;1;0;0.00;487;487;2;2;0;0;2;2;4;4;7;7;5;5;1;1;50;467;43.23;1910;1910;1383;1383;527;527;16;16;46;46;357;357;194;194;163;163;2;2;14;14;25.3;25.3;13.1;13.1;482;482;149;149;5;5;1657;371857;371857;103.13;103.13;83.38;83.38;65.31;65.31;132.22;132.22;105.38;105.38;14.22;14.22;2.18;2.18;0.07;33;33;107.3;107.3;116.6;116.6;65.57;65.57;186.25;186.25;157.66;157.66;94.17;94.17;112.17;112.17;90.79;90.79;48.86;48.86;2692;2157;3014;3259;0;0;0;0
Haven 0 & ant8pizza & CHILLI;!r;1;0;0.00;522;522;2;2;1;1;1;1;9;9;8;8;4;4;2;2;22.22;453;38.05;2652;2652;1862;1862;790;790;20;20;68;68;276;276;0;0;276;276;0;0;24;24;63.16;63.16;64.35;64.35;347;347;166;166;14;14;1536;515925;515925;172.8;172.8;126.48;126.48;62.21;62.21;175.58;175.58;160.29;160.29;25.62;25.62;6;6;0.15;40;40;176.8;176.8;163.5;163.5;79.19;79.19;282.3;282.3;238.02;238.02;123.47;123.47;165.38;165.38;131.18;131.18;64.93;64.93;2355;2145;2582;2871;2;2;1;1
alpalojuanfran33 & ';';3;2;66.67;1277;425.67;3;1;2;0.67;8;2.67;6;2;23;7.67;5;1.67;2;0.67;50;347.56;47.03;5243;1747.67;3239;1079.67;2004;668;36;12;177;59;956;318.67;341;113.67;615;205;4;1.33;54;18;74.38;24.79;67.59;22.53;700;233.33;455;151.67;87;29;1339.97;1074501;358167;519.06;173.02;229.59;76.53;104.61;34.87;477.95;159.32;331.79;110.6;43.52;14.51;19.45;6.48;0.08;228;76;406;135.33;406.5;135.5;180.39;60.13;672.87;224.29;571.04;190.35;282.22;94.07;416.32;138.77;296.72;98.91;140.22;46.74;2433.59;2430.68;2398.18;2933.06;2;0.67;1;0.33
Haven 0 & ant8pizza & CHILLI;(?)imakynax;5;3;60.00;1883;376.6;4;0.8;5;1;8;1.6;11;2.2;24;4.8;11;2.2;6;1.2;36.36;444.96;42.68;8439;1687.8;5806;1161.2;2633;526.6;65;13;175;35;1680;336;1072;214.4;608;121.6;12;2.4;44;8.8;141.89;28.38;140.77;28.15;753;150.6;732;146.4;125;25;1557.72;1732392;346478.41;550.83;110.17;470.72;94.14;188.73;37.75;604.64;120.93;491.77;98.35;113.86;22.77;19.18;3.84;0.13;148;29.6;595.1;119.02;557.4;111.48;312.63;62.53;897.62;179.52;776.49;155.3;433.77;86.75;565.55;113.11;391.56;78.31;253.18;50.64;2408.96;2332.66;2405.89;3144.12;1;0.2;3;0.6
Haven 0 & ant8pizza & CHILLI;(H* (JC1;1;1;100.00;759;759;4;4;1;1;1;1;5;5;5;5;1;1;1;1;80;450;46.2;2827;2827;2242;2242;585;585;28;28;53;53;912;912;678;678;234;234;8;8;21;21;45.94;45.94;40.98;40.98;526;526;577;577;136;136;1709;574936;574936;127.38;127.38;142.8;142.8;94.72;94.72;182.03;182.03;143.69;143.69;39.18;39.18;2.57;2.57;0.07;37;37;167.8;167.8;217;217;103.02;103.02;261.87;261.87;188.71;188.71;176.19;176.19;129.32;129.32;128.21;128.21;107.38;107.38;2355;2189;2825;3488;0;0;2;2
Haven 0 & ant8pizza & CHILLI;**********;1;1;100.00;718;718;3;3;1;1;2;2;3;3;5;5;1;1;0;0;100;389;48.33;1942;1942;1409;1409;533;533;16;16;50;50;317;317;149;149;168;168;2;2;17;17;49.95;49.95;26.48;26.48;350;350;224;224;83;83;1523;437036;437036;147.72;147.72;113.21;113.21;49.51;49.51;174.22;174.22;120.64;120.64;15.58;15.58;4.09;4.09;0.13;31;31;170.6;170.6;130.2;130.2;52.12;52.12;258.32;258.32;199.59;199.59;110.84;110.84;148.28;148.28;99.22;99.22;62.94;62.94;2291;2300;2278;3078;0;0;1;1
Haven 0 & ant8pizza & CHILLI;,;5;4;80.00;2842;568.4;9;1.8;6;1.2;9;1.8;25;5;32;6.4;12;2.4;5;1;36;446.2;43.14;10876;2175.2;7679;1535.8;3197;639.4;86;17.2;255;51;2242;448.4;1325;265;917;183.4;14;2.8;74;14.8;215.52;43.1;151.88;30.38;1078;215.6;1002;200.4;85;17;1617.69;2192257;438451.41;609.24;121.85;589.9;117.98;279.3;55.86;666.88;133.38;673.74;134.75;137.81;27.56;17.79;3.56;0.11;161;32.2;651.5;130.3;734.8;146.96;346.56;69.31;1131.87;226.37;965.27;193.05;513.18;102.64;701.53;140.31;445.1;89.02;331.8;66.36;2352.06;2178.22;2531.41;3142.04;5;1;1;0.2
Haven 0 & ant8pizza & CHILLI;-;6;5;83.33;3282;547;10;1.67;4;0.67;10;1.67;31;5.17;37;6.17;10;1.67;6;1;32.26;502.34;51.22;16441;2740.17;12330;2055;4111;685.17;157;26.17;361;60.17;4424;737.33;2922;487;1502;250.33;36;6;129;21.5;189.85;31.64;242.45;40.41;2497;416.17;3318;553;735;122.5;1677.46;3196070;532678.31;734.38;122.4;777.6;129.6;504.64;84.11;1045.09;174.18;841.82;140.3;129.71;21.62;38.18;6.36;0.13;301;50.17;877;146.17;1071;178.5;548.89;91.48;1467.71;244.62;1209.65;201.61;806.87;134.48;861.14;143.52;649.86;108.31;505.63;84.27;2102.28;1932.18;2245.61;2959.6;10;1.67;3;0.5
Haven 0 & ant8pizza & CHILLI;---;12;6;50.00;6220;518.33;15;1.25;9;0.75;32;2.67;42;3.5;100;8.33;34;2.83;15;1.25;35.71;484.44;48.09;30708;2559;23456;1954.67;7252;604.33;281;23.42;655;54.58;6770;564.17;4466;372.17;2304;192;51;4.25;207;17.25;536.51;44.71;374.7;31.23;5804;483.67;4749;395.75;668;55.67;1641.28;5613095;467757.91;1486.78;123.9;1347.34;112.28;880.19;73.35;1915.62;159.63;1580.88;131.74;217.81;18.15;56.94;4.75;0.08;688;57.33;1890.4;157.53;1664;138.67;873.95;72.83;2840.38;236.7;2388.69;199.06;1325.66;110.47;1756.36;146.36;1209.31;100.78;748.64;62.39;2283.12;2121.94;2426.02;3076.36;13;1.08;11;0.92
