team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Aleksiii & .A & dortsi;;6;3;50.00;3499;583.17;9;1.5;3;0.5;17;2.83;22;3.67;61;10.17;20;3.33;9;1.5;40.91;504.48;50.28;18446;3074.33;14051;2341.83;4395;732.5;176;29.33;374;62.33;4295;715.83;2828;471.33;1467;244.5;32;5.33;121;20.17;346.5;57.75;205.84;34.31;3869;644.83;3752;625.33;428;71.33;1636.19;3387995;564665.81;890.51;148.42;769.99;128.33;562.43;93.74;1044.98;174.16;998.32;166.39;179.63;29.94;43.33;7.22;0.1;458;76.33;927.3;154.55;1188.9;198.15;633.22;105.54;1589.7;264.95;1449.72;241.62;773.19;128.87;1103.25;183.88;645.87;107.64;473.81;78.97;2204.14;1921.43;2400.39;2930.67;9;1.5;6;1
" & gil & Xernite";;4;2;50.00;1663;415.75;1;0.25;4;1;8;2;15;3.75;24;6;10;2.5;3;0.75;6.67;416.09;50.35;9820;2455;7255;1813.75;2565;641.25;90;22.5;237;59.25;2995;748.75;1854;463.5;1141;285.25;24;6;102;25.5;166.68;41.67;168.36;42.09;1761;440.25;1810;452.5;533;133.25;1547.2;1922629;480657.25;597.69;149.42;486.98;121.75;243.24;60.81;765.42;191.35;494.18;123.55;68.32;17.08;18.22;4.56;0.13;142;35.5;636.6;159.15;625.1;156.28;271.75;67.94;1056.16;264.04;753.26;188.31;574.65;143.66;522.94;130.74;443.1;110.77;361.88;90.47;2218.37;2021.9;2408.26;2924.92;0;0;2;0.5
" & NakesRL";;1;0;0.00;524;524;2;2;0;0;2;2;7;7;10;10;3;3;1;1;28.57;423;50.43;2756;2756;1612;1612;1144;1144;19;19;106;106;650;650;291;291;359;359;4;4;33;33;32.28;32.28;42.78;42.78;694;694;324;324;128;128;1589;588031;588031;168.96;168.96;152.41;152.41;71.18;71.18;248.03;248.03;125.04;125.04;19.48;19.48;6.08;6.08;0.14;45;45;211.3;211.3;161;161;81.61;81.61;310.94;310.94;243.74;243.74;148.81;148.81;176.07;176.07;133.42;133.42;83.05;83.05;2405;2290;2456;2992;6;6;1;1
Aleksiii & .A & dortsi;;1;1;100.00;360;360;2;2;1;1;0;0;2;2;1;1;0;0;0;0;100;539;51.32;1083;1083;852;852;231;231;12;12;22;22;257;257;190;190;67;67;3;3;6;6;11.75;11.75;19.25;19.25;281;281;266;266;109;109;1687;202171;202171;53.19;53.19;46.86;46.86;36.17;36.17;78.79;78.79;45.59;45.59;11.84;11.84;3.04;3.04;0.15;20;20;59.4;59.4;60;60;27.63;27.63;108.58;108.58;78.22;78.22;57.99;57.99;55.66;55.66;52.57;52.57;27.99;27.99;2394;2095;2462;3066;1;1;0;0
Aleksiii & .A & dortsi;!;2;1;50.00;885;442.5;3;1.5;1;0.5;2;1;10;5;10;5;4;2;1;0.5;30;462.72;53.52;4020;2010;2849;1424.5;1171;585.5;37;18.5;109;54.5;1473;736.5;875;437.5;598;299;10;5;54;27;52.19;26.09;43.21;21.6;553;276.5;887;443.5;137;68.5;1675.59;791354;395677;189.44;94.72;196.12;98.06;121.72;60.86;274.11;137.05;206.07;103.04;27.1;13.55;10.87;5.43;0.11;94;47;229.2;114.6;254.1;127.05;130.13;65.07;377.14;188.57;280.66;140.33;226.61;113.31;186.59;93.29;177.15;88.57;143.53;71.76;2312.89;2214.78;2380.01;3004.81;2;1;2;1
Aleksiii & .A & dortsi;! 2 EM;1;1;100.00;64;64;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;402;67.94;956;956;710;710;246;246;15;15;26;26;34;34;0;0;34;34;0;0;4;4;7.39;7.39;16.57;16.57;188;188;832;832;11;11;1873;235457;235457;42.46;42.46;51.26;51.26;50.53;50.53;80.45;80.45;59.87;59.87;3.94;3.94;1.53;1.53;0.08;20;20;88.1;88.1;38.2;38.2;11.39;11.39;132.86;132.86;95.35;95.35;48.9;48.9;69.58;69.58;51.07;51.07;23.6;23.6;3948;3865;3760;3763;0;0;0;0
Aleksiii & .A & dortsi;! E;1;0;0.00;254;254;0;0;1;1;2;2;2;2;8;8;4;4;2;2;0;386;41.71;1762;1762;1224;1224;538;538;14;14;49;49;410;410;297;297;113;113;4;4;10;10;43.94;43.94;32.74;32.74;296;296;183;183;109;109;1596;406663;406663;116.69;116.69;108.11;108.11;48.83;48.83;155.61;155.61;109.09;109.09;8.93;8.93;4.71;4.71;0.09;52;52;109.9;109.9;149.2;149.2;106.8;106.8;166.83;166.83;181.88;181.88;91.75;91.75;126.62;126.62;92.4;92.4;54.61;54.61;2417;2021;2557;3005;2;2;0;0
! Elijae & revoke;! Elijae;3;2;66.67;1828;609.33;8;2.67;2;0.67;7;2.33;13;4.33;21;7;6;2;0;0;61.54;467.96;48.38;5083;1694.33;4065;1355;1018;339.33;48;16;88;29.33;891;297;540;180;351;117;6;2;23;7.67;123.76;41.25;82.78;27.59;613;204.33;807;269;59;19.67;1617.89;1002878;334292.66;279.96;93.32;259.85;86.62;139.79;46.6;297.41;99.14;318.2;106.07;63.98;21.33;10.83;3.61;0.08;133;44.33;274.7;91.57;363.1;121.03;167.14;55.71;512.44;170.81;433.71;144.57;245.89;81.96;322.32;107.44;213.61;71.2;143.67;47.89;1840.26;1755.21;1939.59;2811.8;2;0.67;3;1
Aleksiii & .A & dortsi;! Sultan.;1;0;0.00;408;408;1;1;0;0;2;2;6;6;8;8;5;5;2;2;16.67;491;47.08;3008;3008;2269;2269;739;739;27;27;67;67;322;322;89;89;233;233;2;2;20;20;49.57;49.57;31.01;31.01;514;514;469;469;110;110;1668;528115;528115;132.77;132.77;133.46;133.46;79.56;79.56;197.55;197.55;138.48;138.48;9.75;9.75;6.46;6.46;0.1;68;68;172.1;172.1;158.2;158.2;100.41;100.41;245.37;245.37;192.19;192.19;153.59;153.59;136.03;136.03;119.59;119.59;90.16;90.16;2492;2470;2489;3348;0;0;1;1
Aleksiii & .A & dortsi;!!;2;0;0.00;102;51;0;0;0;0;0;0;2;1;14;7;7;3.5;2;1;0;484.36;45.19;1898;949;1383;691.5;515;257.5;17;8.5;47;23.5;572;286;393;196.5;179;89.5;4;2;17;8.5;26.43;13.22;22.81;11.4;390;195;318;159;9;4.5;1591.39;332242;166121;153.44;76.72;88.32;44.16;64.96;32.48;176.46;88.23;115.05;57.53;15.21;7.6;4.07;2.04;0.14;28;14;154.5;77.25;171;85.5;117.87;58.93;188.86;94.43;230.83;115.42;75.91;37.96;188.88;94.44;67.96;33.98;49.89;24.94;2508.71;2286.14;2674.5;3225.75;0;0;1;0.5
