team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
mrtn & swazz & .;;3;1;33.33;2066;688.67;8;2.67;2;0.67;4;1.33;21;7;32;10.67;12;4;7;2.33;38.1;460.81;44.39;8600;2866.67;6288;2096;2312;770.67;73;24.33;198;66;1989;663;1219;406.33;770;256.67;14;4.67;68;22.67;162.11;54.04;115.19;38.4;1560;520;959;319.67;106;35.33;1588.76;1646577;548859;470.37;156.79;432.29;144.1;226.18;75.39;576.33;192.11;476.96;158.99;75.55;25.18;14.35;4.78;0.14;102;34;511.8;170.6;546.2;182.07;284.78;94.93;844.05;281.35;707.85;235.95;420.99;140.33;512.41;170.8;351.85;117.28;264.57;88.19;2180.4;2176.08;2154.76;2900.54;5;1.67;2;0.67
mrtn & swazz & .;"   Dani___RL   ";1;0;0.00;516;516;1;1;0;0;4;4;3;3;8;8;3;3;2;2;33.33;399;50.47;2464;2464;1710;1710;754;754;21;21;66;66;384;384;265;265;119;119;4;4;11;11;52.97;52.97;33.37;33.37;527;527;407;407;144;144;1456;496048;496048;186.09;186.09;122.18;122.18;56.31;56.31;219.88;219.88;124.58;124.58;20.14;20.14;3.23;3.23;0.12;26;26;209.2;209.2;141.9;141.9;73.41;73.41;291.18;291.18;277.09;277.09;87.5;87.5;204.85;204.85;118.59;118.59;41.15;41.15;2476;2514;2434;2999;1;1;0;0
oJelly. &    JWeyts   ;"   JWeyts   ";1;1;100.00;605;605;2;2;4;4;0;0;8;8;6;6;3;3;3;3;25;395;51.55;1860;1860;1421;1421;439;439;17;17;40;40;456;456;380;380;76;76;4;4;8;8;27.42;27.42;54.24;54.24;328;328;301;301;20;20;1622;425841;425841;135.59;135.59;90.96;90.96;69.75;69.75;146.79;146.79;127.9;127.9;21.61;21.61;3.35;3.35;0.14;24;24;138.6;138.6;127.9;127.9;70.89;70.89;225.41;225.41;203.69;203.69;92.61;92.61;144.03;144.03;100.65;100.65;51.61;51.61;2210;2194;2206;3000;1;1;0;0
! Khan. & . & S.   ;! Khan.;9;5;55.56;5227;580.78;18;2;11;1.22;14;1.56;39;4.33;55;6.11;35;3.89;20;2.22;46.15;419.42;43.78;18298;2033.11;13565;1507.22;4733;525.89;163;18.11;398;44.22;4359;484.33;2678;297.56;1681;186.78;33;3.67;135;15;395.87;43.99;241.59;26.84;1912;212.44;2004;222.67;352;39.11;1556.48;3803571;422619;1211.52;134.61;1072.15;119.13;427.5;47.5;1329.99;147.78;1223.44;135.94;157.76;17.53;44.31;4.92;0.09;498;55.33;1326.6;147.4;1210.7;134.52;708.65;78.74;2002.54;222.5;1683.35;187.04;1027.81;114.2;1197.29;133.03;868.29;96.48;645.6;71.73;2282.1;2103.57;2410.13;2968.39;1;0.11;5;0.56
rom1 & ! Nwz;! Nwz;1;1;100.00;469;469;1;1;0;0;3;3;3;3;7;7;1;1;1;1;33.33;415;52.11;2368;2368;1772;1772;596;596;25;25;56;56;487;487;327;327;160;160;4;4;14;14;62.57;62.57;45.19;45.19;322;322;769;769;72;72;1600;519652;519652;137.55;137.55;139.09;139.09;64.88;64.88;176.06;176.06;151.05;151.05;14.41;14.41;8.1;8.1;0.09;95;95;180.3;180.3;148;148;89.32;89.32;252.2;252.2;220.87;220.87;120.65;120.65;154.89;154.89;123.89;123.89;62.75;62.75;2298;2085;2533;2916;0;0;0;0
m & ! aRa & Abdullah;! aRa;3;1;33.33;903;301;1;0.33;3;1;4;1.33;3;1;19;6.33;9;3;4;1.33;33.33;400.66;50.99;5241;1747;3468;1156;1773;591;43;14.33;164;54.67;1632;544;996;332;636;212;14;4.67;55;18.33;46.12;15.37;111;37;503;167.67;900;300;407;135.67;1499.68;1054153;351384.34;371.18;123.73;271.9;90.63;118.6;39.53;420.55;140.18;292.34;97.45;48.79;16.26;14.91;4.97;0.11;127;42.33;319.7;106.57;397.8;132.6;167.24;55.75;594.44;198.15;446.94;148.98;314.74;104.91;304.2;101.4;257.99;86;199.48;66.49;2166.93;1850.88;2298.78;2988.17;2;0.67;2;0.67
mrtn & swazz & .;!sk.;3;1;33.33;1055;351.67;1;0.33;0;0;4;1.33;19;6.33;20;6.67;8;2.67;5;1.67;5.26;417.67;52.22;6814;2271.33;4575;1525;2239;746.33;62;20.67;202;67.33;1258;419.33;419;139.67;839;279.67;6;2;76;25.33;89.16;29.72;154.28;51.43;745;248.33;1720;573.33;203;67.67;1600.63;1444020;481340;385;128.33;384.32;128.11;173.98;57.99;514.17;171.39;359.25;119.75;69.86;23.29;18.16;6.05;0.11;168;56;509.2;169.73;416.7;138.9;225.57;75.19;717.71;239.24;530.23;176.74;413.05;137.68;348.49;116.16;360.09;120.03;234.7;78.23;2462.6;2144.14;2777.72;3175.2;4;1.33;4;1.33
mrtn & swazz & .;***********;2;1;50.00;953;476.5;5;2.5;0;0;3;1.5;9;4.5;12;6;6;3;3;1.5;55.56;476.22;48.18;4261;2130.5;3265;1632.5;996;498;38;19;87;43.5;1219;609.5;791;395.5;428;214;9;4.5;38;19;84.35;42.18;56.89;28.44;898;449;550;275;113;56.5;1630.57;804812;402406;217.04;108.52;203.81;101.9;114.4;57.2;290.3;145.15;205.62;102.81;39.32;19.66;12.21;6.11;0.11;108;54;221.3;110.65;298;149;167.86;83.93;367.39;183.7;310.63;155.32;224.62;112.31;225.85;112.93;165.62;82.81;143.77;71.88;2291.88;2231.97;2341.79;2984.74;2;1;2;1
jeanne & djmillsy & +5,4!:;+5,4!:;1;1;100.00;801;801;3;3;0;0;3;3;7;7;8;8;2;2;2;2;42.86;456;53.97;2597;2597;1730;1730;867;867;25;25;80;80;528;528;147;147;381;381;2;2;34;34;36.02;36.02;47.75;47.75;363;363;830;830;72;72;1687;547237;547237;115.2;115.2;158.71;158.71;73.06;73.06;177.18;177.18;137.4;137.4;32.39;32.39;3.91;3.91;0.12;34;34;186.9;186.9;137.4;137.4;74.41;74.41;272.56;272.56;206.92;206.92;140.05;140.05;139.9;139.9;136.95;136.95;70.12;70.12;2319;2075;2473;2892;2;2;0;0
mrtn & swazz & .;-----------------./;1;0;0.00;607;607;3;3;0;0;1;1;8;8;8;8;5;5;1;1;37.5;465;48.05;2781;2781;2092;2092;689;689;26;26;56;56;455;455;297;297;158;158;4;4;16;16;35.22;35.22;51.49;51.49;501;501;533;533;108;108;1569;535117;535117;173.65;173.65;124.81;124.81;76.23;76.23;214.9;214.9;137.82;137.82;21.97;21.97;5.15;5.15;0.11;48;48;165.1;165.1;186.1;186.1;98.76;98.76;275.93;275.93;223.47;223.47;151.22;151.22;156.84;156.84;130.61;130.61;87.25;87.25;2575;2368;2857;3204;0;0;1;1
