team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prstn & regser & KnightYuh :);;2;1;50.00;1274;637;4;2;2;1;5;2.5;8;4;19;9.5;7;3.5;4;2;50;421.15;47;5154;2577;3710;1855;1444;722;45;22.5;132;66;1538;769;1087;543.5;451;225.5;11;5.5;41;20.5;73.39;36.69;57.97;28.99;798;399;847;423.5;16;8;1598.8;1067481;533740.5;321.65;160.82;255.27;127.64;151.38;75.69;391.77;195.89;289.46;144.73;47.08;23.54;10.2;5.1;0.14;72;36;314.3;157.15;373.3;186.65;192.43;96.21;535.89;267.95;459.27;229.64;269.04;134.52;326.59;163.29;240.98;120.49;160.74;80.37;2359.56;2256.66;2431.96;3230.77;4;2;2;1
prstn & regser & KnightYuh :);;1;1;100.00;677;677;2;2;1;1;4;4;5;5;6;6;0;0;0;0;40;451;53.5;2040;2040;1554;1554;486;486;19;19;44;44;252;252;145;145;107;107;2;2;10;10;33.91;33.91;49.52;49.52;375;375;384;384;62;62;1553;413943;413943;131.87;131.87;94.02;94.02;53.1;53.1;154.89;154.89;108.92;108.92;15.19;15.19;4.03;4.03;0.09;43;43;146;146;128.3;128.3;54.98;54.98;224.02;224.02;190.89;190.89;88.1;88.1;146.8;146.8;72.05;72.05;60.14;60.14;2415;2404;2447;3012;0;0;1;1
prstn & regser & KnightYuh :);;1;0;0.00;558;558;2;2;0;0;2;2;6;6;9;9;4;4;2;2;33.33;377;42.7;2217;2217;1767;1767;450;450;20;20;39;39;368;368;188;188;180;180;2;2;15;15;63.99;63.99;36.87;36.87;219;219;240;240;11;11;1497;482079;482079;165.46;165.46;136.71;136.71;42.33;42.33;153.61;153.61;170.78;170.78;20.1;20.1;5.31;5.31;0.09;60;60;158.5;158.5;165.7;165.7;87.34;87.34;257.16;257.16;210.14;210.14;134.36;134.36;153.76;153.76;111.4;111.4;79.34;79.34;2018;1778;2236;2725;1;1;0;0
prstn & regser & KnightYuh :);"  ";2;1;50.00;1346;673;4;2;1;0.5;7;3.5;7;3.5;23;11.5;6;3;4;2;57.14;410.55;46.94;4982;2491;3747;1873.5;1235;617.5;45;22.5;109;54.5;614;307;280;140;334;167;4;2;29;14.5;88.91;44.46;89.07;44.53;536;268;443;221.5;72;36;1526.16;1061101;530550.5;362.38;181.19;270.78;135.39;117.42;58.71;397.33;198.67;309.84;154.92;43.41;21.7;10.88;5.44;0.11;99;49.5;382.7;191.35;341.7;170.85;176.8;88.4;573.79;286.9;465.58;232.79;284.99;142.49;345.47;172.74;249.88;124.94;155.22;77.61;2432.06;2587.43;2309.13;3056.16;3;1.5;2;1
prstn & regser & KnightYuh :);" Cayyh";3;2;66.67;1855;618.33;5;1.67;4;1.33;9;3;12;4;28;9.33;6;2;2;0.67;41.67;464.87;45.83;7138;2379.33;5697;1899;1441;480.33;63;21;127;42.33;855;285;558;186;297;99;6;2;28;9.33;186.1;62.03;98.68;32.89;606;202;605;201.67;53;17.67;1523.9;1360681;453560.34;432.81;144.27;380.68;126.89;142.26;47.42;443.19;147.73;427.97;142.66;84.58;28.19;22.48;7.49;0.11;218;72.67;451.3;150.43;460.8;153.6;202.88;67.63;752.86;250.95;667.59;222.53;288.17;96.06;473.55;157.85;317.07;105.69;165.13;55.04;2125.23;1923.06;2335.31;2809.29;0;0;2;0.67
prstn & regser & KnightYuh :);" Kaysinho ";1;0;0.00;120;120;0;0;0;0;2;2;0;0;7;7;3;3;2;2;0;381;49.02;654;654;478;478;176;176;6;6;15;15;12;12;0;0;12;12;0;0;1;1;11.78;11.78;6.25;6.25;77;77;121;121;0;0;1418;152112;152112;65.55;65.55;36.55;36.55;20.96;20.96;67.7;67.7;46.64;46.64;8.73;8.73;2.14;2.14;0.14;15;15;62.9;62.9;63.7;63.7;42.42;42.42;80.64;80.64;92.51;92.51;30.55;30.55;75.39;75.39;29.51;29.51;18.17;18.17;1982;1613;2017;2947;0;0;0;0
prstn & regser & KnightYuh :);!;2;0;0.00;497;248.5;1;0.5;0;0;3;1.5;4;2;14;7;9;4.5;6;3;25;438.26;46.88;3436;1718;2803;1401.5;633;316.5;35;17.5;56;28;914;457;700;350;214;107;8;4;18;9;44.47;22.24;55.37;27.69;431;215.5;628;314;98;49;1517.99;538148;269074;204.09;102.04;144.74;72.37;63.2;31.6;202.68;101.34;178.26;89.13;31.09;15.55;3.84;1.92;0.09;39;19.5;214.1;107.05;202.4;101.2;121.96;60.98;290.07;145.04;285.59;142.79;126.37;63.19;210.39;105.19;122.44;61.22;79.21;39.6;2090.65;1507.64;2601.01;2998.39;1;0.5;2;1
prstn & regser & KnightYuh :);!;8;4;50.00;3602;450.25;9;1.12;3;0.38;13;1.62;34;4.25;61;7.62;14;1.75;5;0.62;26.47;470.23;51.96;20113;2514.12;14387;1798.38;5726;715.75;177;22.12;531;66.38;4669;583.62;2755;344.38;1914;239.25;34;4.25;179;22.38;295.29;36.91;273.24;34.16;3514;439.25;3612;451.5;719;89.88;1636.94;3952311;494038.88;970.54;121.32;1068.4;133.55;515.03;64.38;1438.41;179.8;979.87;122.48;135.67;16.96;53.77;6.72;0.12;441;55.12;1088.9;136.11;1396.4;174.55;718.61;89.83;1835.35;229.42;1540.95;192.62;1012.98;126.62;1089.78;136.22;841.79;105.22;622.39;77.8;2227.02;2074.99;2371.86;2981.68;18;2.25;9;1.12
prstn & regser & KnightYuh :);! Elijae;2;2;100.00;1387;693.5;3;1.5;3;1.5;5;2.5;13;6.5;15;7.5;6;3;4;2;23.08;519.87;47.75;6794;3397;5376;2688;1418;709;62;31;118;59;2079;1039.5;1376;688;703;351.5;15;7.5;56;28;111.51;55.76;85.9;42.95;1336;668;745;372.5;131;65.5;1635.99;1124264;562132;292.76;146.38;284.68;142.34;170.57;85.29;352.19;176.1;325.08;162.54;70.74;35.37;14.9;7.45;0.09;178;89;316.1;158.05;397.1;198.55;200.72;100.36;547.29;273.64;446.54;223.27;301.46;150.73;314.23;157.11;239.79;119.9;193.99;96.99;2007.06;1790.39;2283.85;2848.06;1;0.5;4;2
prstn & regser & KnightYuh :);! Mohammed.;1;0;0.00;144;144;0;0;0;0;1;1;3;3;8;8;4;4;3;3;0;444;52.24;1260;1260;838;838;422;422;10;10;31;31;181;181;96;96;85;85;1;1;8;8;18.6;18.6;10.97;10.97;207;207;168;168;10;10;1718;270171;270171;56.97;56.97;69.37;69.37;45.69;45.69;82.14;82.14;76.84;76.84;13.05;13.05;4.51;4.51;0.08;56;56;79.5;79.5;78;78;46.94;46.94;125.09;125.09;110.63;110.63;61.4;61.4;88.32;88.32;45.05;45.05;38.65;38.65;2696;2239;2871;2965;2;2;0;0
