team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Aleksiii & Taha273 & velocity;"   JWeyts   ";3;3;100.00;1987;662.33;4;1.33;8;2.67;8;2.67;16;5.33;16;5.33;3;1;2;0.67;25;452.2;53.09;7105;2368.33;5301;1767;1804;601.33;66;22;168;56;2028;676;1317;439;711;237;16;5.33;66;22;78.85;26.28;132.91;44.3;1092;364;1400;466.67;317;105.67;1641.85;1423216;474405.34;370.52;123.51;361.47;120.49;201.1;67.03;476.16;158.72;395.58;131.86;61.35;20.45;15.08;5.03;0.11;139;46.33;483.6;161.2;401.2;133.73;188.65;62.88;744.43;248.14;540.58;180.19;392.51;130.84;388.85;129.62;302.39;100.8;241.84;80.61;2319.43;2163.76;2482.33;3205.55;1;0.33;4;1.33
Aleksiii & Taha273 & velocity;" Cayyh";1;1;100.00;719;719;5;5;0;0;1;1;6;6;1;1;0;0;0;0;83.33;480;45.28;1234;1234;996;996;238;238;11;11;22;22;384;384;300;300;84;84;3;3;7;7;27.71;27.71;15.94;15.94;47;47;107;107;0;0;1718;231575;231575;59.74;59.74;65.69;65.69;35.55;35.55;78.37;78.37;73.1;73.1;9.51;9.51;3.9;3.9;0.13;30;30;59;59;77;77;19.18;19.18;141.8;141.8;89.91;89.91;71.07;71.07;67.41;67.41;45.39;45.39;48.18;48.18;2332;2280;2410;2564;0;0;0;0
! & Strict man;!;1;0;0.00;192;192;0;0;0;0;1;1;3;3;6;6;3;3;2;2;0;420;34.62;1197;1197;844;844;353;353;10;10;30;30;239;239;98;98;141;141;1;1;12;12;35.38;35.38;21.44;21.44;120;120;67;67;1;1;1521;262101;262101;90.04;90.04;64.85;64.85;29.67;29.67;94.77;94.77;87.77;87.77;2.03;2.03;0.97;0.97;0.14;7;7;100.3;100.3;76.7;76.7;43.08;43.08;141.49;141.49;107.73;107.73;76.84;76.84;79.79;79.79;54.57;54.57;50.21;50.21;2253;1980;2465;2859;0;0;0;0
Aleksiii & Taha273 & velocity;!;5;1;20.00;2348;469.6;6;1.2;1;0.2;13;2.6;18;3.6;51;10.2;18;3.6;12;2.4;33.33;489.44;53.05;13511;2702.2;10163;2032.6;3348;669.6;127;25.4;301;60.2;3209;641.8;2219;443.8;990;198;26;5.2;87;17.4;167.51;33.5;217;43.4;2867;573.4;2609;521.8;410;82;1638.31;2512330;502466;679.44;135.89;651.51;130.3;345.55;69.11;995.48;199.1;575.3;115.06;105.73;21.15;31.14;6.23;0.11;273;54.6;800.6;160.12;810.2;162.04;497.05;99.41;1179.45;235.89;1085.12;217.02;591.39;118.28;805.1;161.02;529.38;105.88;342.01;68.4;2222.17;2024.3;2393.93;2870.52;9;1.8;5;1
Aleksiii & Taha273 & velocity;!;4;2;50.00;2874;718.5;7;1.75;4;1;15;3.75;20;5;54;13.5;16;4;7;1.75;35;382.69;47.14;10432;2608;7481;1870.25;2951;737.75;89;22.25;263;65.75;2314;578.5;1234;308.5;1080;270;14;3.5;95;23.75;246.8;61.7;132.84;33.21;1148;287;1353;338.25;173;43.25;1539.34;2374166;593541.5;805.51;201.38;552.93;138.23;317.1;79.27;929.57;232.39;662.52;165.63;83.46;20.86;26.03;6.51;0.16;166;41.5;812.3;203.07;775.2;193.8;371.17;92.79;1304.37;326.09;1121.08;280.27;554.46;138.61;842.65;210.66;513.44;128.36;319.44;79.86;2303.85;2248.93;2316.81;2798.54;3;0.75;4;1
Aleksiii & Taha273 & velocity;!;2;2;100.00;1320;660;6;3;3;1.5;0;0;11;5.5;9;4.5;4;2;2;1;54.55;470.5;45.94;4446;2223;3389;1694.5;1057;528.5;41;20.5;89;44.5;858;429;587;293.5;271;135.5;6;3;24;12;112.16;56.08;70.1;35.05;477;238.5;723;361.5;16;8;1573.55;843529;421764.5;264.01;132.01;219.04;109.52;106.57;53.29;283.24;141.62;263.34;131.67;43.04;21.52;7.75;3.88;0.12;65;32.5;296.9;148.45;253.2;126.6;119.45;59.72;470.16;235.08;373.62;186.81;215.99;108;269.79;134.9;208.33;104.17;111.48;55.74;2266.8;2306.4;2220.73;3050.12;0;0;2;1
Aleksiii & Taha273 & velocity;!;1;0;0.00;200;200;1;1;0;0;0;0;2;2;3;3;3;3;2;2;50;472;46.52;1579;1579;1144;1144;435;435;14;14;38;38;224;224;109;109;115;115;2;2;10;10;22.59;22.59;13.24;13.24;281;281;264;264;90;90;1787;316998;316998;63.12;63.12;74.71;74.71;58.27;58.27;102.2;102.2;80.98;80.98;12.93;12.93;2.33;2.33;0.11;21;21;78.4;78.4;101.2;101.2;73.89;73.89;122.22;122.22;127.82;127.82;68.28;68.28;92.93;92.93;57.03;57.03;46.14;46.14;2327;1976;2439;2869;1;1;0;0
mollor? & !;!;1;0;0.00;370;370;1;1;0;0;1;1;4;4;6;6;4;4;1;1;25;470;44.48;2302;2302;1570;1570;732;732;18;18;66;66;474;474;300;300;174;174;3;3;15;15;53.23;53.23;18.47;18.47;186;186;250;250;0;0;1661;443586;443586;106.52;106.52;114.09;114.09;69.43;69.43;139.56;139.56;138.51;138.51;11.97;11.97;6.67;6.67;0.11;59;59;120;120;153.3;153.3;77.45;77.45;212.59;212.59;170.91;170.91;119.12;119.12;123.44;123.44;89.68;89.68;76.92;76.92;2192;1518;2612;2810;0;0;1;1
Aleksiii & Taha273 & velocity;! Ghassan;5;2;40.00;2996;599.2;12;2.4;0;0;10;2;24;4.8;45;9;16;3.2;5;1;50;428.23;52.46;12541;2508.2;9558;1911.6;2983;596.6;127;25.4;255;51;3096;619.2;2081;416.2;1015;203;24;4.8;81;16.2;173.83;34.77;248.54;49.71;2251;450.2;3277;655.4;364;72.8;1515.9;2388216;477643.19;799.48;159.9;651.75;130.35;246.15;49.23;993.66;198.73;608.92;121.78;94.78;18.96;27.56;5.51;0.09;298;59.6;874.7;174.94;735.3;147.06;392.91;78.58;1304.46;260.89;1146.11;229.22;551.26;110.25;833.14;166.63;579.65;115.93;284.58;56.92;2470.1;2266.61;2635.82;3098.07;3;0.6;9;1.8
Aleksiii & Taha273 & velocity;! Khan.;9;4;44.44;4823;535.89;11;1.22;9;1;19;2.11;50;5.56;71;7.89;27;3;8;0.89;22;385.74;42.96;20019;2224.33;13769;1529.89;6250;694.44;153;17;537;59.67;4001;444.56;1929;214.33;2072;230.22;21;2.33;179;19.89;408.25;45.36;275.31;30.59;1815;201.67;1373;152.56;195;21.67;1500.58;4383651;487072.34;1511.33;167.93;1172.48;130.28;474.63;52.74;1627.68;180.85;1329.27;147.7;201.53;22.39;50.05;5.56;0.09;583;64.78;1518.9;168.77;1524.9;169.43;776.79;86.31;2381.68;264.63;1888.82;209.87;1269.64;141.07;1265.29;140.59;1138.88;126.54;754.3;83.81;2331.87;2231.16;2412.45;2819.79;5;0.56;9;1
