team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Kehvn & Jup. & mrtn;"   Czudo   ";5;1;20.00;1791;358.2;4;0.8;3;0.6;7;1.4;15;3;48;9.6;18;3.6;10;2;26.67;510.09;47.64;12036;2407.2;8968;1793.6;3068;613.6;108;21.6;265;53;2393;478.6;1244;248.8;1149;229.8;14;2.8;92;18.4;163.2;32.64;90.64;18.13;3051;610.2;1864;372.8;153;30.6;1647.48;2154237;430847.41;575.55;115.11;486.05;97.21;356.67;71.33;852.28;170.46;491.72;98.34;74.24;14.85;13.32;2.66;0.12;109;21.8;691;138.2;672.2;134.44;419.97;83.99;998.28;199.66;911.75;182.35;506.5;101.3;664.73;132.95;449.62;89.92;303.91;60.78;2478.97;2255.65;2653.36;3089.67;4;0.8;8;1.6
Kehvn & Jup. & mrtn;"   JWeyts   ";3;2;66.67;1469;489.67;6;2;2;0.67;3;1;15;5;22;7.33;10;3.33;5;1.67;40;437.1;51.13;6887;2295.67;5230;1743.33;1657;552.33;63;21;155;51.67;1818;606;1296;432;522;174;15;5;50;16.67;82.05;27.35;115.41;38.47;966;322;1174;391.33;247;82.33;1600.64;1376046;458682;410.95;136.98;335.39;111.8;193.64;64.55;469.84;156.61;382.33;127.44;87.83;29.28;13.36;4.45;0.11;119;39.67;454.3;151.43;426;142;234.73;78.24;705.26;235.09;610.5;203.5;329.48;109.83;429.16;143.05;299.63;99.88;211.2;70.4;2344.32;2202.53;2480.91;3154.33;1;0.33;3;1
Kehvn & Jup. & mrtn;! Sultan.;2;2;100.00;811;405.5;3;1.5;1;0.5;2;1;8;4;9;4.5;1;0.5;0;0;37.5;504.98;46.31;4527;2263.5;3336;1668;1191;595.5;43;21.5;109;54.5;714;357;324;162;390;195;4;2;37;18.5;86.14;43.07;43.27;21.64;1190;595;907;453.5;91;45.5;1747.83;881012;440506;167.04;83.52;208.53;104.26;161.36;80.68;290.89;145.45;221.76;110.88;24.28;12.14;8.94;4.47;0.08;109;54.5;253;126.5;256.8;128.4;146.1;73.05;390.83;195.42;333.42;166.71;203.5;101.75;241.58;120.79;185;92.5;110.35;55.17;2797.45;2718.24;2773.77;3455.92;5;2.5;2;1
' =&  & Zamberg;' =& ;13;8;61.54;7537;579.77;20;1.54;16;1.23;26;2;71;5.46;97;7.46;37;2.85;19;1.46;28.17;438.12;47.97;30751;2365.46;23179;1783;7572;582.46;279;21.46;698;53.69;5795;445.77;3191;245.46;2604;200.31;42;3.23;234;18;548.16;42.17;588.46;45.27;5349;411.46;4971;382.38;1062;81.69;1614.82;6353336;488718.16;1784.21;137.25;1630.25;125.4;854.9;65.76;2281.62;175.51;1722.86;132.53;264.92;20.38;62.65;4.82;0.09;653;50.23;2229;171.46;1812.9;139.45;1093.9;84.15;3175.48;244.27;2624.51;201.89;1644.87;126.53;1897.4;145.95;1400.32;107.72;971.67;74.74;2427.69;2316.29;2558.69;3168.72;20;1.54;15;1.15
Kehvn & Jup. & mrtn;*************;3;2;66.67;1797;599;7;2.33;1;0.33;6;2;15;5;17;5.67;6;2;5;1.67;46.67;406.37;48.11;5225;1741.67;3814;1271.33;1411;470.33;45;15;122;40.67;1123;374.33;652;217.33;471;157;7;2.33;34;11.33;89.83;29.94;81.04;27.01;412;137.33;698;232.67;46;15.33;1497.82;1095616;365205.34;387.03;129.01;286.76;95.59;116.17;38.72;410.22;136.74;309.78;103.26;69.97;23.32;12.92;4.31;0.09;154;51.33;404.2;134.73;352.5;117.5;165.14;55.05;624.84;208.28;512.99;171;276.99;92.33;379.44;126.48;252.47;84.16;158.05;52.68;2217.69;2097.84;2355.57;2884.96;1;0.33;3;1
-breyyn & shila;-breyyn;1;0;0.00;547;547;2;2;0;0;1;1;7;7;8;8;5;5;3;3;28.57;357;52.27;2228;2228;1531;1531;697;697;19;19;68;68;593;593;361;361;232;232;5;5;24;24;23.55;23.55;50.01;50.01;419;419;432;432;180;180;1710;573119;573119;131.89;131.89;143.41;143.41;90.02;90.02;202.71;202.71;137.72;137.72;24.89;24.89;5.56;5.56;0.13;42;42;221;221;199.5;199.5;109.06;109.06;256.25;256.25;227.65;227.65;137.67;137.67;164.23;164.23;117.26;117.26;83.82;83.82;2255;2067;2422;3063;0;0;2;2
Kehvn & Jup. & mrtn;-trace;1;0;0.00;314;314;1;1;0;0;1;1;6;6;10;10;6;6;4;4;16.67;368;43.89;2044;2044;1476;1476;568;568;16;16;51;51;457;457;316;316;141;141;4;4;13;13;42.28;42.28;46.05;46.05;170;170;160;160;89;89;1437;462416;462416;201.02;201.02;105.5;105.5;49.1;49.1;192.19;192.19;142.67;142.67;20.77;20.77;3.74;3.74;0.11;35;35;174.6;174.6;160.6;160.6;83.26;83.26;272.36;272.36;209.89;209.89;145.73;145.73;147.16;147.16;117.3;117.3;91.17;91.17;2087;1952;2129;2689;1;1;2;2
Kehvn & Jup. & mrtn;.;2;0;0.00;807;403.5;1;0.5;2;1;4;2;5;2.5;18;9;8;4;5;2.5;20;471.26;45.67;5385;2692.5;3893;1946.5;1492;746;46;23;125;62.5;835;417.5;408;204;427;213.5;5;2.5;39;19.5;102.23;51.11;67.57;33.78;737;368.5;651;325.5;100;50;1592.63;1005554;502777;286.77;143.39;244.94;122.47;143.66;71.83;314.17;157.08;308.3;154.15;52.89;26.44;13.89;6.95;0.12;115;57.5;321.1;160.55;314.7;157.35;179.67;89.83;495.69;247.85;422.42;211.21;252.93;126.47;303.98;151.99;217.8;108.9;153.59;76.79;2322.57;2163.09;2486.95;3028.87;1;0.5;1;0.5
Kehvn & Jup. & mrtn;.;1;0;0.00;66;66;0;0;0;0;0;0;1;1;6;6;4;4;2;2;0;416;47.29;1493;1493;1181;1181;312;312;13;13;30;30;260;260;200;200;60;60;2;2;5;5;24.48;24.48;29.52;29.52;109;109;142;142;0;0;1509;330741;330741;112.77;112.77;98.65;98.65;27.01;27.01;120.94;120.94;99.24;99.24;18.24;18.24;5.44;5.44;0.09;59;59;123.7;123.7;103;103;69.48;69.48;168.93;168.93;158.48;158.48;79.94;79.94;103.25;103.25;96.59;96.59;38.57;38.57;2456;2705;2248;3398;0;0;2;2
Kehvn & Jup. & mrtn;.;1;1;100.00;664;664;2;2;2;2;3;3;6;6;5;5;2;2;1;1;33.33;472;46.23;2159;2159;1618;1618;541;541;18;18;44;44;457;457;300;300;157;157;3;3;14;14;37.21;37.21;22.51;22.51;241;241;196;196;0;0;1594;449225;449225;133.08;133.08;111.05;111.05;62.17;62.17;139.3;139.3;148.31;148.31;18.69;18.69;4.6;4.6;0.12;38;38;161.5;161.5;126.7;126.7;67.77;67.77;238.53;238.53;199.87;199.87;106.43;106.43;143.27;143.27;104.65;104.65;58.37;58.37;2291;2188;2476;2858;1;1;0;0
