team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
acqxaa & ! & Kipperr.;"  ";1;1;100.00;278;278;1;1;2;2;0;0;1;1;4;4;0;0;0;0;100;503;50.04;1231;1231;998;998;233;233;13;13;20;20;276;276;220;220;56;56;3;3;5;5;32.07;32.07;8.11;8.11;78;78;70;70;2;2;1687;223523;223523;56.36;56.36;54.46;54.46;37.19;37.19;70.32;70.32;73.65;73.65;4.05;4.05;2.65;2.65;0.12;22;22;76.3;76.3;61.3;61.3;25.72;25.72;122.3;122.3;102.22;102.22;45.8;45.8;82.65;82.65;38.15;38.15;27.21;27.21;2819;2648;3149;3393;0;0;0;0
acqxaa & ! & Kipperr.;"   Dani___RL   ";2;1;50.00;896;448;1;0.5;2;1;7;3.5;3;1.5;23;11.5;8;4;4;2;33.33;350.11;49.66;4759;2379.5;3647;1823.5;1112;556;49;24.5;93;46.5;556;278;356;178;200;100;4;2;21;10.5;90.72;45.36;73.71;36.86;750;375;1285;642.5;43;21.5;1500.68;1078664;539332;396.27;198.13;271.56;135.78;115.28;57.64;483.45;241.73;265.85;132.93;33.83;16.92;8.9;4.45;0.12;70;35;411.9;205.95;338;169;173.59;86.79;609.54;304.77;558.68;279.34;224.45;112.22;395.7;197.85;282.51;141.26;104.9;52.45;2948.9;2924.88;2968.35;3216.68;0;0;2;1
acqxaa & ! & Kipperr.;!;2;0;0.00;660;330;2;1;0;0;4;2;4;2;18;9;8;4;2;1;50;347;45.96;2733;1366.5;1648;824;1085;542.5;18;9;102;51;353;176.5;0;0;353;176.5;0;0;34;17;106.58;53.29;43.33;21.67;143;71.5;254;127;36;18;1480.5;673630;336815;322.09;161.04;200.73;100.36;61.24;30.62;350.75;175.38;220.54;110.27;12.77;6.39;10.95;5.48;0.11;95;47.5;279.2;139.6;292.7;146.35;187.93;93.96;396.12;198.06;389.54;194.77;194.52;97.26;312.09;156.05;159.41;79.71;112.54;56.27;2352.5;2489;2171.5;2887.5;4;2;4;2
acqxaa & ! & Kipperr.;!;3;2;66.67;1355;451.67;5;1.67;1;0.33;3;1;16;5.33;16;5.33;5;1.67;3;1;31.25;427.92;49.88;6104;2034.67;4241;1413.67;1863;621;50;16.67;174;58;1950;650;1281;427;669;223;15;5;62;20.67;94.52;31.51;96.4;32.13;532;177.33;863;287.67;256;85.33;1639.35;1337287;445762.34;351.35;117.12;314.59;104.86;208.09;69.36;438.35;146.12;385.02;128.34;50.66;16.89;18.16;6.05;0.1;192;64;396.4;132.13;441.7;147.23;188.48;62.83;685.56;228.52;471.97;157.32;402.07;134.02;309.37;103.12;312.78;104.26;251.89;83.96;2455.86;2164.1;2679.27;3119.18;2;0.67;3;1
acqxaa & ! & Kipperr.;! Dcw;16;8;50.00;8483;530.19;25;1.56;14;0.88;31;1.94;67;4.19;157;9.81;53;3.31;32;2;37.31;371.27;46.67;35770;2235.62;26174;1635.88;9596;599.75;307;19.19;860;53.75;6982;436.38;4223;263.94;2759;172.44;53;3.31;249;15.56;689.57;43.1;808.02;50.5;4660;291.25;4676;292.25;1097;68.56;1501.07;8139758;508734.88;2786.79;174.17;2337.08;146.07;737.23;46.08;3215.54;200.97;2276.34;142.27;369.26;23.08;82.78;5.17;0.1;779;48.69;3117.5;194.84;2448;153;1313;82.06;4548.13;284.26;3914.93;244.68;1946.23;121.64;2841.2;177.57;1918.32;119.89;1101.6;68.85;2381.18;2275.98;2484.32;2954.03;21;1.31;17;1.06
shade. & ! Khan.;! Khan.;2;2;100.00;1693;846.5;5;2.5;3;1.5;6;3;13;6.5;18;9;5;2.5;4;2;38.46;406.28;45.51;4967;2483.5;3573;1786.5;1394;697;46;23;123;61.5;853;426.5;347;173.5;506;253;4;2;44;22;82.27;41.13;78.1;39.05;724;362;1050;525;71;35.5;1529.75;1057290;528645;345.8;172.9;286.8;143.4;112.05;56.03;361.36;180.68;339.07;169.54;44.22;22.11;11.22;5.61;0.08;142;71;373.5;186.75;336.7;168.35;166.96;83.48;577.68;288.84;504.86;252.43;239.77;119.88;368.6;184.3;224.95;112.48;151.09;75.54;2413.85;2049.83;2711.65;3218.3;0;0;1;0.5
acqxaa & ! & Kipperr.;! aRa;1;0;0.00;188;188;0;0;0;0;1;1;3;3;7;7;5;5;3;3;0;376;52.49;1790;1790;1100;1100;690;690;14;14;60;60;448;448;256;256;192;192;3;3;16;16;21.84;21.84;19.61;19.61;165;165;307;307;43;43;1514;358820;358820;122.99;122.99;100.57;100.57;39.23;39.23;150.13;150.13;100.41;100.41;12.26;12.26;3.35;3.35;0.09;38;38;125.1;125.1;123.5;123.5;62.33;62.33;200.47;200.47;169.4;169.4;93.4;93.4;124.73;124.73;94.84;94.84;43.23;43.23;2528;1944;2924;3092;0;0;3;3
!rx & sweazy.btw & QtI;!rx;2;1;50.00;1122;561;4;2;2;1;4;2;10;5;16;8;7;3.5;3;1.5;40;412.09;52.43;4921;2460.5;3614;1807;1307;653.5;49;24.5;122;61;1113;556.5;641;320.5;472;236;9;4.5;46;23;32.3;16.15;106.53;53.26;553;276.5;1336;668;287;143.5;1585.95;1012470;506235;302.15;151.08;298.58;149.29;98.44;49.22;396.19;198.1;267.13;133.57;35.86;17.93;9.65;4.82;0.14;70;35;368.4;184.2;278.1;139.05;123.35;61.67;575.81;287.9;412.41;206.21;286.75;143.38;286.74;143.37;254.23;127.12;158.18;79.09;2381.47;2290.51;2465.55;2884.73;2;1;2;1
acqxaa & ! & Kipperr.;"""l";2;0;0.00;612;306;0;0;1;0.5;4;2;6;3;18;9;8;4;5;2.5;0;418.16;43.56;4242;2121;3208;1604;1034;517;37;18.5;95;47.5;1045;522.5;673;336.5;372;186;8;4;33;16.5;108.11;54.06;67.78;33.89;691;345.5;525;262.5;125;62.5;1643.17;924683;462341.5;247.07;123.54;236.28;118.14;127.92;63.96;314.76;157.38;266.2;133.1;30.31;15.15;7.44;3.72;0.14;55;27.5;283.3;141.65;293.6;146.8;186.44;93.22;424.82;212.41;392.87;196.43;218.4;109.2;285.42;142.71;198.13;99.07;127.72;63.86;2467.96;2209.45;2663.46;3193.21;1;0.5;2;1
acqxaa & ! & Kipperr.;"""vax'";3;2;66.67;1436;478.67;7;2.33;0;0;3;1;8;2.67;22;7.33;5;1.67;3;1;87.5;424.72;50.83;5530;1843.33;4122;1374;1408;469.33;54;18;116;38.67;1219;406.33;940;313.33;279;93;12;4;25;8.33;78.03;26.01;97.38;32.46;1032;344;1309;436.33;263;87.67;1554.83;1145841;381947;347.39;115.8;308.15;102.72;142.28;47.43;424.25;141.42;324.84;108.28;48.74;16.25;16.36;5.45;0.15;117;39;396.3;132.1;351.7;117.23;205.75;68.58;592.09;197.36;518.8;172.93;279.04;93.01;391.77;130.59;231.44;77.15;174.61;58.2;2180.36;1970.16;2400.56;2772.43;2;0.67;1;0.33
