team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
. & Syracks & davoof;;6;4;66.67;3255;542.5;8;1.33;8;1.33;9;1.5;22;3.67;53;8.83;22;3.67;10;1.67;36.36;487.69;43.33;17107;2851.17;12414;2069;4693;782.17;139;23.17;403;67.17;3780;630;2042;340.33;1738;289.67;24;4;142;23.67;366.36;61.06;178.69;29.78;3022;503.67;1556;259.33;365;60.83;1610.76;3191062;531843.69;910.43;151.74;805.07;134.18;452.4;75.4;1164.52;194.09;871.23;145.21;132.15;22.03;33.94;5.66;0.13;252;42;877.9;146.32;1174.4;195.73;652.92;108.82;1514.98;252.5;1273.16;212.19;894.74;149.12;909.45;151.57;721.93;120.32;536.52;89.42;2203.81;2026.08;2354.2;3058.74;10;1.67;7;1.17
skies & Knight &   Ace;"  Ace";2;0;0.00;1342;671;5;2.5;1;0.5;4;2;15;7.5;21;10.5;12;6;3;1.5;33.33;472.36;46.28;6198;3099;4729;2364.5;1469;734.5;56;28;117;58.5;877;438.5;531;265.5;346;173;6;3;31;15.5;114.69;57.35;82.75;41.38;878;439;684;342;53;26.5;1567.93;1099587;549793.5;349.75;174.88;285.73;142.86;139.62;69.81;429.77;214.89;321.29;160.65;24.03;12.02;14.37;7.19;0.11;132;66;342.7;171.35;383.9;191.95;228.46;114.23;546.64;273.32;505.47;252.74;269.63;134.82;379.05;189.52;234.69;117.35;161.36;80.68;2363.27;2132.98;2597.68;3267.95;1;0.5;3;1.5
. & Syracks & davoof;!;1;1;100.00;448;448;2;2;2;2;0;0;2;2;3;3;1;1;1;1;100;467;54.07;1475;1475;1085;1085;390;390;14;14;39;39;240;240;134;134;106;106;2;2;10;10;15.49;15.49;20.82;20.82;309;309;324;324;73;73;1664;312069;312069;80.73;80.73;77.67;77.67;51.59;51.59;108.72;108.72;88.71;88.71;12.56;12.56;5.37;5.37;0.12;43;43;98;98;87.5;87.5;42.86;42.86;167.13;167.13;141.74;141.74;68.25;68.25;92.19;92.19;83.62;83.62;34.18;34.18;2694;2372;2997;3097;0;0;0;0
. & Syracks & davoof;!;2;1;50.00;1119;559.5;3;1.5;0;0;6;3;12;6;14;7;6;3;3;1.5;25;500.07;53.62;5751;2875.5;4386;2193;1365;682.5;56;28;124;62;1254;627;813;406.5;441;220.5;9;4.5;38;19;70.23;35.11;71.94;35.97;1062;531;1161;580.5;95;47.5;1620.99;1074406;537203;283.59;141.79;271.2;135.6;158.07;79.04;370.69;185.35;296.1;148.05;46.07;23.03;15.39;7.69;0.11;141;70.5;339.2;169.6;351.3;175.65;166.41;83.21;546.44;273.22;471.75;235.88;241.12;120.56;342.72;171.36;236.35;118.18;133.77;66.88;2285.02;2065.12;2468.13;3057.2;5;2.5;2;1
. & Syracks & davoof;!;1;0;0.00;503;503;2;2;0;0;1;1;5;5;9;9;5;5;5;5;40;398;45.51;2210;2210;1496;1496;714;714;19;19;63;63;785;785;526;526;259;259;7;7;22;22;45.54;45.54;27.05;27.05;155;155;422;422;180;180;1522;482464;482464;173.04;173.04;116.48;116.48;60.05;60.05;188.7;188.7;140.63;140.63;20.25;20.25;6.37;6.37;0.11;57;57;176.3;176.3;198.4;198.4;104.36;104.36;245.21;245.21;221.83;221.83;127.74;127.74;167.6;167.6;95.19;95.19;86.78;86.78;2104;1740;2383;2830;0;0;0;0
. & Syracks & davoof;! 2 EM;3;1;33.33;1588;529.33;6;2;2;0.67;5;1.67;11;3.67;29;9.67;9;3;4;1.33;54.55;393.81;49.59;5729;1909.67;3896;1298.67;1833;611;47;15.67;167;55.67;1785;595;1106;368.67;679;226.33;12;4;64;21.33;98.97;32.99;111.8;37.27;639;213;814;271.33;137;45.67;1592.85;1239942;413314;381.9;127.3;322.23;107.41;169.39;56.46;490.42;163.47;353.05;117.68;30.07;10.02;14.37;4.79;0.09;161;53.67;413.3;137.77;412.2;137.4;249.93;83.31;623.62;207.87;578.57;192.86;294.98;98.33;422.07;140.69;285.89;95.3;165.61;55.2;2286.55;2083.17;2463.28;2884.87;3;1;3;1
. & Syracks & davoof;! TKL;1;0;0.00;360;360;2;2;0;0;1;1;5;5;6;6;4;4;1;1;40;478;51.46;2406;2406;1983;1983;423;423;24;24;40;40;583;583;460;460;123;123;5;5;11;11;26.99;26.99;53.25;53.25;459;459;448;448;40;40;1671;476996;476996;107.55;107.55;128.45;128.45;71.14;71.14;150.27;150.27;132.28;132.28;24.59;24.59;7.09;7.09;0.09;76;76;145.3;145.3;139.7;139.7;90.82;90.82;216.32;216.32;184.95;184.95;122.19;122.19;134.91;134.91;108.19;108.19;64.05;64.05;2130;2098;2247;2813;0;0;1;1
halvtord & Podden & ! W z 7;! W z 7;1;0;0.00;83;83;0;0;0;0;1;1;0;0;7;7;4;4;2;2;0;447;52.44;787;787;594;594;193;193;7;7;16;16;12;12;0;0;12;12;0;0;1;1;12.66;12.66;8.94;8.94;41;41;105;105;0;0;1519;105100;105100;42.44;42.44;30.07;30.07;12.13;12.13;42.51;42.51;39.87;39.87;2.25;2.25;1.23;1.23;0.09;13;13;36.5;36.5;38.8;38.8;28.03;28.03;56.6;56.6;74.26;74.26;10.37;10.37;55.65;55.65;26.14;26.14;2.84;2.84;2362;1937;2596;3100;0;0;0;0
. & Syracks & davoof;! aRa;3;0;0.00;1508;502.67;1;0.33;0;0;8;2.67;10;3.33;33;11;8;2.67;5;1.67;10;419.96;46.88;7686;2562;4888;1629.33;2798;932.67;58;19.33;244;81.33;2047;682.33;1147;382.33;900;300;14;4.67;81;27;118.88;39.63;109.93;36.64;956;318.67;889;296.33;264;88;1471.98;1589483;529827.69;554.94;184.98;398.16;132.72;172.58;57.53;654.93;218.31;419.87;139.96;50.88;16.96;23.66;7.89;0.1;229;76.33;573;191;533.5;177.83;250.41;83.47;875.28;291.76;697.05;232.35;428.63;142.88;517.34;172.45;363.26;121.09;245.09;81.7;2241.52;2157.93;2295.66;2952.77;1;0.33;1;0.33
. & Syracks & davoof;! vax;4;2;50.00;2970;742.5;6;1.5;4;1;17;4.25;22;5.5;44;11;16;4;9;2.25;27.27;428.5;49.62;11094;2773.5;8087;2021.75;3007;751.75;102;25.5;253;63.25;2698;674.5;1623;405.75;1075;268.75;20;5;86;21.5;144.5;36.12;142.62;35.65;1545;386.25;2156;539;376;94;1583.6;2192783;548195.75;646.61;161.65;581.59;145.4;281.84;70.46;827.67;206.92;613.76;153.44;68.62;17.16;18.64;4.66;0.1;198;49.5;678.5;169.62;756.7;189.17;388.35;97.09;1121.69;280.42;942.65;235.66;567.4;141.85;684.06;171.01;465.29;116.32;360.69;90.17;2167.17;1866.96;2478.54;2908.29;5;1.25;6;1.5
