team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
predoutz. & ;;1;0;0.00;320;320;1;1;0;0;2;2;3;3;11;11;6;6;5;5;33.33;392;48.43;1439;1439;887;887;552;552;12;12;50;50;528;528;370;370;158;158;4;4;14;14;35.26;35.26;24.21;24.21;248;248;345;345;38;38;1668;327568;327568;88.92;88.92;81.76;81.76;52.28;52.28;122.44;122.44;89.16;89.16;11.36;11.36;4.37;4.37;0.14;31;31;112.8;112.8;97.6;97.6;71.56;71.56;151.4;151.4;168.9;168.9;54.06;54.06;130.2;130.2;61.87;61.87;30.89;30.89;2620;2336;2831;3405;0;0;3;3
Reevo & Dragon <3 & swazz;!;3;1;33.33;2032;677.33;7;2.33;4;1.33;4;1.33;14;4.67;25;8.33;12;4;5;1.67;50;414.82;43.93;7469;2489.67;5387;1795.67;2082;694;62;20.67;185;61.67;1965;655;1237;412.33;728;242.67;14;4.67;64;21.33;130.14;43.38;85.96;28.65;1189;396.33;857;285.67;168;56;1575.31;1614324;538108;523.16;174.39;375.85;125.28;232.68;77.56;601.35;200.45;482.46;160.82;47.88;15.96;26.41;8.8;0.12;220;73.33;523.9;174.63;510;170;297.18;99.06;834.52;278.17;716.43;238.81;415.25;138.42;526.93;175.64;372.45;124.15;232.31;77.44;2136;1979.19;2247.03;2614.12;2;0.67;1;0.33
Reevo & Dragon <3 & swazz;! Dcw;1;0;0.00;110;110;0;0;0;0;0;0;2;2;5;5;2;2;1;1;0;368;49.88;2153;2153;1614;1614;539;539;18;18;50;50;419;419;205;205;214;214;3;3;19;19;50.23;50.23;55.1;55.1;316;316;241;241;100;100;1551;483514;483514;140.59;140.59;141.01;141.01;40.24;40.24;184.73;184.73;109.79;109.79;27.33;27.33;4.01;4.01;0.11;37;37;159.7;159.7;154.9;154.9;91.02;91.02;230.83;230.83;169.85;169.85;151.99;151.99;125.07;125.07;94.98;94.98;101.79;101.79;2416;2246;2569;3041;2;2;1;1
Reevo & Dragon <3 & swazz;#zed031;2;0;0.00;443;221.5;0;0;1;0.5;1;0.5;1;0.5;15;7.5;6;3;2;1;0;444;43.37;3797;1898.5;2579;1289.5;1218;609;31;15.5;108;54;508;254;143;71.5;365;182.5;2;1;34;17;95.93;47.97;35.06;17.53;596;298;547;273.5;74;37;1573.67;750125;375062.5;214.46;107.23;206.34;103.17;86.14;43.07;279.82;139.91;203.52;101.76;23.59;11.8;6.88;3.44;0.1;69;34.5;243.9;121.95;247;123.5;149.21;74.61;357.72;178.86;340.46;170.23;166.48;83.24;255.56;127.78;168.34;84.17;83.04;41.52;2216;2089.33;2338.67;2906.67;1;0.5;1;0.5
' =&  & Pander;' =& ;3;1;33.33;1774;591.33;6;2;3;1;4;1.33;14;4.67;26;8.67;14;4.67;8;2.67;42.86;441;47.23;8034;2678;5998;1999.33;2036;678.67;74;24.67;170;56.67;1301;433.67;763;254.33;538;179.33;10;3.33;49;16.33;108.44;36.15;144.06;48.02;905;301.67;1323;441;255;85;1611.61;1560037;520012.34;446.03;148.68;411.67;137.22;218.4;72.8;550.61;183.54;445.41;148.47;80.1;26.7;14.47;4.82;0.09;166;55.33;495.1;165.03;496.4;165.47;293.23;97.74;782.87;260.96;679.89;226.63;396.21;132.07;457.58;152.53;414.52;138.17;204.01;68;2537.97;2349.16;2709.05;3108.12;3;1;4;1.33
Kyuu. & +1;+1;1;1;100.00;565;565;2;2;1;1;2;2;5;5;5;5;2;2;0;0;40;398;40.4;2288;2288;1388;1388;900;900;16;16;72;72;353;353;100;100;253;253;1;1;21;21;52.29;52.29;30.65;30.65;430;430;137;137;0;0;1476;482244;482244;168.9;168.9;139.66;139.66;40.33;40.33;219.68;219.68;114.57;114.57;14.64;14.64;7.93;7.93;0.12;66;66;142.1;142.1;190;190;78.05;78.05;270.84;270.84;243.34;243.34;105.55;105.55;175.32;175.32;115.47;115.47;58.1;58.1;2437;2093;2691;3140;0;0;1;1
Reevo & Dragon <3 & swazz;-gabi;3;1;33.33;1716;572;3;1;5;1.67;8;2.67;18;6;29;9.67;12;4;4;1.33;16.67;434.07;43.03;8369;2789.67;5644;1881.33;2725;908.33;62;20.67;230;76.67;2394;798;1274;424.67;1120;373.33;14;4.67;87;29;131.63;43.88;79.39;26.46;980;326.67;588;196;128;42.67;1544.89;1553923;517974.34;516.37;172.12;410.58;136.86;165.98;55.33;629.8;209.93;405.08;135.03;58.04;19.35;18.92;6.31;0.13;151;50.33;503.8;167.93;534.6;178.2;316.28;105.43;776.64;258.88;662.14;220.71;430.78;143.59;475.91;158.64;352.59;117.53;264.44;88.15;2232.72;1944.97;2490.44;3080.52;6;2;3;1
Reevo & Dragon <3 & swazz;-trace;7;3;42.86;4430;632.86;11;1.57;6;0.86;20;2.86;37;5.29;68;9.71;24;3.43;12;1.71;29.73;405.07;46.17;16152;2307.43;11157;1593.86;4995;713.57;130;18.57;450;64.29;3963;566.14;2018;288.29;1945;277.86;23;3.29;169;24.14;290.3;41.47;255.27;36.47;2020;288.57;2028;289.71;319;45.57;1474.76;3310276;472896.56;1267.03;181;812.26;116.04;371.62;53.09;1361.1;194.44;960.95;137.28;128.86;18.41;31.76;4.54;0.12;265;37.86;1201.5;171.64;1144.3;163.47;605.34;86.48;1845.59;263.66;1555.42;222.2;895.49;127.93;1129.04;161.29;762.73;108.96;559.14;79.88;2339.59;2177.44;2424.08;2958.66;4;0.57;8;1.14
ShinjiiWiT & .;.;1;0;0.00;574;574;0;0;3;3;3;3;5;5;9;9;4;4;2;2;0;355;50.3;2217;2217;1356;1356;861;861;17;17;79;79;492;492;157;157;335;335;2;2;30;30;29.93;29.93;44.17;44.17;301;301;385;385;59;59;1613;556725;556725;147.89;147.89;164.86;164.86;61.97;61.97;200.35;200.35;155.78;155.78;18.59;18.59;6.9;6.9;0.13;53;53;210.3;210.3;137.9;137.9;91.24;91.24;283.48;283.48;235.29;235.29;139.43;139.43;156.53;156.53;141.39;141.39;76.8;76.8;2363;2116;2574;2893;3;3;0;0
Reevo & Dragon <3 & swazz;.;3;2;66.67;2061;687;4;1.33;1;0.33;14;4.67;12;4;34;11.33;8;2.67;4;1.33;33.33;464.39;50.55;7942;2647.33;5906;1968.67;2036;678.67;75;25;180;60;1868;622.67;1037;345.67;831;277;14;4.67;72;24;130.98;43.66;92.82;30.94;1728;576;1658;552.67;376;125.33;1599.97;1567462;522487.34;463.1;154.37;373.9;124.63;237.18;79.06;534.03;178.01;465.03;155.01;75.12;25.04;20.84;6.95;0.1;211;70.33;464.6;154.87;556.1;185.37;302.09;100.7;772.1;257.37;648.2;216.07;425.99;142;493.31;164.44;292.75;97.58;288.12;96.04;2239.53;2046.51;2488.04;3107.96;5;1.67;1;0.33
