team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Tr3bla & Banjae & velocity;;1;1;100.00;654;654;2;2;0;0;3;3;2;2;7;7;2;2;1;1;100;477;50.38;2651;2651;1716;1716;935;935;23;23;76;76;1029;1029;591;591;438;438;7;7;31;31;29.04;29.04;42.74;42.74;641;641;603;603;112;112;1533;479717;479717;155.08;155.08;114.56;114.56;68.94;68.94;182.48;182.48;136.01;136.01;20.1;20.1;7.6;7.6;0.09;87;87;150.6;150.6;166.9;166.9;73.56;73.56;265.02;265.02;190.51;190.51;148.07;148.07;132.81;132.81;109.76;109.76;96.02;96.02;2279;2196;2167;2831;0;0;0;0
GoonerLeague69 &    & zexy.;"  ";2;1;50.00;1216;608;4;2;1;0.5;3;1.5;11;5.5;15;7.5;7;3.5;1;0.5;36.36;480.7;55.62;6295;3147.5;4961;2480.5;1334;667;65;32.5;116;58;1625;812.5;1233;616.5;392;196;14;7;36;18;77.44;38.72;127.44;63.72;818;409;1601;800.5;166;83;1619.82;1168636;584318;309.74;154.87;305.19;152.6;161.58;80.79;438.71;219.35;297.52;148.76;40.29;20.15;16.9;8.45;0.11;143;71.5;378.1;189.05;362.2;181.1;198.73;99.36;577.79;288.9;468.05;234.02;308.47;154.24;319.33;159.67;278.22;139.11;178.98;89.49;2471.17;2256.59;2651.44;3160.01;1;0.5;1;0.5
Tr3bla & Banjae & velocity;"   JWeyts   ";9;4;44.44;4976;552.89;9;1;6;0.67;27;3;38;4.22;87;9.67;27;3;13;1.44;23.68;424.96;51.27;22771;2530.11;16790;1865.56;5981;664.56;215;23.89;552;61.33;5143;571.44;3149;349.89;1994;221.56;45;5;187;20.78;277.77;30.86;439.28;48.81;3157;350.78;4789;532.11;1175;130.56;1608.93;4655463;517273.66;1331.24;147.92;1166.76;129.64;627.88;69.76;1575.37;175.04;1327.22;147.47;223.33;24.81;50.87;5.65;0.13;365;40.56;1471.6;163.51;1511.5;167.94;862.29;95.81;2263.61;251.51;1940.31;215.59;1185.59;131.73;1396.84;155.2;997.89;110.88;731.15;81.24;2377.7;2101.28;2610.83;3102.9;9;1;7;0.78
. &  Cayyh;" Cayyh";1;1;100.00;413;413;1;1;0;0;1;1;5;5;4;4;1;1;1;1;20;484;51.71;3129;3129;2429;2429;700;700;30;30;59;59;622;622;355;355;267;267;4;4;25;25;41.13;41.13;44.02;44.02;545;545;572;572;45;45;1617;607486;607486;146.61;146.61;166.03;166.03;78.03;78.03;200.46;200.46;171.22;171.22;18.99;18.99;11.49;11.49;0.11;105;105;183.2;183.2;200.9;200.9;101.13;101.13;289.54;289.54;218.48;218.48;172.19;172.19;153.45;153.45;140.1;140.1;97.12;97.12;2066;2095;2021;2605;2;2;2;2
Tr3bla & Banjae & velocity;!;15;12;80.00;7680;512;26;1.73;10;0.67;30;2;52;3.47;101;6.73;24;1.6;12;0.8;50;454.86;48.02;29222;1948.13;20833;1388.87;8389;559.27;248;16.53;765;51;6481;432.07;3807;253.8;2674;178.27;46;3.07;248;16.53;401.99;26.8;307.84;20.52;3858;257.2;3100;206.67;664;44.27;1590.57;5824713;388314.19;1651.67;110.11;1500.89;100.06;785.79;52.39;2045.76;136.38;1638.34;109.22;254.22;16.95;63.39;4.23;0.15;425;28.33;1851.1;123.41;1883.1;125.54;895;59.67;3043.33;202.89;2449.67;163.31;1488.58;99.24;1735.65;115.71;1295.85;86.39;906.82;60.45;2128.29;2013.86;2184.37;2782.97;11;0.73;11;0.73
revoke & ! Elijae;! Elijae;1;1;100.00;723;723;3;3;2;2;1;1;7;7;8;8;4;4;2;2;42.86;419;40.91;2674;2674;2143;2143;531;531;23;23;48;48;447;447;276;276;171;171;3;3;16;16;75.13;75.13;50.23;50.23;199;199;186;186;36;36;1495;513328;513328;197.57;197.57;133.07;133.07;54.05;54.05;174.58;174.58;172.49;172.49;37.6;37.6;6.65;6.65;0.11;62;62;160.5;160.5;216.8;216.8;98.75;98.75;285.92;285.92;241.21;241.21;143.47;143.47;169.4;169.4;132.94;132.94;82.33;82.33;1983;1812;2204;2801;2;2;1;1
Tr3bla & Banjae & velocity;"! vax '""";4;1;25.00;1378;344.5;3;0.75;3;0.75;3;0.75;15;3.75;29;7.25;13;3.25;8;2;20;430.25;46.39;8879;2219.75;6476;1619;2403;600.75;74;18.5;211;52.75;2504;626;1546;386.5;958;239.5;18;4.5;84;21;133.95;33.49;108.89;27.22;1536;384;906;226.5;251;62.75;1584.61;1861980;465495;543.25;135.81;492.29;123.07;236.62;59.15;684.44;171.11;528.17;132.04;59.57;14.89;20.9;5.22;0.11;193;48.25;599.2;149.8;615;153.75;340.95;85.24;931.22;232.81;728.08;182.02;544.09;136.02;542.02;135.51;374.13;93.53;356;89;2073.92;1922.91;2234.05;2820.94;1;0.25;2;0.5
Tr3bla & Banjae & velocity;!saphiix;1;1;100.00;572;572;2;2;0;0;3;3;3;3;6;6;3;3;3;3;66.67;340;49.22;2334;2334;1832;1832;502;502;22;22;47;47;196;196;97;97;99;99;1;1;9;9;29.09;29.09;39.14;39.14;132;132;386;386;3;3;1542;501665;501665;182.34;182.34;136.39;136.39;61.24;61.24;169.02;169.02;180.47;180.47;30.49;30.49;7.1;7.1;0.08;88;88;206.1;206.1;145;145;75.69;75.69;304.28;304.28;260.12;260.12;119.86;119.86;192.8;192.8;131.37;131.37;55.81;55.81;2608;2430;2879;3282;0;0;0;0
& & kawa-0407;&;1;0;0.00;190;190;0;0;0;0;1;1;1;1;9;9;3;3;1;1;0;383;48.09;2291;2291;1533;1533;758;758;20;20;66;66;459;459;202;202;257;257;3;3;22;22;36.3;36.3;41.38;41.38;462;462;473;473;97;97;1608;499156;499156;134.12;134.12;120.53;120.53;71.12;71.12;193.99;193.99;116.98;116.98;14.8;14.8;5.04;5.04;0.12;43;43;172.6;172.6;151.2;151.2;113.08;113.08;212.7;212.7;198.5;198.5;127.27;127.27;136.3;136.3;111.86;111.86;77.62;77.62;2413;2099;2630;3100;1;1;3;3
Tr3bla & Banjae & velocity;&&;1;0;0.00;913;913;4;4;0;0;2;2;7;7;8;8;5;5;3;3;57.14;457;44.62;2745;2745;1949;1949;796;796;25;25;68;68;675;675;306;306;369;369;4;4;31;31;48;48;31.48;31.48;473;473;565;565;94;94;1637;569591;569591;159.69;159.69;156.54;156.54;70.04;70.04;231.36;231.36;120.38;120.38;34.54;34.54;8.9;8.9;0.11;78;78;176.5;176.5;177.7;177.7;65.58;65.58;320.7;320.7;226.22;226.22;160.05;160.05;148.86;148.86;144.18;144.18;93.23;93.23;2058;1799;2344;3016;1;1;0;0
Tr3bla & Banjae & velocity;-gabi;2;1;50.00;1417;708.5;5;2.5;2;1;6;3;9;4.5;20;10;7;3.5;1;0.5;55.56;429.06;44.22;5744;2872;3842;1921;1902;951;46;23;159;79.5;1314;657;627;313.5;687;343.5;7;3.5;59;29.5;86.24;43.12;69.89;34.94;794;397;716;358;78;39;1515.82;1134236;567118;397.11;198.55;285.02;142.51;128.13;64.07;455.1;227.55;308.04;154.02;47.12;23.56;12.88;6.44;0.12;100;50;384.5;192.25;391;195.5;215.49;107.74;594.77;297.39;484.27;242.14;325.98;162.99;334.87;167.43;287.56;143.78;187.83;93.92;2245.42;2097.17;2338.73;3131.79;3;1.5;0;0
Tr3bla & Banjae & velocity;-yova;4;1;25.00;2251;562.75;6;1.5;5;1.25;5;1.25;18;4.5;46;11.5;17;4.25;6;1.5;33.33;439;42.52;9196;2299;6819;1704.75;2377;594.25;82;20.5;204;51;1225;306.25;641;160.25;584;146;7;1.75;52;13;203.3;50.82;138.53;34.63;1768;442;1424;356;55;13.75;1577.95;1920425;480106.25;596.8;149.2;432.99;108.25;298.09;74.52;659.54;164.89;574.42;143.61;93.91;23.48;24.36;6.09;0.09;280;70;641.9;160.48;649.5;162.38;343.03;85.76;984.86;246.21;895.27;223.82;432.61;108.15;683.14;170.79;389.2;97.3;255.54;63.89;2150.84;1811.18;2518.28;2981.34;5;1.25;6;1.5
Tr3bla & Banjae & velocity;.;4;3;75.00;2022;505.5;3;0.75;3;0.75;13;3.25;8;2;37;9.25;8;2;1;0.25;37.5;436.14;51.22;8753;2188.25;6395;1598.75;2358;589.5;84;21;216;54;1626;406.5;852;213;774;193.5;11;2.75;70;17.5;131.39;32.85;141.27;35.32;1063;265.75;2059;514.75;292;73;1543.01;1776651;444162.75;559.68;139.92;446.57;111.64;223.43;55.86;640.38;160.1;507.23;126.81;82.07;20.52;26.21;6.55;0.12;215;53.75;608;152;587.4;146.85;304.81;76.2;924.87;231.22;846.54;211.63;383.14;95.79;629.66;157.42;384.14;96.04;215.89;53.97;2285.41;2076.37;2466.32;2780.09;2;0.5;3;0.75
Tr3bla & Banjae & velocity;.;4;2;50.00;1925;481.25;6;1.5;3;0.75;6;1.5;15;3.75;33;8.25;12;3;4;1;40;474.08;48.26;11106;2776.5;7928;1982;3178;794.5;90;22.5;285;71.25;3071;767.75;1986;496.5;1085;271.25;23;5.75;98;24.5;164.26;41.06;116.55;29.14;1163;290.75;1114;278.5;343;85.75;1582.36;2061244;515311;604.94;151.24;543.03;135.76;262.02;65.5;757.22;189.3;589.54;147.39;63.24;15.81;39.44;9.86;0.09;428;107;669.1;167.27;684.1;171.02;375.11;93.78;1034.89;258.72;875.26;218.82;534.73;133.68;654.75;163.69;428.98;107.24;326.28;81.57;2375.64;2340.65;2419.78;3069.08;3;0.75;3;0.75
Tr3bla & Banjae & velocity;.;8;6;75.00;4127;515.88;13;1.62;10;1.25;13;1.62;31;3.88;63;7.88;26;3.25;12;1.5;41.94;427;45.64;19684;2460.5;14612;1826.5;5072;634;184;23;446;55.75;5146;643.25;3434;429.25;1712;214;43;5.38;151;18.88;326.94;40.87;257.59;32.2;4170;521.25;3687;460.88;900;112.5;1580.06;3901754;487719.25;1321.41;165.18;978.15;122.27;562.89;70.36;1697.41;212.18;1011.67;126.46;153.34;19.17;38.34;4.79;0.1;359;44.88;1443.2;180.4;1405.8;175.72;752.04;94;2110.42;263.8;1876.57;234.57;985.89;123.24;1409.57;176.2;843.91;105.49;608.98;76.12;2583.12;2340.5;2759.57;3144.45;9;1.12;23;2.88
