team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Rez & Aleksiii & Tr3bla;;4;1;25.00;3071;767.75;9;2.25;4;1;8;2;29;7.25;51;12.75;18;4.5;7;1.75;31.03;455.61;45.79;14529;3632.25;10331;2582.75;4198;1049.5;125;31.25;367;91.75;3363;840.75;2145;536.25;1218;304.5;25;6.25;106;26.5;295.06;73.76;178.22;44.56;2114;528.5;2074;518.5;264;66;1633.2;2926207;731551.75;767.37;191.84;750.21;187.55;418.26;104.57;1008.68;252.17;795.12;198.78;132.03;33.01;36.23;9.06;0.12;309;77.25;836.1;209.02;1038.7;259.68;473.78;118.45;1462.05;365.51;1223.3;305.82;712.54;178.14;887.14;221.79;615.37;153.84;433.33;108.33;2125.99;1849.12;2375.18;3035.72;2;0.5;7;1.75
KnightYuh :) & vBellG. & Troy7356;" ";1;1;100.00;725;725;2;2;0;0;4;4;4;4;6;6;1;1;1;1;50;460;54.93;2415;2415;1637;1637;778;778;22;22;63;63;567;567;194;194;373;373;4;4;25;25;38.23;38.23;29.67;29.67;517;517;585;585;205;205;1555;490628;490628;140.38;140.38;138.65;138.65;51.87;51.87;188.91;188.91;117.88;117.88;24.1;24.1;8.09;8.09;0.15;54;54;197.9;197.9;120.7;120.7;64.11;64.11;266.79;266.79;209.09;209.09;121.8;121.8;163.47;163.47;98.34;98.34;69.08;69.08;2152;2201;2116;3277;2;2;0;0
Rez & Aleksiii & Tr3bla;"   Dani___RL   ";4;0;0.00;2272;568;8;2;3;0.75;6;1.5;14;3.5;34;8.5;20;5;9;2.25;57.14;447.05;46.61;10166;2541.5;8237;2059.25;1929;482.25;94;23.5;176;44;1372;343;770;192.5;602;150.5;8;2;53;13.25;136.22;34.06;177.12;44.28;1500;375;1093;273.25;30;7.5;1478.4;1845116;461279;706.87;176.72;483.82;120.96;198.13;49.53;793.32;198.33;515.2;128.8;80.3;20.08;14.9;3.72;0.12;123;30.75;617.6;154.4;672.6;168.15;351.54;87.88;1037.29;259.32;985.21;246.3;403.6;100.9;745.82;186.45;407.65;101.91;235.37;58.84;2196.88;1914.96;2403.47;2850.69;3;0.75;2;0.5
Rez & Aleksiii & Tr3bla;" Cayyh";5;3;60.00;2604;520.8;5;1;0;0;12;2.4;28;5.6;40;8;10;2;4;0.8;17.86;490.67;50.35;15331;3066.2;11863;2372.6;3468;693.6;138;27.6;298;59.6;3464;692.8;2361;472.2;1103;220.6;27;5.4;94;18.8;233.72;46.74;203.74;40.75;1392;278.4;2036;407.2;378;75.6;1555.19;2798757;559751.38;797.29;159.46;774.19;154.84;321.39;64.28;862.12;172.42;865.48;173.1;165.3;33.06;53.91;10.78;0.11;486;97.2;891.5;178.3;940.4;188.08;494.77;98.95;1398.11;279.62;1160.28;232.06;732.6;146.52;857.98;171.6;597.92;119.58;436.98;87.4;1968.05;1704.37;2244.51;2823.04;4;0.8;6;1.2
Rez & Aleksiii & Tr3bla;!;7;5;71.43;4595;656.43;18;2.57;6;0.86;18;2.57;32;4.57;66;9.43;26;3.71;14;2;56.25;377.42;46.23;14827;2118.14;10485;1497.86;4342;620.29;125;17.86;373;53.29;2976;425.14;1529;218.43;1447;206.71;21;3;120;17.14;321.85;45.98;204.71;29.24;1921;274.43;2142;306;598;85.43;1506.36;3271313;467330.44;1158.5;165.5;871.81;124.54;365.79;52.26;1312.94;187.56;985.53;140.79;97.66;13.95;18.12;2.59;0.15;128;18.29;1141.3;163.04;1120.9;160.13;555.1;79.3;1841.01;263;1613.85;230.55;782.25;111.75;1179.79;168.54;729.78;104.25;486.52;69.5;2173.86;2066.71;2265.13;2816.19;6;0.86;9;1.29
. & ikee279 & !;!;2;2;100.00;1173;586.5;4;2;4;2;4;2;7;3.5;9;4.5;3;1.5;3;1.5;57.14;414.81;50.33;3211;1605.5;2201;1100.5;1010;505;29;14.5;96;48;632;316;352;176;280;140;5;2.5;28;14;58.72;29.36;43.37;21.69;557;278.5;695;347.5;169;84.5;1612.98;717447;358723.5;209.98;104.99;183.98;91.99;96.49;48.24;257.35;128.68;207.48;103.74;25.63;12.82;10.33;5.16;0.11;89;44.5;216.3;108.15;241.3;120.65;94.28;47.14;396.17;198.08;311.36;155.68;179.1;89.55;223.37;111.68;164.25;82.12;102.82;51.41;2047.05;1943.28;2099.03;2875.11;1;0.5;0;0
Rez & Aleksiii & Tr3bla;!;10;5;50.00;5067;506.7;12;1.2;9;0.9;24;2.4;32;3.2;74;7.4;31;3.1;19;1.9;37.5;438.24;41.21;22633;2263.3;15993;1599.3;6640;664;180;18;537;53.7;4835;483.5;2611;261.1;2224;222.4;30;3;178;17.8;460.04;46;251.86;25.19;2524;252.4;1414;141.4;356;35.6;1519.76;4518195;451819.5;1515.7;151.57;1158.65;115.87;538.99;53.9;1702.28;170.23;1280.2;128.02;230.84;23.08;51.76;5.18;0.15;340;34;1516.5;151.65;1533;153.3;769.33;76.93;2444;244.4;2006.2;200.62;1207.13;120.71;1435.15;143.51;1069.09;106.91;709.07;70.91;2274.02;2152.84;2348.67;2971.72;5;0.5;4;0.4
Rez & Aleksiii & Tr3bla;!;1;1;100.00;388;388;1;1;1;1;1;1;4;4;5;5;2;2;2;2;25;433;45.91;2351;2351;1770;1770;581;581;21;21;46;46;753;753;498;498;255;255;6;6;18;18;47.46;47.46;42.6;42.6;512;512;330;330;102;102;1617;460121;460121;134.09;134.09;112.89;112.89;63.65;63.65;179.22;179.22;111.9;111.9;19.52;19.52;4.91;4.91;0.1;51;51;159.4;159.4;129.6;129.6;77.83;77.83;232.8;232.8;190.88;190.88;119.76;119.76;146.37;146.37;86.95;86.95;77.31;77.31;2176;1998;2364;3105;3;3;0;0
! Ghassan & Rixy.;! Ghassan;2;0;0.00;835;417.5;2;1;2;1;4;2;8;4;20;10;8;4;4;2;25;453.71;48.81;5402;2701;3963;1981.5;1439;719.5;51;25.5;131;65.5;1260;630;773;386.5;487;243.5;9;4.5;44;22;98.14;49.07;83.45;41.72;791;395.5;1178;589;141;70.5;1540.1;1016351;508175.5;331.17;165.58;264.71;132.35;115.76;57.88;398.52;199.26;275.89;137.95;37.22;18.61;15.37;7.68;0.1;155;77.5;358.3;179.15;319.3;159.65;196.09;98.04;515.54;257.77;428.88;214.44;282.74;141.37;301;150.5;250.65;125.32;159.98;79.99;2611.34;2535.24;2704.35;3216.31;2;1;1;0.5
Rez & Aleksiii & Tr3bla;! Mohammed.;1;0;0.00;512;512;1;1;0;0;3;3;3;3;12;12;4;4;4;4;33.33;463;48.35;2101;2101;1379;1379;722;722;16;16;52;52;392;392;178;178;214;214;2;2;13;13;27.74;27.74;34.51;34.51;255;255;264;264;40;40;1662;450509;450509;113.01;113.01;110.95;110.95;66.31;66.31;128.04;128.04;135.11;135.11;27.13;27.13;7.66;7.66;0.09;86;86;164.8;164.8;114.5;114.5;70.13;70.13;220.15;220.15;216.12;216.12;74.15;74.15;169.25;169.25;74.24;74.24;46.78;46.78;2003;1761;2205;2857;1;1;1;1
