team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Zamue & Nachitow;;3;3;100.00;1889;629.67;6;2;7;2.33;5;1.67;14;4.67;17;5.67;8;2.67;3;1;42.86;391.42;47.97;5908;1969.33;4323;1441;1585;528.33;53;17.67;142;47.33;1025;341.67;516;172;509;169.67;7;2.33;45;15;86.57;28.86;88.6;29.53;622;207.33;1002;334;181;60.33;1507.86;1285225;428408.34;474.4;158.13;341.41;113.8;123.4;41.13;491.12;163.71;392.34;130.78;55.74;18.58;16.86;5.62;0.11;157;52.33;425.6;141.87;440.9;146.97;207.87;69.29;731.35;243.78;592.62;197.54;346.6;115.53;405.14;135.05;334.05;111.35;200.04;66.68;2326.38;2102.86;2517.56;2947.94;3;1;3;1
rizun & TxMpeR & shallow _0;"   Dani___RL   ";1;1;100.00;575;575;2;2;1;1;3;3;3;3;5;5;1;1;0;0;66.67;333;52.84;1597;1597;1187;1187;410;410;14;14;33;33;255;255;101;101;154;154;2;2;10;10;45.04;45.04;34.81;34.81;112;112;221;221;107;107;1357;342106;342106;166.31;166.31;78.53;78.53;26.7;26.7;155.99;155.99;101.85;101.85;13.7;13.7;3.28;3.28;0.15;22;22;152.5;152.5;108.8;108.8;47.39;47.39;224.15;224.15;208.88;208.88;62.66;62.66;138.16;138.16;99.48;99.48;33.89;33.89;2754;2952;2488;3192;0;0;1;1
rizun & TxMpeR & shallow _0;!;7;1;14.29;2479;354.14;6;0.86;3;0.43;9;1.29;22;3.14;50;7.14;21;3;10;1.43;27.27;381.95;47.44;12291;1755.86;8717;1245.29;3574;510.57;104;14.86;303;43.29;2575;367.86;1460;208.57;1115;159.29;17;2.43;92;13.14;270.59;38.66;166.35;23.76;1634;233.43;1764;252;249;35.57;1500.44;2627090;375298.56;895.31;127.9;660.62;94.37;325.77;46.54;1031.9;147.41;753.81;107.69;95.98;13.71;19.5;2.79;0.12;136;19.43;997.2;142.46;814.8;116.4;412.63;58.95;1469.05;209.86;1299.78;185.68;581.91;83.13;955.94;136.56;601.67;85.95;324.1;46.3;2265.65;2122.55;2328.17;2913.47;2;0.29;1;0.14
rizun & TxMpeR & shallow _0;!;8;3;37.50;3106;388.25;3;0.38;6;0.75;18;2.25;31;3.88;71;8.88;22;2.75;11;1.38;9.68;405.8;47.34;17338;2167.25;12636;1579.5;4702;587.75;155;19.38;413;51.62;3090;386.25;1644;205.5;1446;180.75;20;2.5;127;15.88;273.07;34.13;265;33.12;2189;273.62;2813;351.62;353;44.12;1541.76;3531989;441498.62;1106.38;138.3;893.48;111.68;433.9;54.24;1287.91;160.99;991.81;123.98;154.05;19.26;34.11;4.26;0.14;239;29.88;1132.4;141.55;1232.5;154.06;579.84;72.48;1853.93;231.74;1610.14;201.27;823.65;102.96;1132.07;141.51;829.15;103.64;472.55;59.07;2301.74;2047.64;2525.98;2841.32;3;0.38;14;1.75
rizun & TxMpeR & shallow _0;! A1zy.;3;2;66.67;1310;436.67;4;1.33;2;0.67;5;1.67;11;3.67;13;4.33;5;1.67;2;0.67;36.36;413.57;51.49;5893;1964.33;4581;1527;1312;437.33;55;18.33;110;36.67;1075;358.33;784;261.33;291;97;10;3.33;26;8.67;101.18;33.73;100.3;33.43;941;313.67;899;299.67;218;72.67;1528.29;1188018;396006;397.04;132.35;288.25;96.08;153.44;51.15;455.12;151.71;332.76;110.92;50.84;16.95;10.11;3.37;0.12;79;26.33;384.4;128.13;400.7;133.57;215.81;71.94;622.91;207.64;543.89;181.3;294.83;98.28;392.13;130.71;275.88;91.96;170.71;56.9;2120.62;1956.53;2202.24;2878.24;4;1.33;1;0.33
sqxshyy & ! Ghassan;! Ghassan;1;0;0.00;789;789;1;1;1;1;8;8;2;2;16;16;3;3;2;2;50;383;52.6;2413;2413;1774;1774;639;639;23;23;55;55;290;290;150;150;140;140;2;2;12;12;27.34;27.34;53.38;53.38;494;494;556;556;49;49;1362;477625;477625;208.83;208.83;131.96;131.96;32.11;32.11;234.48;234.48;123.92;123.92;14.51;14.51;7.26;7.26;0.11;65;65;221.7;221.7;147.3;147.3;72.82;72.82;300.09;300.09;281.68;281.68;91.23;91.23;224.76;224.76;102.88;102.88;45.26;45.26;2685;2472;2900;3151;0;0;5;5
Marc :( & ! Noah;! Noah;1;1;100.00;559;559;0;0;0;0;5;5;2;2;7;7;1;1;1;1;0;443;47.31;2665;2665;1900;1900;765;765;23;23;67;67;485;485;243;243;242;242;3;3;21;21;46.37;46.37;43.16;43.16;433;433;410;410;57;57;1595;548146;548146;137.5;137.5;173.22;173.22;47.93;47.93;185.01;185.01;152.84;152.84;20.8;20.8;7;7;0.12;59;59;172.7;172.7;175.8;175.8;82.78;82.78;275.87;275.87;247.37;247.37;111.27;111.27;182.93;182.93;112.33;112.33;63.38;63.38;2384;2154;2482;2744;3;3;0;0
rizun & TxMpeR & shallow _0;! Oreos.;4;3;75.00;1659;414.75;1;0.25;5;1.25;13;3.25;10;2.5;30;7.5;7;1.75;3;0.75;10;495;48.89;9085;2271.25;7116;1779;1969;492.25;85;21.25;179;44.75;2254;563.5;1774;443.5;480;120;21;5.25;43;10.75;118.22;29.56;201.75;50.44;2176;544;1467;366.75;337;84.25;1574.04;1624607;406151.75;480.3;120.07;409.82;102.45;215.75;53.94;641.68;160.42;412.4;103.1;51.78;12.95;25.25;6.31;0.1;259;64.75;598;149.5;480.8;120.2;211.5;52.88;894.36;223.59;707.82;176.96;398.05;99.51;532.81;133.2;354.99;88.75;218.06;54.51;2397.29;2335.65;2456.94;3217.07;8;2;7;1.75
rizun & TxMpeR & shallow _0;! TKL;1;0;0.00;252;252;0;0;1;1;1;1;3;3;9;9;4;4;3;3;0;475;48.45;2856;2856;2058;2058;798;798;25;25;68;68;495;495;253;253;242;242;3;3;18;18;51.36;51.36;31.54;31.54;386;386;454;454;46;46;1638;552868;552868;150.19;150.19;129.4;129.4;87.68;87.68;170.24;170.24;167.34;167.34;29.69;29.69;9.09;9.09;0.09;105;105;169.7;169.7;179.7;179.7;120.47;120.47;246.79;246.79;274.04;274.04;93.22;93.22;206.63;206.63;113.57;113.57;47.06;47.06;1960;1850;2037;2728;2;2;1;1
!asw & Youms;!asw;1;0;0.00;455;455;0;0;0;0;3;3;6;6;7;7;1;1;1;1;0;521;53.53;2757;2757;2103;2103;654;654;25;25;63;63;663;663;441;441;222;222;6;6;21;21;31.12;31.12;48.93;48.93;494;494;430;430;158;158;1673;519657;519657;103.09;103.09;139.44;139.44;75.42;75.42;172.3;172.3;121.01;121.01;24.64;24.64;6.26;6.26;0.14;45;45;162.1;162.1;159.9;159.9;73.86;73.86;244.09;244.09;189.36;189.36;128.59;128.59;132.94;132.94;101.17;101.17;83.84;83.84;2047;1927;2143;2791;0;0;0;0
Siddo & NEone4u & blura;!carolo;1;1;100.00;711;711;3;3;2;2;1;1;8;8;4;4;2;2;1;1;37.5;430;47.29;1777;1777;1328;1328;449;449;16;16;44;44;337;337;189;189;148;148;2;2;16;16;29.45;29.45;33.76;33.76;197;197;281;281;18;18;1646;383707;383707;111.06;111.06;87.98;87.98;60.03;60.03;125.65;125.65;119.83;119.83;13.6;13.6;2.91;2.91;0.07;43;43;105;105;137.8;137.8;61.39;61.39;197.69;197.69;161.09;161.09;97.99;97.99;119.51;119.51;75.75;75.75;63.81;63.81;1842;1972;1757;2899;0;0;0;0
rizun & TxMpeR & shallow _0;!saphiix;1;0;0.00;236;236;0;0;1;1;1;1;1;1;11;11;5;5;3;3;0;475;47.89;1814;1814;1269;1269;545;545;18;18;49;49;354;354;207;207;147;147;3;3;13;13;13.73;13.73;17.23;17.23;363;363;459;459;4;4;1739;352067;352067;81;81;81.1;81.1;63.53;63.53;108.18;108.18;104.79;104.79;12.65;12.65;5.77;5.77;0.08;69;69;108.9;108.9;104.5;104.5;52.7;52.7;172.93;172.93;164.25;164.25;61.37;61.37;118.91;118.91;72.95;72.95;33.77;33.77;2587;2206;2774;3064;1;1;1;1
rizun & TxMpeR & shallow _0;!sk.;1;1;100.00;866;866;3;3;0;0;5;5;5;5;9;9;2;2;1;1;60;439;48.2;2620;2620;1891;1891;729;729;25;25;67;67;439;439;321;321;118;118;6;6;12;12;40.35;40.35;39.21;39.21;321;321;648;648;290;290;1543;521076;521076;171.93;171.93;128.27;128.27;63.53;63.53;187.17;187.17;156.25;156.25;20.32;20.32;5.06;5.06;0.09;58;58;174.5;174.5;169.5;169.5;76.29;76.29;287.44;287.44;238.95;238.95;124.78;124.78;168.53;168.53;119.96;119.96;75.24;75.24;2218;2081;2375;2881;1;1;0;0
