team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Gaheris & Reevo & Sergeant;!;24;6;25.00;10070;419.58;22;0.92;13;0.54;43;1.79;73;3.04;165;6.88;71;2.96;40;1.67;30.14;464.65;49.3;54306;2262.75;39177;1632.38;15129;630.38;522;21.75;1378;57.42;11389;474.54;6422;267.58;4967;206.96;85;3.54;452;18.83;710.12;29.59;833.31;34.72;5282;220.08;9069;377.88;1342;55.92;1615.39;10194926;424788.59;2834.4;118.1;2523.37;105.14;1445.95;60.25;3417;142.37;2836.88;118.2;549.81;22.91;153.64;6.4;0.1;1597;66.54;3356.5;139.85;3092.8;128.87;1728.99;72.04;5074.68;211.44;4380.46;182.52;2423.15;100.96;3254.2;135.59;2120.67;88.36;1428.81;59.53;2157.49;1934.77;2343.14;2898.41;32;1.33;16;0.67
! Dcw & acqua;! Dcw;3;1;33.33;1397;465.67;3;1;3;1;5;1.67;13;4.33;24;8;7;2.33;3;1;23.08;388.18;47.93;6053;2017.67;4426;1475.33;1627;542.33;52;17.33;149;49.67;1035;345;465;155;570;190;5;1.67;53;17.67;87.99;29.33;128.72;42.91;784;261.33;835;278.33;51;17;1507.77;1342171;447390.34;460.04;153.35;372.17;124.06;122.58;40.86;528.22;176.07;382.34;127.45;44.23;14.74;13.14;4.38;0.11;124;41.33;519.6;173.2;382.4;127.47;193.5;64.5;761.3;253.77;597.7;199.23;357.1;119.03;428.78;142.93;325.22;108.41;200.8;66.93;2380.02;2202.44;2529.06;2976.23;2;0.67;2;0.67
! Ghassan & Rixy.;! Ghassan;4;1;25.00;1642;410.5;3;0.75;2;0.5;7;1.75;11;2.75;34;8.5;9;2.25;6;1.5;27.27;434.4;50.3;9728;2432;7272;1818;2456;614;93;23.25;215;53.75;1832;458;1178;294.5;654;163.5;16;4;61;15.25;164.02;41;194.33;48.58;1914;478.5;2029;507.25;450;112.5;1527.44;1960353;490088.25;621.52;155.38;542.2;135.55;191.7;47.92;761.38;190.35;506.16;126.54;87.88;21.97;27.55;6.89;0.11;257;64.25;666.6;166.65;643.3;160.82;358.84;89.71;996.59;249.15;903.99;226;451.43;112.86;656.57;164.14;441.97;110.49;256.88;64.22;2411.37;2281.41;2541.58;3126.47;5;1.25;3;0.75
Gaheris & Reevo & Sergeant;! Khan.;2;2;100.00;1524;762;4;2;4;2;8;4;9;4.5;16;8;3;1.5;2;1;44.44;393.66;52.29;3897;1948.5;2770;1385;1127;563.5;35;17.5;104;52;853;426.5;595;297.5;258;129;8;4;25;12.5;40.88;20.44;58.8;29.4;543;271.5;797;398.5;214;107;1508.41;828763;414381.5;280.99;140.49;211.54;105.77;98.81;49.4;356.6;178.3;213.99;107;20.74;10.37;9.64;4.82;0.1;96;48;285.2;142.6;277.5;138.75;133.41;66.71;457.92;228.96;372.22;186.11;219.12;109.56;263.51;131.76;198.35;99.18;129.47;64.74;2447.36;2201.76;2668.02;3219.6;3;1.5;0;0
Gaheris & Reevo & Sergeant;! TKL;4;1;25.00;2434;608.5;7;1.75;2;0.5;12;3;11;2.75;40;10;15;3.75;8;2;63.64;436.84;46.4;9063;2265.75;7029;1757.25;2034;508.5;83;20.75;178;44.5;1461;365.25;820;205;641;160.25;11;2.75;56;14;148.48;37.12;184.32;46.08;775;193.75;1273;318.25;278;69.5;1541.26;1905678;476419.5;630.61;157.65;492.27;123.07;221.96;55.49;653.91;163.48;575.48;143.87;115.44;28.86;28.04;7.01;0.09;289;72.25;648;162;631.2;157.8;304.74;76.19;1040.08;260.02;900.6;225.15;444.22;111.06;677.77;169.44;418.43;104.61;248.64;62.16;2186.91;1972.1;2378.9;2761.39;2;0.5;5;1.25
Gaheris & Reevo & Sergeant;! Z H E N #;5;3;60.00;2362;472.4;6;1.2;6;1.2;10;2;20;4;39;7.8;14;2.8;10;2;30;396.1;48.19;9947;1989.4;6512;1302.4;3435;687;79;15.8;300;60;2703;540.6;1474;294.8;1229;245.8;17;3.4;111;22.2;136.89;27.38;119.58;23.92;1496;299.2;1351;270.2;248;49.6;1535.7;2090442;418088.41;697.77;139.55;549.3;109.86;244.91;48.98;830.11;166.02;564.57;112.91;97.3;19.46;20.49;4.1;0.11;183;36.6;753.3;150.66;673;134.6;328.4;65.68;1163.58;232.72;913.9;182.78;578.07;115.61;644.31;128.86;522.32;104.46;325.32;65.06;2217.17;2162.36;2265.47;2884.27;2;0.4;8;1.6
A7mrr. & $Zerno;$Zerno;2;1;50.00;989;494.5;4;2;0;0;3;1.5;13;6.5;11;5.5;4;2;2;1;30.77;457.19;43.98;5403;2701.5;4278;2139;1125;562.5;51;25.5;91;45.5;620;310;189;94.5;431;215.5;3;1.5;29;14.5;190.15;95.07;73.44;36.72;815;407.5;836;418;110;55;1572.82;1085779;542889.5;308.38;154.19;288.21;144.11;132.97;66.49;381.19;190.6;306.62;153.31;41.76;20.88;12.56;6.28;0.12;99;49.5;398.9;199.45;317.2;158.6;143.89;71.94;585.69;292.85;505;252.5;224.57;112.29;357.03;178.51;249.71;124.86;122.84;61.42;2434.27;2225.07;2620.27;3113.52;0;0;2;1
Acrux & -tms;-tms;1;0;0.00;242;242;1;1;0;0;0;0;6;6;6;6;4;4;2;2;16.67;477;50.42;1827;1827;1187;1187;640;640;16;16;61;61;176;176;0;0;176;176;0;0;16;16;36.99;36.99;32.44;32.44;369;369;454;454;10;10;1735;395173;395173;84;84;95.78;95.78;66.41;66.41;135.44;135.44;98.03;98.03;12.71;12.71;4.37;4.37;0.08;53;53;123.1;123.1;102.4;102.4;57.22;57.22;188.97;188.97;155.75;155.75;90.44;90.44;104.16;104.16;83.88;83.88;58.14;58.14;2819;2775;2874;3409;0;0;0;0
Gaheris & Reevo & Sergeant;-trace;4;3;75.00;2541;635.25;6;1.5;1;0.25;14;3.5;21;5.25;35;8.75;8;2;4;1;28.57;417.65;47.06;8227;2056.75;5883;1470.75;2344;586;68;17;204;51;1269;317.25;621;155.25;648;162;8;2;58;14.5;175.63;43.91;128.32;32.08;818;204.5;904;226;105;26.25;1474.77;1697509;424377.25;623.62;155.9;435.76;108.94;164.07;41.02;656.35;164.09;463.69;115.92;103.42;25.85;20.36;5.09;0.12;171;42.75;590.8;147.7;606.9;151.73;268.03;67.01;955.41;238.85;771.6;192.9;451.85;112.96;557.99;139.5;412.38;103.1;253.06;63.26;2415.78;2217.39;2556.27;3283.48;1;0.25;5;1.25
ezox & -yova & Penz22;-yova;1;1;100.00;645;645;2;2;1;1;4;4;3;3;10;10;2;2;2;2;66.67;377;42.14;2003;2003;1222;1222;781;781;14;14;64;64;186;186;72;72;114;114;1;1;12;12;37.08;37.08;35.22;35.22;242;242;200;200;28;28;1435;478188;478188;193.23;193.23;106.45;106.45;59.71;59.71;162.62;162.62;178.48;178.48;18.29;18.29;7.94;7.94;0.1;83;83;195.5;195.5;150.2;150.2;61.05;61.05;298.35;298.35;277.23;277.23;82.16;82.16;194.1;194.1;124.34;124.34;40.95;40.95;2364;2392;2340;2911;1;1;0;0
Gaheris & Reevo & Sergeant;.;1;0;0.00;284;284;0;0;0;0;2;2;2;2;6;6;2;2;1;1;0;444;48.67;1992;1992;1187;1187;805;805;17;17;59;59;447;447;109;109;338;338;2;2;23;23;40.34;40.34;31.66;31.66;264;264;537;537;90;90;1584;432228;432228;114.85;114.85;120.02;120.02;46.29;46.29;146.68;146.68;122.28;122.28;12.19;12.19;6.3;6.3;0.12;54;54;144.3;144.3;134.7;134.7;68.26;68.26;212.89;212.89;163.87;163.87;117.28;117.28;114.59;114.59;100.54;100.54;66.02;66.02;2026;1957;2057;2779;0;0;0;0
Gaheris & Reevo & Sergeant;.;13;10;76.92;7954;611.85;25;1.92;10;0.77;26;2;69;5.31;91;7;33;2.54;17;1.31;36.23;477.74;45.27;31293;2407.15;23016;1770.46;8277;636.69;270;20.77;726;55.85;5061;389.31;2392;184;2669;205.31;28;2.15;224;17.23;709.23;54.56;450.66;34.67;5446;418.92;3804;292.62;442;34;1555.5;5816117;447393.62;1886.15;145.09;1436.03;110.46;749.6;57.66;2115.24;162.71;1631.67;125.51;324.85;24.99;86.92;6.69;0.12;707;54.38;2004;154.15;1807.2;139.02;864.44;66.5;3207.35;246.72;2633.16;202.55;1438.63;110.66;1940.18;149.24;1285.26;98.87;846.35;65.1;2358.17;2138.59;2568.56;2943.24;9;0.69;8;0.62
. & vghost;.;2;1;50.00;1186;593;3;1.5;4;2;4;2;11;5.5;18;9;7;3.5;3;1.5;27.27;480;51.26;5530;2765;3905;1952.5;1625;812.5;51;25.5;144;72;1554;777;956;478;598;299;12;6;51;25.5;43.91;21.95;51.51;25.76;811;405.5;1074;537;170;85;1605.45;1040423;520211.5;301.6;150.8;253.4;126.7;157.14;78.57;376.1;188.05;293.46;146.73;42.58;21.29;14.77;7.39;0.12;121;60.5;343.3;171.65;325.7;162.85;172.07;86.04;540.06;270.03;418.38;209.19;293.76;146.88;290.84;145.42;246.61;123.31;174.7;87.35;2446.32;2194.74;2677.57;3261.93;1;0.5;2;1
Gaheris & Reevo & Sergeant;.;16;8;50.00;8369;523.06;22;1.38;17;1.06;35;2.19;62;3.88;147;9.19;57;3.56;24;1.5;35.48;439.3;47.94;37407;2337.94;27198;1699.88;10209;638.06;333;20.81;898;56.12;7903;493.94;4476;279.75;3427;214.19;56;3.5;300;18.75;504.83;31.55;581.67;36.35;7373;460.81;6088;380.5;1064;66.5;1598.02;7439822;464988.88;2180.8;136.3;1862.7;116.42;1059.7;66.23;2962.12;185.13;1912.28;119.52;228.78;14.3;89.04;5.57;0.12;820;51.25;2488.8;155.55;2463.4;153.96;1378.36;86.15;3724.83;232.8;3228.01;201.75;1875.18;117.2;2290.27;143.14;1722.33;107.65;1090.55;68.16;2352.08;2170.56;2480.07;3032.74;16;1;16;1
