team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   JWeyts    & CheeseFace";"   JWeyts   ";1;1;100.00;733;733;2;2;1;1;4;4;4;4;11;11;1;1;1;1;50;383;48.99;2083;2083;1474;1474;609;609;18;18;56;56;446;446;260;260;186;186;3;3;17;17;20.63;20.63;35.41;35.41;221;221;357;357;50;50;1564;449068;449068;139.24;139.24;110.24;110.24;57.23;57.23;176.69;176.69;109.54;109.54;20.49;20.49;3.37;3.37;0.12;29;29;129.4;129.4;159.6;159.6;90.17;90.17;216.55;216.55;209.3;209.3;97.42;97.42;167.33;167.33;84.44;84.44;54.95;54.95;2237;2125;2391;3177;0;0;0;0
Reevo & Mat. & GiuK;" Cayyh";1;1;100.00;673;673;3;3;1;1;1;1;5;5;4;4;1;1;0;0;60;421;48.77;1355;1355;998;998;357;357;12;12;33;33;414;414;277;277;137;137;3;3;12;12;34.16;34.16;19.8;19.8;238;238;228;228;30;30;1606;310997;310997;87.94;87.94;84.31;84.31;40.84;40.84;104.87;104.87;91.42;91.42;16.8;16.8;3.43;3.43;0.09;37;37;83.8;83.8;108.4;108.4;51.51;51.51;161.58;161.58;117.49;117.49;95.6;95.6;79.58;79.58;67.72;67.72;65.79;65.79;1962;1693;2272;2666;0;0;0;0
Reevo & Mat. & GiuK;!;1;0;0.00;501;501;1;1;1;1;2;2;6;6;12;12;5;5;3;3;16.67;422;46.91;2675;2675;1979;1979;696;696;24;24;63;63;393;393;175;175;218;218;2;2;19;19;40.11;40.11;39.4;39.4;613;613;422;422;24;24;1637;553559;553559;151.04;151.04;138.5;138.5;83.82;83.82;226.4;226.4;133.65;133.65;13.32;13.32;6.31;6.31;0.13;48;48;180.4;180.4;175.4;175.4;76.22;76.22;297.14;297.14;248.18;248.18;125.18;125.18;188.78;188.78;124.55;124.55;60.03;60.03;2450;2238;2612;3139;2;2;5;5
acqua & ! Dcw & Chippy;! Dcw;4;2;50.00;2123;530.75;6;1.5;1;0.25;10;2.5;18;4.5;36;9;14;3.5;7;1.75;33.33;396.67;49.15;8267;2066.75;6061;1515.25;2206;551.5;73;18.25;198;49.5;1320;330;682;170.5;638;159.5;8;2;57;14.25;135.66;33.92;166.75;41.69;1163;290.75;1264;316;131;32.75;1522.97;1830715;457678.75;588.25;147.06;536.98;134.24;170.41;42.6;688.99;172.25;524.21;131.05;82.46;20.61;14.09;3.52;0.1;132;33;689.1;172.27;550.1;137.52;303.29;75.82;992.37;248.09;837.82;209.46;457.82;114.46;611.34;152.84;422.57;105.64;261.73;65.43;2492.81;2303.28;2657.82;3016.94;5;1.25;4;1
Reevo & Mat. & GiuK;! Elijae;6;3;50.00;3564;594;8;1.33;10;1.67;12;2;26;4.33;48;8;23;3.83;17;2.83;30.77;494.33;44.5;17001;2833.5;12481;2080.17;4520;753.33;139;23.17;391;65.17;3376;562.67;1902;317;1474;245.67;21;3.5;133;22.17;368.72;61.45;245.26;40.88;2850;475;1448;241.33;145;24.17;1578.95;3161954;526992.31;987.01;164.5;751.87;125.31;467.67;77.94;1044.08;174.01;946.14;157.69;216.35;36.06;38.71;6.45;0.09;459;76.5;1083.1;180.52;1021.9;170.32;551.99;92;1654.56;275.76;1401.8;233.63;804.77;134.13;1019.7;169.95;686.19;114.36;500.66;83.44;2229.32;2118.12;2344.22;2893.59;10;1.67;12;2
Reevo & Mat. & GiuK;! Khan.;3;0;0.00;1277;425.67;2;0.67;0;0;6;2;8;2.67;22;7.33;10;3.33;7;2.33;25;406.56;46.61;5873;1957.67;4198;1399.33;1675;558.33;50;16.67;145;48.33;1142;380.67;473;157.67;669;223;5;1.67;54;18;112.85;37.62;107.64;35.88;399;133;839;279.67;37;12.33;1508.82;1267840;422613.34;406.19;135.4;351.97;117.32;131.94;43.98;444.66;148.22;389.06;129.69;56.38;18.79;12.11;4.04;0.1;118;39.33;444.1;148.03;422.3;140.77;284.39;94.8;605.7;201.9;533.2;177.73;356.9;118.97;378.33;126.11;299.22;99.74;212.54;70.85;2255.15;1873.59;2496.63;3256.96;1;0.33;2;0.67
Reevo & Mat. & GiuK;! TKL;2;1;50.00;1109;554.5;3;1.5;3;1.5;3;1.5;10;5;14;7;6;3;3;1.5;30;385.39;50.36;4420;2210;3151;1575.5;1269;634.5;42;21;103;51.5;883;441.5;453;226.5;430;215;6;3;37;18.5;94.89;47.44;93.54;46.77;671;335.5;1072;536;152;76;1564.38;990524;495262;300.65;150.32;248.37;124.18;133.3;66.65;338.34;169.17;293.64;146.82;50.33;25.17;10.59;5.3;0.08;137;68.5;351;175.5;313.1;156.55;159.7;79.85;522.6;261.3;401.86;200.93;280.44;140.22;301.4;150.7;209.66;104.83;171.24;85.62;2349.96;2096.83;2605.14;2934.99;1;0.5;2;1
Reevo & Mat. & GiuK;!p;6;2;33.33;2847;474.5;9;1.5;2;0.33;10;1.67;16;2.67;49;8.17;20;3.33;7;1.17;56.25;351.08;46.99;10378;1729.67;6579;1096.5;3799;633.17;79;13.17;334;55.67;2468;411.33;1219;203.17;1249;208.17;15;2.5;110;18.33;154.65;25.77;227.35;37.89;525;87.5;1449;241.5;312;52;1540.97;2378390;396398.34;760.12;126.69;692.11;115.35;225.81;37.64;857.26;142.88;699.49;116.58;121.3;20.22;45.22;7.54;0.12;378;63;801.3;133.55;767.2;127.87;412.85;68.81;1265.18;210.86;1086.26;181.04;591.78;98.63;766.9;127.82;565.07;94.18;346.07;57.68;2251.71;2036.68;2416.47;3012.65;2;0.33;1;0.17
Reevo & Mat. & GiuK;#!@#$%;3;1;33.33;2069;689.67;3;1;2;0.67;15;5;12;4;33;11;11;3.67;6;2;25;464;44.14;8178;2726;6056;2018.67;2122;707.33;72;24;182;60.67;1537;512.33;1009;336.33;528;176;12;4;48;16;162.97;54.32;132.81;44.27;1295;431.67;989;329.67;201;67;1541.79;1455100;485033.34;472.68;157.56;379.34;126.45;171.97;57.32;543.32;181.11;429.46;143.15;51.22;17.07;15.31;5.1;0.12;127;42.33;484.8;161.6;491.5;163.83;256.63;85.54;767.38;255.79;725.38;241.79;298.62;99.54;537.54;179.18;313.86;104.62;172.6;57.53;2339.55;2215.95;2426.62;2967.1;2;0.67;3;1
Reevo & Mat. & GiuK;##boom;9;2;22.22;4290;476.67;7;0.78;7;0.78;20;2.22;39;4.33;99;11;28;3.11;12;1.33;17.95;433.09;49.02;25393;2821.44;18124;2013.78;7269;807.67;239;26.56;642;71.33;5100;566.67;2891;321.22;2209;245.44;36;4;204;22.67;309.67;34.41;387.91;43.1;4836;537.33;5694;632.67;790;87.78;1579.43;5222832;580314.69;1537.67;170.85;1246.97;138.55;732.97;81.44;1996.88;221.88;1286.36;142.93;234.38;26.04;51.07;5.67;0.1;521;57.89;1775.3;197.26;1670.6;185.62;918.95;102.11;2598.67;288.74;2265.54;251.73;1252.05;139.12;1635.23;181.69;1164.45;129.38;717.93;79.77;2178.09;1994.97;2341.18;2892.76;12;1.33;18;2
