team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   JWeyts    & CheeseFace & EleXiT.";"   JWeyts   ";7;5;71.43;3878;554;9;1.29;9;1.29;16;2.29;36;5.14;59;8.43;18;2.57;8;1.14;25;431.78;51.83;18599;2657;13889;1984.14;4710;672.86;176;25.14;432;61.71;3816;545.14;2433;347.57;1383;197.57;31;4.43;126;18;243.34;34.76;352.08;50.3;2970;424.29;3671;524.43;603;86.14;1596.04;3749609;535658.44;1093.33;156.19;898.19;128.31;536.35;76.62;1349.61;192.8;1036.55;148.08;141.71;20.24;40.4;5.77;0.13;321;45.86;1116.8;159.54;1293.1;184.73;674.64;96.38;1853.23;264.75;1586.43;226.63;941.41;134.49;1167.77;166.82;811.09;115.87;549;78.43;2349.11;2205.02;2496.06;3088.89;7;1;7;1
Syracks & mrtn & insp1re;!;4;3;75.00;2666;666.5;9;2.25;3;0.75;11;2.75;17;4.25;35;8.75;11;2.75;5;1.25;52.94;391.82;46.78;9149;2287.25;6444;1611;2705;676.25;77;19.25;244;61;1560;390;935;233.75;625;156.25;12;3;58;14.5;174.07;43.52;119.2;29.8;1252;313;1288;322;274;68.5;1531.28;2070058;517514.5;676.01;169;533.36;133.34;257.97;64.49;789;197.25;606.85;151.71;71.51;17.88;12.39;3.1;0.14;88;22;733.2;183.3;654;163.5;339.71;84.93;1127.63;281.91;1032.58;258.14;434.77;108.69;766.59;191.65;452.88;113.22;247.9;61.97;2246.49;1967.21;2484.04;2790.87;4;1;2;0.5
Syracks & mrtn & insp1re;!;10;5;50.00;6450;645;15;1.5;13;1.3;30;3;40;4;97;9.7;32;3.2;13;1.3;37.5;477.25;43.92;28557;2855.7;20519;2051.9;8038;803.8;236;23.6;713;71.3;6944;694.4;4446;444.6;2498;249.8;51;5.1;220;22;483.05;48.31;377.74;37.77;5201;520.1;3117;311.7;695;69.5;1650.85;5426927;542692.69;1379.42;137.94;1344.07;134.41;845.54;84.55;1810.99;181.1;1500.5;150.05;257.54;25.75;56.66;5.67;0.1;571;57.1;1653.7;165.37;1734.5;173.45;927.12;92.71;2641.95;264.2;2364.28;236.43;1204.77;120.48;1719.25;171.93;1117.46;111.75;732.35;73.24;2396.7;2229.86;2546.21;3033.37;9;0.9;6;0.6
carca & # F A A Y !;# F A A Y !;1;0;0.00;362;362;1;1;0;0;0;0;6;6;9;9;4;4;2;2;16.67;411;42.99;2566;2566;1746;1746;820;820;22;22;74;74;910;910;587;587;323;323;6;6;29;29;59.77;59.77;24.92;24.92;554;554;365;365;12;12;1538;501744;501744;161.55;161.55;122.84;122.84;64.48;64.48;197.35;197.35;131.47;131.47;20.05;20.05;5.51;5.51;0.11;48;48;157.8;157.8;181.8;181.8;114.39;114.39;234.48;234.48;197.1;197.1;151.77;151.77;133.2;133.2;114.45;114.45;101.22;101.22;2491;2229;2741;3054;1;1;2;2
Syracks & mrtn & insp1re;(:Lance;1;0;0.00;631;631;1;1;1;1;5;5;7;7;16;16;4;4;3;3;14.29;474;45.15;3171;3171;2288;2288;883;883;25;25;70;70;880;880;494;494;386;386;5;5;26;26;45.56;45.56;35.88;35.88;571;571;225;225;5;5;1593;641718;641718;184.11;184.11;152.77;152.77;94.78;94.78;240.46;240.46;175.65;175.65;15.55;15.55;8.58;8.58;0.15;59;59;254;254;161.6;161.6;84.61;84.61;347.05;347.05;295.88;295.88;135.78;135.78;233.8;233.8;119.73;119.73;78.13;78.13;2193;2012;2359;2790;0;0;1;1
Syracks & mrtn & insp1re;************;1;0;0.00;452;452;1;1;0;0;2;2;4;4;14;14;3;3;1;1;25;403;52.84;2399;2399;1792;1792;607;607;23;23;57;57;525;525;311;311;214;214;4;4;19;19;17.42;17.42;48.11;48.11;411;411;552;552;101;101;1580;535614;535614;156.41;156.41;137.24;137.24;68.3;68.3;213.62;213.62;139.07;139.07;9.26;9.26;4.04;4.04;0.13;32;32;186.2;186.2;172.3;172.3;103.89;103.89;258.05;258.05;245.24;245.24;116.71;116.71;188.46;188.46;104.62;104.62;68.86;68.86;2084;2161;1958;2773;3;3;5;5
Syracks & mrtn & insp1re;-;1;0;0.00;646;646;2;2;0;0;4;4;6;6;14;14;4;4;4;4;33.33;369;59.07;2159;2159;1399;1399;760;760;20;20;73;73;491;491;232;232;259;259;3;3;25;25;12.42;12.42;56.55;56.55;306;306;643;643;72;72;1607;530539;530539;150.32;150.32;130.6;130.6;76.41;76.41;200.43;200.43;135.87;135.87;21.03;21.03;8.35;8.35;0.13;62;62;193.4;193.4;143.8;143.8;86.39;86.39;270.94;270.94;215.81;215.81;141.52;141.52;157.6;157.6;104.48;104.48;95.26;95.26;2134;1992;2244;2991;1;1;1;1
Syracks & mrtn & insp1re;-trace;2;1;50.00;987;493.5;1;0.5;2;1;5;2.5;8;4;25;12.5;7;3.5;2;1;12.5;384.39;42.39;5066;2533;3229;1614.5;1837;918.5;38;19;150;75;861;430.5;319;159.5;542;271;5;2.5;41;20.5;123.14;61.57;55.86;27.93;551;275.5;611;305.5;185;92.5;1479.19;1105087;552543.5;395.82;197.91;306.01;153.01;106;53;445.7;222.85;317.56;158.78;44.57;22.28;13.12;6.56;0.12;105;52.5;399.4;199.7;375;187.5;193.43;96.71;614.42;307.21;574.01;287.01;233.82;116.91;424.98;212.49;253.55;126.78;129.3;64.65;2438.04;2487.17;2397.16;3069.77;0;0;4;2
Syracks & mrtn & insp1re;.;1;0;0.00;203;203;0;0;1;1;1;1;0;0;8;8;5;5;2;2;0;453;50.31;1897;1897;1346;1346;551;551;17;17;43;43;459;459;316;316;143;143;4;4;13;13;13.08;13.08;27.69;27.69;402;402;384;384;92;92;1546;362598;362598;132.34;132.34;76.02;76.02;58.79;58.79;162.3;162.3;89.06;89.06;15.78;15.78;5.23;5.23;0.1;52;52;132.3;132.3;110.4;110.4;65.07;65.07;202.08;202.08;184.56;184.56;82.58;82.58;140.1;140.1;86.08;86.08;40.96;40.96;2369;2157;2496;2996;1;1;1;1
Syracks & mrtn & insp1re;.;1;0;0.00;417;417;1;1;0;0;3;3;3;3;11;11;4;4;3;3;33.33;398;43.79;2414;2414;1481;1481;933;933;18;18;84;84;338;338;133;133;205;205;2;2;20;20;36.86;36.86;33.2;33.2;206;206;340;340;73;73;1444;512135;512135;211.17;211.17;125;125;49.32;49.32;209.04;209.04;148.63;148.63;27.8;27.8;9.9;9.9;0.15;64;64;197.8;197.8;162.8;162.8;71.83;71.83;313.65;313.65;293.05;293.05;92.43;92.43;223.13;223.13;121.48;121.48;40.87;40.87;2404;2302;2498;2812;0;0;1;1
Syracks & mrtn & insp1re;.;7;4;57.14;4256;608;12;1.71;6;0.86;18;2.57;40;5.71;64;9.14;23;3.29;12;1.71;30;391.19;51.76;15411;2201.57;12152;1736;3259;465.57;162;23.14;290;41.43;4183;597.57;3062;437.43;1121;160.14;39;5.57;98;14;190.53;27.22;335.35;47.91;1717;245.29;3892;556;842;120.29;1501.99;3210183;458597.56;1169.92;167.13;825.17;117.88;345.56;49.37;1241.26;177.32;927.65;132.52;171.74;24.53;37.29;5.33;0.11;331;47.29;1142.3;163.19;1098.3;156.9;568.45;81.21;1772.24;253.18;1421.94;203.13;918.72;131.25;1074.5;153.5;681.88;97.41;584.28;83.47;2408.12;2122.62;2722.02;3068.33;3;0.43;13;1.86
Syracks & mrtn & insp1re;.;12;5;41.67;6189;515.75;17;1.42;9;0.75;24;2;42;3.5;109;9.08;43;3.58;25;2.08;40.48;445.53;46.22;27760;2313.33;21135;1761.25;6625;552.08;260;21.67;571;47.58;5751;479.25;3423;285.25;2328;194;45;3.75;197;16.42;525.27;43.77;426.83;35.57;3992;332.67;4807;400.58;1040;86.67;1602.69;5326321;443860.09;1507.11;125.59;1392.31;116.03;738.77;61.56;1870.55;155.88;1539.69;128.31;227.97;19;65.25;5.44;0.13;515;42.92;1566.6;130.55;1831.7;152.64;1017.56;84.8;2620.66;218.39;2285.73;190.48;1352.48;112.71;1638.95;136.58;1167.93;97.33;831.32;69.28;2239.58;2013.15;2460.22;2878.42;11;0.92;10;0.83
Syracks & mrtn & insp1re;.;2;1;50.00;1068;534;2;1;0;0;6;3;6;3;16;8;4;2;2;1;33.33;462.07;46.37;5402;2701;3759;1879.5;1643;821.5;42;21;149;74.5;1101;550.5;700;350;401;200.5;7;3.5;34;17;98.29;49.15;74.4;37.2;783;391.5;524;262;8;4;1601.1;1029928;514964;286.2;143.1;254.19;127.1;142.8;71.4;354.2;177.1;277.87;138.93;51.12;25.56;10.93;5.47;0.11;105;52.5;337.3;168.65;323.5;161.75;161.23;80.61;521.96;260.98;459.91;229.95;223.29;111.65;349.5;174.75;208.78;104.39;124.93;62.47;2198.61;2142.35;2257.13;2914.3;0;0;3;1.5
Syracks & mrtn & insp1re;.;1;1;100.00;476;476;1;1;1;1;2;2;6;6;7;7;2;2;0;0;16.67;484;49.09;2858;2858;2061;2061;797;797;24;24;72;72;522;522;200;200;322;322;2;2;28;28;49.99;49.99;36.13;36.13;476;476;366;366;9;9;1516;527761;527761;163.4;163.4;154.81;154.81;51.74;51.74;226.92;226.92;131.32;131.32;11.7;11.7;8.03;8.03;0.14;58;58;195.9;195.9;161.4;161.4;84.97;84.97;284.98;284.98;205.51;205.51;164.44;164.44;137.93;137.93;136.87;136.87;95.14;95.14;2367;2201;2565;2771;1;1;0;0
