team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prysm! & hxll0. & Reevo;;3;3;100.00;2171;723.67;7;2.33;3;1;12;4;14;4.67;24;8;5;1.67;0;0;50;436.29;45.2;6347;2115.67;4393;1464.33;1954;651.33;50;16.67;177;59;1280;426.67;647;215.67;633;211;7;2.33;57;19;91.17;30.39;75.98;25.33;594;198;688;229.33;75;25;1574.36;1286473;428824.34;385.85;128.62;347.45;115.82;153.68;51.23;440.37;146.79;402.36;134.12;44.26;14.75;18.19;6.06;0.11;164;54.67;436.2;145.4;397.8;132.6;184.72;61.57;702.27;234.09;573.95;191.32;313.03;104.34;411.64;137.21;295.31;98.44;180.04;60.01;2451.34;2447.08;2405.31;2899.08;5;1.67;3;1
az. & ;;1;1;100.00;414;414;1;1;0;0;2;2;2;2;5;5;1;1;0;0;50;514;40.03;1836;1836;1326;1326;510;510;15;15;45;45;699;699;478;478;221;221;5;5;20;20;45.41;45.41;9.04;9.04;332;332;185;185;25;25;1660;364876;364876;81.6;81.6;102.14;102.14;47.56;47.56;100.63;100.63;110.01;110.01;20.66;20.66;6.84;6.84;0.11;64;64;112.3;112.3;114.4;114.4;53.33;53.33;177.95;177.95;139.89;139.89;91.4;91.4;98.72;98.72;71.07;71.07;61.49;61.49;2068;1605;2494;2871;1;1;2;2
prysm! & hxll0. & Reevo;"        ";3;0;0.00;840;280;2;0.67;0;0;2;0.67;10;3.33;20;6.67;10;3.33;7;2.33;20;412.94;46;6238;2079.33;4600;1533.33;1638;546;55;18.33;150;50;1526;508.67;790;263.33;736;245.33;11;3.67;63;21;110.05;36.68;129.5;43.17;612;204;957;319;307;102.33;1485.65;1247190;415730;445.41;148.47;350.73;116.91;108.11;36.04;503.84;167.95;348.29;116.1;52.12;17.37;15.76;5.25;0.08;186;62;498.9;166.3;391.3;130.43;184.86;61.62;719.39;239.8;576.21;192.07;328.05;109.35;424.37;141.46;263.61;87.87;216.27;72.09;2468.07;2435.43;2449.94;3026.87;1;0.33;6;2
prysm! & hxll0. & Reevo;"   JWeyts   ";1;0;0.00;262;262;0;0;0;0;1;1;2;2;7;7;3;3;0;0;0;433;49.48;2482;2482;1649;1649;833;833;21;21;75;75;535;535;316;316;219;219;4;4;21;21;21.92;21.92;40.95;40.95;415;415;476;476;103;103;1622;500834;500834;124.44;124.44;122.7;122.7;77.58;77.58;171.73;171.73;128.42;128.42;24.57;24.57;3.06;3.06;0.07;43;43;166;166;156.4;156.4;102.31;102.31;222.41;222.41;205.91;205.91;118.8;118.8;142.53;142.53;117.17;117.17;65.01;65.01;2625;2751;2490;3290;2;2;1;1
prysm! & hxll0. & Reevo;! A1zy.;8;0;0.00;2570;321.25;5;0.62;3;0.38;8;1;22;2.75;60;7.5;29;3.62;15;1.88;22.73;438.87;47.37;16175;2021.88;12047;1505.88;4128;516;149;18.62;354;44.25;4209;526.12;2587;323.38;1622;202.75;32;4;142;17.75;245.37;30.67;242.88;30.36;2403;300.38;2917;364.62;629;78.62;1554.95;3146068;393258.5;980.67;122.58;823.74;102.97;387.35;48.42;1160.05;145.01;894.65;111.83;137.07;17.13;25.9;3.24;0.13;202;25.25;1007.9;125.99;1106.5;138.31;658.11;82.26;1533.66;191.71;1351.31;168.91;840.44;105.06;979.38;122.42;700.95;87.62;511.42;63.93;2142.12;1943.71;2273.61;2991.86;8;1;7;0.88
. & ! wikixi;! wikixi;3;2;66.67;1481;493.67;5;1.67;1;0.33;6;2;15;5;25;8.33;6;2;3;1;33.33;446.61;49.55;6325;2108.33;4674;1558;1651;550.33;56;18.67;148;49.33;1371;457;811;270.33;560;186.67;10;3.33;49;16.33;116.71;38.9;113.32;37.77;940;313.33;1020;340;215;71.67;1622.49;1297986;432662;347.29;115.76;326.97;108.99;183.29;61.1;438;146;335.61;111.87;83.95;27.98;12.98;4.33;0.14;93;31;439.6;146.53;413.9;137.97;205.16;68.39;652.39;217.46;565.59;188.53;291.95;97.32;394.8;131.6;285.28;95.09;177.45;59.15;2357.88;2442.96;2253.02;3206.84;0;0;6;2
prysm! & hxll0. & Reevo;# F A A Y !;1;0;0.00;516;516;1;1;1;1;2;2;5;5;12;12;4;4;4;4;20;418;45.11;2848;2848;1906;1906;942;942;23;23;86;86;721;721;407;407;314;314;5;5;28;28;67.98;67.98;35.6;35.6;561;561;419;419;104;104;1525;604320;604320;200.08;200.08;160.2;160.2;68.09;68.09;258.37;258.37;140.55;140.55;29.45;29.45;6.72;6.72;0.12;56;56;194.6;194.6;213.9;213.9;108.24;108.24;320.12;320.12;251.12;251.12;177.25;177.25;182;182;134.72;134.72;111.65;111.65;2187;2050;2313;3026;1;1;3;3
prstn & dinks & hallow;$TELLAR;4;2;50.00;2654;663.5;10;2.5;4;1;8;2;12;3;42;10.5;14;3.5;8;2;83.33;364.18;47.97;8252;2063;5562;1390.5;2690;672.5;68;17;233;58.25;1480;370;996;249;484;121;12;3;44;11;112.42;28.1;149.68;37.42;695;173.75;1354;338.5;224;56;1454.88;1760227;440056.75;688.43;172.11;491.9;122.98;158.45;39.61;700.29;175.07;585.58;146.4;52.89;13.22;27.04;6.76;0.11;254;63.5;565.6;141.4;685.2;171.3;350.61;87.65;988.16;247.04;934.69;233.67;404.09;101.02;702.06;175.51;398.55;99.64;238.16;59.54;2180.91;2156.98;2179.09;2808.25;2;0.5;6;1.5
prstn & dinks & hallow;&AVC;8;1;12.50;3916;489.5;12;1.5;4;0.5;15;1.88;28;3.5;79;9.88;33;4.12;14;1.75;42.86;432.98;46.09;18677;2334.62;13356;1669.5;5321;665.12;161;20.12;469;58.62;3873;484.12;2421;302.62;1452;181.5;27;3.38;138;17.25;278.67;34.83;316.16;39.52;4275;534.38;2866;358.25;351;43.88;1553.18;3798401;474800.12;1226.04;153.26;954.07;119.26;493.44;61.68;1538.36;192.3;1004.95;125.62;130.28;16.28;58.19;7.27;0.1;552;69;1280.7;160.09;1250.1;156.26;736.68;92.09;1936.87;242.11;1866.41;233.3;807.16;100.9;1408.33;176.04;842.19;105.27;423.03;52.88;2390.83;2185.63;2517.5;2975.99;12;1.5;7;0.88
prysm! & hxll0. & Reevo;(?)imakynax;9;1;11.11;5191;576.78;12;1.33;4;0.44;20;2.22;50;5.56;80;8.89;33;3.67;19;2.11;24;428.57;47.23;22249;2472.11;16313;1812.56;5936;659.56;192;21.33;536;59.56;7229;803.22;5116;568.44;2113;234.78;58;6.44;188;20.89;322.25;35.81;374.75;41.64;2938;326.44;2944;327.11;683;75.89;1559.72;4526396;502932.88;1415.52;157.28;1163.81;129.31;541.98;60.22;1582.64;175.85;1268.76;140.97;269.91;29.99;44.44;4.94;0.12;373;41.44;1369.3;152.14;1599.7;177.74;845.99;94;2275.31;252.81;1843.05;204.78;1278.26;142.03;1345.68;149.52;973.59;108.18;802.05;89.12;2281.5;2065.77;2487.99;2961.7;5;0.56;3;0.33
