team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Taha & ant8pizza & rizun;" Cayyh";3;3;100.00;1863;621;6;2;5;1.67;3;1;17;5.67;27;9;8;2.67;5;1.67;35.29;446.9;52.35;8721;2907;6852;2284;1869;623;87;29;171;57;2282;760.67;1743;581;539;179.67;21;7;52;17.33;129.56;43.19;109.48;36.49;1090;363.33;1912;637.33;384;128;1604.04;1728479;576159.69;480.36;160.12;453.47;151.16;233.42;77.81;630.09;210.03;468.95;156.32;68.2;22.73;32.71;10.9;0.1;312;104;500.6;166.87;591.4;197.13;274.66;91.55;892.58;297.53;737.34;245.78;429.9;143.3;551.22;183.74;370.16;123.39;245.85;81.95;2121.19;1991.25;2236.09;2776.83;5;1.67;4;1.33
! & Ereitsugu & Wakey;!;2;2;100.00;1265;632.5;6;3;3;1.5;2;1;12;6;9;4.5;3;1.5;2;1;50;416.99;51.53;3115;1557.5;2088;1044;1027;513.5;28;14;97;48.5;802;401;430;215;372;186;6;3;35;17.5;54.43;27.22;45.65;22.83;244;122;770;385;195;97.5;1634.82;651844;325922;175.72;87.86;180.46;90.23;92.06;46.03;215.05;107.53;210.12;105.06;23.07;11.54;9.46;4.73;0.11;84;42;172.4;86.2;234.6;117.3;107.12;53.56;341.11;170.55;284.21;142.11;164.03;82.01;195.3;97.65;148.19;74.1;104.75;52.38;2286.11;2148.54;2511.97;3074.48;0;0;0;0
Taha & ant8pizza & rizun;!;2;1;50.00;1080;540;2;1;3;1.5;4;2;8;4;20;10;10;5;4;2;25;419.32;46.8;5737;2868.5;3810;1905;1927;963.5;46;23;174;87;1167;583.5;609;304.5;558;279;7;3.5;51;25.5;88.29;44.15;47.67;23.83;1188;594;796;398;100;50;1598.53;1208993;604496.5;362.81;181.4;309.45;154.73;162.67;81.34;479.84;239.92;309.48;154.74;45.63;22.81;18.3;9.15;0.12;150;75;408.1;204.05;360.8;180.4;210.81;105.4;624.14;312.07;575.37;287.68;259.57;129.79;433.09;216.54;252.86;126.43;148.99;74.49;2160.43;2036.57;2245.01;2754.04;2;1;1;0.5
! Ghassan & Rixy.;! Ghassan;1;0;0.00;388;388;1;1;0;0;2;2;2;2;9;9;3;3;1;1;50;492;50.51;2327;2327;1780;1780;547;547;22;22;50;50;479;479;309;309;170;170;4;4;15;15;21.88;21.88;39.44;39.44;443;443;453;453;94;94;1613;441498;441498;117;117;120.22;120.22;56.6;56.6;166.79;166.79;106.46;106.46;20.57;20.57;4.64;4.64;0.09;54;54;131.5;131.5;177.4;177.4;107.34;107.34;186.48;186.48;180.81;180.81;113.01;113.01;123.38;123.38;109.62;109.62;60.81;60.81;2388;2132;2689;3490;3;3;0;0
Taha & ant8pizza & rizun;!0';4;3;75.00;2560;640;9;2.25;2;0.5;10;2.5;19;4.75;28;7;10;2.5;8;2;47.37;432.13;49.33;8722;2180.5;6497;1624.25;2225;556.25;82;20.5;208;52;1955;488.75;1152;288;803;200.75;14;3.5;77;19.25;121.02;30.26;163.44;40.86;922;230.5;1778;444.5;298;74.5;1604.35;1767927;441981.75;497.08;124.27;430.23;107.56;264.64;66.16;582.35;145.59;538.74;134.69;70.87;17.72;26.88;6.72;0.09;296;74;610.3;152.57;524.5;131.12;257.03;64.26;934.94;233.74;677.6;169.4;514.36;128.59;478.05;119.51;400.57;100.14;313.35;78.34;2368.21;2252.59;2396.71;3075.04;2;0.5;8;2
Taha & ant8pizza & rizun;!carolo;2;1;50.00;853;426.5;1;0.5;5;2.5;4;2;2;1;12;6;7;3.5;1;0.5;50;371.64;50.24;2725;1362.5;2297;1148.5;428;214;29;14.5;39;19.5;389;194.5;343;171.5;46;23;6;3;5;2.5;49.46;24.73;47.09;23.55;240;120;632;316;271;135.5;1479.86;485832;242916;211.72;105.86;110.46;55.23;65.24;32.62;203.4;101.7;160.45;80.22;23.58;11.79;4.96;2.48;0.1;47;23.5;163.3;81.65;180.6;90.3;91.35;45.67;296.07;148.04;276.07;138.04;111.35;55.68;190.46;95.23;136.32;68.16;60.63;30.31;2368.17;2304.55;2375.33;2743.57;0;0;0;0
!evas a tahW & wylew;!evas a tahW;1;1;100.00;827;827;3;3;1;1;0;0;8;8;8;8;3;3;2;2;37.5;482;49.8;3910;3910;2781;2781;1129;1129;34;34;95;95;575;575;263;263;312;312;3;3;29;29;60.59;60.59;82.15;82.15;729;729;492;492;68;68;1684;789363;789363;174.62;174.62;211.71;211.71;113.31;113.31;247.92;247.92;214.36;214.36;37.37;37.37;7.38;7.38;0.1;74;74;240.3;240.3;241.7;241.7;129.3;129.3;370.35;370.35;330.45;330.45;169.19;169.19;236.87;236.87;174.66;174.66;88.12;88.12;2571;2378;2736;3210;1;1;1;1
Taha & ant8pizza & rizun;!saphiix;1;0;0.00;770;770;3;3;0;0;3;3;7;7;12;12;6;6;3;3;42.86;448;51.82;2607;2607;1932;1932;675;675;26;26;63;63;829;829;680;680;149;149;8;8;15;15;30.97;30.97;27.68;27.68;259;259;658;658;82;82;1655;488612;488612;126.76;126.76;135.76;135.76;66.28;66.28;151.33;151.33;149.62;149.62;27.85;27.85;7.09;7.09;0.08;93;93;161;161;145.6;145.6;75.77;75.77;253.02;253.02;214.81;214.81;113.98;113.98;154.44;154.44;95.91;95.91;78.44;78.44;2513;2017;2915;3035;0;0;2;2
Taha & ant8pizza & rizun;#N;1;0;0.00;713;713;1;1;0;0;5;5;4;4;13;13;3;3;0;0;25;442;45.52;2569;2569;1885;1885;684;684;21;21;60;60;384;384;178;178;206;206;2;2;18;18;73.42;73.42;24.84;24.84;479;479;148;148;21;21;1556;507476;507476;162.47;162.47;120.64;120.64;64.81;64.81;188.08;188.08;151.79;151.79;8.06;8.06;4.52;4.52;0.07;62;62;195.4;195.4;147.5;147.5;85.58;85.58;262.34;262.34;238.89;238.89;109.03;109.03;189.26;189.26;88.58;88.58;70.08;70.08;2064;1723;2412;2793;1;1;2;2
Taha & ant8pizza & rizun;$;5;5;100.00;3533;706.6;13;2.6;2;0.4;13;2.6;33;6.6;41;8.2;12;2.4;9;1.8;39.39;491.03;46.1;13927;2785.4;10614;2122.8;3313;662.6;125;25;282;56.4;3326;665.2;2266;453.2;1060;212;25;5;97;19.4;193.51;38.7;212.14;42.43;2434;486.8;1982;396.4;276;55.2;1649.13;2504080;500816;675.63;135.13;561.59;112.32;433.09;86.62;824.56;164.91;731.23;146.25;114.52;22.9;25.2;5.04;0.11;240;48;763.8;152.76;800.2;160.04;370.9;74.18;1299.41;259.88;1043.11;208.62;627.22;125.44;780.12;156.02;507.16;101.43;383.04;76.61;2389.91;2185.64;2534.83;2980.13;7;1.4;2;0.4
