team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
! & Vano & Banjae;;3;3;100.00;1483;494.33;4;1.33;4;1.33;4;1.33;16;5.33;13;4.33;3;1;2;0.67;25;491.74;45.5;7172;2390.67;5295;1765;1877;625.67;65;21.67;166;55.33;2288;762.67;1522;507.33;766;255.33;18;6;69;23;158;52.67;70.29;23.43;1146;382;1229;409.67;294;98;1599.3;1328956;442985.34;363.44;121.15;332.82;110.94;192.14;64.05;448.66;149.55;396.59;132.2;43.13;14.38;14.62;4.87;0.13;116;38.67;401;133.67;449.7;149.9;209.93;69.98;678.47;226.16;459.27;153.09;429.12;143.04;319.79;106.6;281.27;93.76;287.33;95.78;1969.32;1801.81;2185.03;2783.67;6;2;3;1
! & Vano & Banjae;" ";1;1;100.00;674;674;2;2;0;0;4;4;4;4;9;9;1;1;1;1;50;470;51.95;2575;2575;1935;1935;640;640;26;26;61;61;863;863;635;635;228;228;7;7;21;21;35.41;35.41;55.22;55.22;688;688;701;701;74;74;1562;498585;498585;157.78;157.78;110;110;68.62;68.62;197.78;197.78;121.38;121.38;17.24;17.24;5.56;5.56;0.13;42;42;174.4;174.4;161.2;161.2;75.34;75.34;261.06;261.06;198.5;198.5;137.9;137.9;146.09;146.09;101.06;101.06;89.26;89.26;2051;2039;2053;2946;3;3;0;0
spoty & !;!;1;1;100.00;439;439;1;1;0;0;3;3;3;3;6;6;1;1;1;1;33.33;422;53.64;1791;1791;1299;1299;492;492;17;17;37;37;313;313;100;100;213;213;1;1;12;12;35.84;35.84;23.13;23.13;341;341;423;423;6;6;1567;365298;365298;113.72;113.72;95.34;95.34;42.91;42.91;149.95;149.95;95.54;95.54;6.48;6.48;4.37;4.37;0.18;24;24;145.7;145.7;105.1;105.1;49.95;49.95;202.03;202.03;184.83;184.83;67.15;67.15;135.95;135.95;85.26;85.26;30.77;30.77;2506;2530;2462;2895;1;1;2;2
XnessX1 & fandenfljtme & ! Elijae;! Elijae;1;0;0.00;513;513;2;2;0;0;1;1;3;3;11;11;5;5;0;0;66.67;463;53.85;2980;2980;2463;2463;517;517;29;29;52;52;501;501;380;380;121;121;4;4;14;14;69.24;69.24;34.23;34.23;546;546;431;431;31;31;1626;557069;557069;157.45;157.45;132.52;132.52;85.82;85.82;175.66;175.66;167.17;167.17;32.96;32.96;6.44;6.44;0.08;77;77;143.1;143.1;213.2;213.2;130.9;130.9;244.89;244.89;255.66;255.66;120.13;120.13;186.45;186.45;129.44;129.44;59.9;59.9;2047;1701;2383;2687;1;1;1;1
Calzafy & Samsalabim & ! Khan.;! Khan.;9;2;22.22;5182;575.78;16;1.78;8;0.89;20;2.22;42;4.67;85;9.44;35;3.89;18;2;38.1;409.62;43.87;19374;2152.67;14528;1614.22;4846;538.44;174;19.33;420;46.67;3030;336.67;1507;167.44;1523;169.22;18;2;135;15;444.35;49.37;254.77;28.31;1895;210.56;1801;200.11;196;21.78;1560.12;4211015;467890.56;1332.55;148.06;1081.56;120.17;545.44;60.6;1308.15;145.35;1469.9;163.32;181.51;20.17;55.25;6.14;0.09;616;68.44;1471.1;163.46;1342.3;149.14;747.35;83.04;2212.21;245.8;2024.24;224.92;935.31;103.92;1482.79;164.75;950.12;105.57;526.66;58.52;2385.24;2077.74;2643.86;3217.13;3;0.33;9;1
! & Vano & Banjae;! aRa;1;1;100.00;421;421;1;1;1;1;3;3;3;3;7;7;2;2;2;2;33.33;386;49.29;2094;2094;1414;1414;680;680;17;17;63;63;449;449;201;201;248;248;3;3;24;24;29.56;29.56;38.17;38.17;244;244;310;310;109;109;1517;434018;434018;147.71;147.71;114;114;50.25;50.25;172.22;172.22;126.54;126.54;13.2;13.2;2.77;2.77;0.07;38;38;159;159;136.4;136.4;86.19;86.19;225.77;225.77;205.4;205.4;106.56;106.56;148.3;148.3;101.11;101.11;62.55;62.55;2526;2663;2386;3036;1;1;2;2
! & Vano & Banjae;! wikixi;2;2;100.00;1381;690.5;5;2.5;1;0.5;6;3;13;6.5;13;6.5;2;1;0;0;38.46;478.07;48.69;4500;2250;3219;1609.5;1281;640.5;39;19.5;114;57;1015;507.5;614;307;401;200.5;7;3.5;37;18.5;39.97;19.99;96.51;48.26;979;489.5;702;351;101;50.5;1678.17;912639;456319.5;214.37;107.18;221.39;110.7;153.04;76.52;292.91;146.46;254.48;127.24;41.41;20.7;7.05;3.53;0.13;54;27;247.8;123.9;297.9;148.95;132.16;66.08;456.64;228.32;375.65;187.83;213.15;106.57;273.68;136.84;173.3;86.65;141.82;70.91;2407.54;2329.14;2471.01;3209.19;1;0.5;0;0
!evas a tahW & kexii;!evas a tahW;6;2;33.33;3545;590.83;10;1.67;4;0.67;13;2.17;38;6.33;47;7.83;17;2.83;12;2;26.32;503.65;46.8;17382;2897;13828;2304.67;3554;592.33;160;26.67;308;51.33;4848;808;3481;580.17;1367;227.83;39;6.5;113;18.83;320.17;53.36;284.62;47.44;2394;399;2248;374.67;443;73.83;1648.68;3166923;527820.5;775.47;129.24;825.99;137.66;463.26;77.21;991.43;165.24;965.25;160.87;108.03;18;40.96;6.83;0.09;433;72.17;1028.6;171.43;959.9;159.98;556.63;92.77;1508.08;251.35;1218.98;203.16;845.73;140.96;860.86;143.48;680.36;113.39;523.48;87.25;2308.29;2092.32;2518.06;3027.56;5;0.83;7;1.17
! & Vano & Banjae;!sk.;2;2;100.00;1099;549.5;5;2.5;1;0.5;3;1.5;8;4;14;7;2;1;1;0.5;62.5;341.38;52.93;3534;1767;2237;1118.5;1297;648.5;29;14.5;113;56.5;827;413.5;423;211.5;404;202;5;2.5;35;17.5;78.09;39.04;59.6;29.8;382;191;695;347.5;83;41.5;1539.69;832089;416044.5;274.55;137.27;214.4;107.2;90.11;45.06;327.17;163.59;226.9;113.45;24.99;12.49;9.3;4.65;0.1;92;46;270.5;135.25;289;144.5;134.79;67.4;444.28;222.14;349.65;174.82;229.41;114.71;248.61;124.3;210.42;105.21;120.04;60.02;2473.15;2495.69;2441.08;3180;2;1;2;1
fenz tt & ););1;1;100.00;432;432;2;2;1;1;2;2;2;2;2;2;0;0;0;0;100;410;43.06;590;590;482;482;108;108;5;5;10;10;245;245;200;200;45;45;2;2;4;4;14.09;14.09;7.55;7.55;4;4;17;17;0;0;1463;119549;119549;47.56;47.56;34.11;34.11;11.5;11.5;43.68;43.68;40.31;40.31;9.18;9.18;1.77;1.77;0.12;15;15;45.6;45.6;39.1;39.1;21.47;21.47;71.7;71.7;60.71;60.71;32.46;32.46;47.96;47.96;25.04;25.04;20.17;20.17;2684;2723;2929;3683;0;0;0;0
