team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   & Freestyler";"  ";1;1;100.00;620;620;3;3;1;1;1;1;4;4;7;7;3;3;2;2;75;436;47.46;2716;2716;1840;1840;876;876;21;21;79;79;339;339;118;118;221;221;2;2;19;19;42.81;42.81;26.97;26.97;300;300;295;295;81;81;1605;538149;538149;159.6;159.6;144.85;144.85;64.23;64.23;211.62;211.62;135.09;135.09;21.97;21.97;5.65;5.65;0.11;53;53;206.1;206.1;151.9;151.9;83.79;83.79;284.89;284.89;219.57;219.57;149.11;149.11;148.76;148.76;142.4;142.4;77.52;77.52;2392;2370;2400;2994;2;2;2;2
insp1re & extah & velocity;"  ";2;1;50.00;1366;683;4;2;1;0.5;4;2;11;5.5;14;7;6;3;3;1.5;36.36;458.63;53.39;5587;2793.5;4130;2065;1457;728.5;52;26;138;69;1479;739.5;827;413.5;652;326;13;6.5;62;31;62.42;31.21;86.66;43.33;726;363;1149;574.5;515;257.5;1612.01;1110153;555076.5;294.33;147.17;296.9;148.45;149.72;74.86;399.48;199.74;308.45;154.23;33.04;16.52;11.87;5.94;0.14;85;42.5;328.1;164.05;382.4;191.2;230.31;115.15;510.66;255.33;418.98;209.49;321.98;160.99;299.16;149.58;239.66;119.83;202.14;101.07;2323.62;2185.24;2448.85;2885.07;7;3.5;3;1.5
Raam0sss &    Dani___RL   ;"   Dani___RL   ";2;0;0.00;1481;740.5;6;3;2;1;3;1.5;9;4.5;19;9.5;12;6;7;3.5;66.67;398.94;44.11;5080;2540;3817;1908.5;1263;631.5;46;23;110;55;843;421.5;471;235.5;372;186;6;3;33;16.5;108.71;54.36;89.1;44.55;567;283.5;792;396;128;64;1438.92;1047672;523836;440.65;220.33;281.65;140.82;92.53;46.26;456.35;228.17;311.9;155.95;46.58;23.29;10.11;5.06;0.14;75;37.5;387.6;193.8;368.8;184.4;200.26;100.13;614.55;307.27;576.17;288.09;238.64;119.32;443.06;221.53;232.94;116.47;138.81;69.4;2171.5;2008.64;2298.56;2918.09;0;0;3;1.5
insp1re & extah & velocity;"   JWeyts   ";1;0;0.00;162;162;0;0;0;0;1;1;3;3;4;4;3;3;1;1;0;403;56.5;1413;1413;1052;1052;361;361;14;14;34;34;741;741;567;567;174;174;7;7;17;17;13.58;13.58;44.18;44.18;211;211;327;327;147;147;1551;310020;310020;98.79;98.79;70.81;70.81;40.46;40.46;111.96;111.96;90.36;90.36;7.74;7.74;3.1;3.1;0.1;30;30;92.4;92.4;118.3;118.3;61.89;61.89;148.17;148.17;115.37;115.37;94.69;94.69;80.99;80.99;71.78;71.78;57.3;57.3;2233;2196;2324;2928;1;1;3;3
! & Oui;!;1;1;100.00;709;709;2;2;1;1;3;3;5;5;9;9;2;2;0;0;40;459;49.23;2754;2754;1847;1847;907;907;21;21;61;61;411;411;100;100;311;311;1;1;27;27;55.26;55.26;26.67;26.67;183;183;274;274;5;5;1587;502312;502312;152.38;152.38;115.61;115.61;88.95;88.95;155.79;155.79;175.72;175.72;25.42;25.42;6.74;6.74;0.1;68;68;184.2;184.2;178.2;178.2;71.79;71.79;285.15;285.15;198.06;198.06;158.87;158.87;143.12;143.12;105.61;105.61;108.2;108.2;2267;2127;2428;2791;3;3;3;3
! Ghassan & Rixy.;! Ghassan;1;0;0.00;255;255;0;0;0;0;3;3;1;1;8;8;3;3;1;1;0;448;51.88;2191;2191;1591;1591;600;600;19;19;57;57;242;242;83;83;159;159;1;1;14;14;39.36;39.36;46.17;46.17;261;261;347;347;16;16;1545;413305;413305;123.59;123.59;117.26;117.26;38.87;38.87;169.79;169.79;96.77;96.77;13.17;13.17;5.52;5.52;0.09;62;62;133;133;139.2;139.2;101.59;101.59;178.13;178.13;202.75;202.75;76.96;76.96;139.94;139.94;91.29;91.29;48.49;48.49;2506;2245;2693;3038;0;0;1;1
insp1re & extah & velocity;! aRa;4;1;25.00;1766;441.5;2;0.5;5;1.25;5;1.25;19;4.75;26;6.5;9;2.25;5;1.25;10.53;391.09;49.45;7523;1880.75;4780;1195;2743;685.75;57;14.25;254;63.5;1691;422.75;830;207.5;861;215.25;10;2.5;81;20.25;99.15;24.79;113.37;28.34;604;151;1015;253.75;198;49.5;1463.82;1613122;403280.5;588.93;147.23;454.26;113.57;140.83;35.21;645.57;161.39;495.02;123.75;43.44;10.86;21.59;5.4;0.11;203;50.75;615.5;153.88;537.8;134.45;255.74;63.93;928.3;232.07;727.25;181.81;456.78;114.19;529.36;132.34;392.18;98.04;262.47;65.62;2284.32;2023.01;2523.81;3130.58;6;1.5;4;1
3,14zza<! & ! oreos. & .;! oreos.;1;0;0.00;355;355;0;0;1;1;1;1;5;5;5;5;3;3;2;2;0;399;44.91;2281;2281;1552;1552;729;729;20;20;62;62;643;643;393;393;250;250;5;5;22;22;37.87;37.87;53.21;53.21;378;378;450;450;106;106;1504;475428;475428;168.23;168.23;111.35;111.35;56.48;56.48;193.81;193.81;121.66;121.66;20.59;20.59;7.51;7.51;0.1;78;78;167;167;163.5;163.5;86.16;86.16;249.91;249.91;215.93;215.93;120.13;120.13;156.97;156.97;111.15;111.15;67.95;67.95;2203;1924;2444;3011;0;0;2;2
insp1re & extah & velocity;! yxn;2;2;100.00;1410;705;4;2;2;1;6;3;2;1;14;7;6;3;6;3;200;491;44.45;6936;3468;5304;2652;1632;816;60;30;147;73.5;2172;1086;1632;816;540;270;18;9;48;24;149.12;74.56;46.76;23.38;1732;866;710;355;170;85;1664.5;1334634;667317;349.16;174.58;266.22;133.11;249.43;124.71;412.89;206.45;407.72;203.86;44.2;22.1;21.42;10.71;0.11;205;102.5;448.3;224.15;365.1;182.55;218.28;109.14;646.53;323.27;514.53;257.27;350.28;175.14;380.78;190.39;273.67;136.83;210.36;105.18;2409;2154;2625;2963.5;4;2;2;1
insp1re & extah & velocity;!0';5;2;40.00;1475;295;5;1;2;0.4;4;0.8;16;3.2;20;4;10;2;3;0.6;31.25;445.7;48.78;6277;1255.4;4924;984.8;1353;270.6;60;12;128;25.6;1515;303;934;186.8;581;116.2;11;2.2;52;10.4;79.53;15.91;143.65;28.73;715;143;1148;229.6;187;37.4;1634.41;1226228;245245.59;353.29;70.66;288.79;57.76;199.5;39.9;418.75;83.75;375.58;75.12;47.27;9.45;15.65;3.13;0.08;189;37.8;337.7;67.54;445.3;89.06;253.75;50.75;587.82;117.56;481.62;96.32;359.95;71.99;337.96;67.59;295.56;59.11;208.05;41.61;2367.29;2158.88;2502.75;3092.8;5;1;2;0.4
