team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & .";;1;1;100.00;465;465;0;0;2;2;3;3;1;1;4;4;1;1;0;0;0;350;47.07;1794;1794;1273;1273;521;521;17;17;38;38;660;660;468;468;192;192;6;6;9;9;58.77;58.77;29.64;29.64;252;252;329;329;131;131;1496;414816;414816;140.13;140.13;108.28;108.28;45.52;45.52;153.87;153.87;121.4;121.4;18.66;18.66;7.35;7.35;0.1;73;73;156.8;156.8;132;132;48.44;48.44;245.49;245.49;218.61;218.61;75.31;75.31;156.98;156.98;97.24;97.24;39.71;39.71;2231;2294;2210;2738;2;2;0;0
regser & kristian & Dansku_;"   JWeyts   ";9;5;55.56;3865;429.44;9;1;5;0.56;16;1.78;30;3.33;59;6.56;20;2.22;9;1;30;429.03;52.55;19385;2153.89;14005;1556.11;5380;597.78;174;19.33;480;53.33;5034;559.33;3143;349.22;1891;210.11;40;4.44;162;18;280.07;31.12;381.63;42.4;3197;355.22;3533;392.56;928;103.11;1583.94;3869627;429958.56;1121.3;124.59;997.38;110.82;499.08;55.45;1412.75;156.97;1053.44;117.05;151.56;16.84;42.68;4.74;0.13;344;38.22;1186.6;131.84;1308.8;145.42;703.85;78.21;1913.93;212.66;1588.78;176.53;1029;114.33;1078.55;119.84;931.66;103.52;607.53;67.5;2335.5;2044.5;2551.35;3142.05;7;0.78;4;0.44
regser & kristian & Dansku_;"  .Spiritual53.  ";1;0;0.00;677;677;2;2;0;0;4;4;4;4;17;17;4;4;1;1;50;487;42.23;3054;3054;2121;2121;933;933;23;23;75;75;568;568;354;354;214;214;4;4;18;18;50.41;50.41;24.19;24.19;645;645;178;178;45;45;1717;578880;578880;128.52;128.52;134.11;134.11;104.58;104.58;198.44;198.44;145.87;145.87;22.9;22.9;6.02;6.02;0.13;48;48;197.5;197.5;147.7;147.7;97.71;97.71;269.5;269.5;261.69;261.69;105.51;105.51;204.45;204.45;112.81;112.81;49.95;49.95;2299;2144;2437;2920;0;0;1;1
regser & kristian & Dansku_;" Cayyh";7;3;42.86;3652;521.71;11;1.57;5;0.71;11;1.57;30;4.29;69;9.86;25;3.57;14;2;36.67;458.96;46.3;17497;2499.57;13225;1889.29;4272;610.29;150;21.43;371;53;3137;448.14;2060;294.29;1077;153.86;23;3.29;96;13.71;359.75;51.39;191.61;27.37;1645;235;1811;258.71;235;33.57;1559.31;3415399;487914.16;1080.67;154.38;856.61;122.37;449.13;64.16;1168.53;166.93;1049.64;149.95;168.26;24.04;61.71;8.82;0.11;576;82.29;1014.8;144.97;1221.1;174.44;624.48;89.21;1761.94;251.71;1591.07;227.3;795.38;113.63;1148.02;164;800.39;114.34;438.03;62.58;2186.19;1994.73;2300.88;2864.81;4;0.57;3;0.43
regser & kristian & Dansku_;!;1;1;100.00;994;994;2;2;1;1;7;7;5;5;13;13;3;3;1;1;40;490;44.87;3368;3368;2431;2431;937;937;28;28;83;83;1043;1043;758;758;285;285;8;8;26;26;43.82;43.82;45.82;45.82;499;499;390;390;49;49;1748;672772;672772;135.45;135.45;163.99;163.99;115.07;115.07;208.87;208.87;188.44;188.44;17.21;17.21;8.85;8.85;0.12;73;73;190.3;190.3;201.6;201.6;107;107;307.52;307.52;257.46;257.46;157.05;157.05;194.52;194.52;118.46;118.46;101.53;101.53;2108;1939;2193;3026;1;1;2;2
regser & kristian & Dansku_;!;1;0;0.00;572;572;1;1;1;1;3;3;3;3;10;10;4;4;1;1;33.33;478;49.68;2217;2217;1608;1608;609;609;18;18;50;50;107;107;0;0;107;107;0;0;10;10;34.71;34.71;31.83;31.83;340;340;221;221;0;0;1538;397823;397823;133.89;133.89;105.14;105.14;50.86;50.86;162.4;162.4;114.52;114.52;12.98;12.98;5.51;5.51;0.15;36;36;144.7;144.7;131.5;131.5;79.82;79.82;210.08;210.08;213.28;213.28;76.62;76.62;161.63;161.63;89.55;89.55;38.72;38.72;2180;2242;2118;3023;0;0;1;1
! Ghassan & Rixy.;! Ghassan;1;1;100.00;520;520;2;2;1;1;0;0;6;6;6;6;4;4;1;1;33.33;438;43.07;2976;2976;2109;2109;867;867;26;26;77;77;295;295;0;0;295;295;0;0;26;26;45.17;45.17;72.51;72.51;570;570;527;527;4;4;1568;571072;571072;171.62;171.62;156.84;156.84;68.42;68.42;223.16;223.16;155.71;155.71;18.01;18.01;6.56;6.56;0.1;67;67;197.5;197.5;181.9;181.9;89.84;89.84;307.03;307.03;259.12;259.12;137.76;137.76;176.41;176.41;148.26;148.26;72.21;72.21;2659;2378;2924;3159;1;1;2;2
regser & kristian & Dansku_;! Khan.;15;11;73.33;9194;612.93;28;1.87;14;0.93;31;2.07;80;5.33;96;6.4;33;2.2;24;1.6;35;400.7;45.99;30339;2022.6;21261;1417.4;9078;605.2;254;16.93;804;53.6;6979;465.27;4008;267.2;2971;198.07;48;3.2;249;16.6;470.4;31.36;440.07;29.34;2815;187.67;2971;198.07;384;25.6;1508.88;6489014;432600.94;2215.98;147.73;1727.03;115.14;716.87;47.79;2509.83;167.32;1908.87;127.26;241.16;16.08;95.82;6.39;0.09;1019;67.93;2331.7;155.45;2113.1;140.87;1122.97;74.86;3536.9;235.79;2882.27;192.15;1777.6;118.51;1951.64;130.11;1595.71;106.38;1112.55;74.17;2218.47;1996.47;2413.67;2958.95;14;0.93;12;0.8
regser & kristian & Dansku_;! Sultan.;1;1;100.00;491;491;1;1;1;1;2;2;4;4;5;5;1;1;1;1;25;531;48.48;2911;2911;2229;2229;682;682;25;25;60;60;427;427;300;300;127;127;3;3;11;11;44.32;44.32;30.45;30.45;574;574;298;298;0;0;1684;543524;543524;117.32;117.32;143.15;143.15;77.55;77.55;174.47;174.47;141.78;141.78;21.77;21.77;4.83;4.83;0.09;54;54;161.6;161.6;164.6;164.6;67.53;67.53;270.49;270.49;209.74;209.74;128.28;128.28;149.06;149.06;119.38;119.38;69.58;69.58;2687;2453;2963;3366;2;2;0;0
Lumi & sum & Apples;#LootGet!!;1;1;100.00;549;549;3;3;1;1;0;0;5;5;3;3;2;2;1;1;60;453;46.58;2125;2125;1470;1470;655;655;16;16;60;60;755;755;496;496;259;259;5;5;23;23;45.97;45.97;18.78;18.78;324;324;166;166;20;20;1629;398561;398561;111.92;111.92;97.86;97.86;64.04;64.04;135.86;135.86;110.76;110.76;27.19;27.19;3.91;3.91;0.07;56;56;144.6;144.6;102.7;102.7;58.53;58.53;215.29;215.29;160.92;160.92;112.9;112.9;99.61;99.61;102.35;102.35;71.85;71.85;2391;2237;2642;2982;0;0;0;0
